-- S05 FBI NICS: every row (glance says 16,445), extract for local duplicate, time and peer checks
MONTH | STATE | PERMIT | PERMIT_RECHECK | HANDGUN | LONG_GUN | OTHER | MULTIPLE | ADMIN | PREPAWN_HANDGUN | PREPAWN_LONG_GUN | PREPAWN_OTHER | REDEMPTION_HANDGUN | REDEMPTION_LONG_GUN | REDEMPTION_OTHER | RETURNED_HANDGUN | RETURNED_LONG_GUN | RETURNED_OTHER | RENTALS_HANDGUN | RENTALS_LONG_GUN | PRIVATE_SALE_HANDGUN | PRIVATE_SALE_LONG_GUN | PRIVATE_SALE_OTHER | RETURN_TO_SELLER_HANDGUN | RETURN_TO_SELLER_LONG_GUN | RETURN_TO_SELLER_OTHER | TOTALS
2023-09 | Guam | 0 | 0 | 140 | 77 | 13 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 233
2023-09 | Hawaii | 1685 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1689
2023-09 | Idaho | 3325 | 140 | 4475 | 5422 | 451 | 325 | 1 | 0 | 1 | 0 | 332 | 356 | 3 | 76 | 13 | 5 | 0 | 0 | 5 | 4 | 0 | 1 | 0 | 0 | 14935
2023-09 | Illinois | 191538 | 0 | 19675 | 10357 | 786 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 222356
2023-09 | Indiana | 366 | 23635 | 16104 | 11963 | 1480 | 928 | 5 | 2 | 4 | 0 | 925 | 364 | 25 | 94 | 5 | 0 | 0 | 0 | 27 | 21 | 6 | 1 | 0 | 0 | 55955
2023-09 | Iowa | 3030 | 4008 | 2027 | 2936 | 123 | 86 | 1 | 2 | 1 | 0 | 43 | 39 | 1 | 51 | 17 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 12368
2023-09 | Kansas | 1572 | 6 | 4738 | 5289 | 627 | 411 | 1 | 3 | 5 | 0 | 532 | 247 | 5 | 85 | 7 | 1 | 0 | 0 | 7 | 5 | 1 | 0 | 0 | 0 | 13542
2023-09 | Kentucky | 509 | 264196 | 8369 | 7610 | 472 | 583 | 25 | 16 | 7 | 0 | 1790 | 947 | 6 | 49 | 6 | 0 | 0 | 0 | 22 | 13 | 1 | 1 | 0 | 0 | 284622
2023-09 | Louisiana | 1586 | 418 | 9390 | 10164 | 746 | 733 | 0 | 3 | 0 | 0 | 927 | 524 | 4 | 0 | 0 | 0 | 0 | 0 | 7 | 7 | 4 | 0 | 0 | 0 | 24513
2023-09 | Maine | 317 | 6 | 3096 | 4646 | 303 | 229 | 1 | 1 | 0 | 0 | 87 | 65 | 0 | 21 | 9 | 0 | 0 | 0 | 4 | 6 | 0 | 0 | 0 | 0 | 8791
2023-09 | Mariana Islands | 0 | 0 | 6 | 9 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 16
2023-09 | Maryland | 8624 | 41 | 6291 | 5594 | 105 | 7 | 0 | 0 | 2 | 0 | 82 | 95 | 1 | 93 | 11 | 21 | 0 | 0 | 0 | 19 | 2 | 0 | 2 | 1 | 20991
2023-09 | Massachusetts | 7758 | 1 | 4306 | 2586 | 1066 | 242 | 5 | 0 | 0 | 1 | 7 | 23 | 2 | 0 | 0 | 0 | 0 | 0 | 39 | 37 | 9 | 3 | 1 | 0 | 16086
2023-09 | Michigan | 15744 | 5197 | 16471 | 16313 | 1647 | 774 | 0 | 0 | 0 | 1 | 30 | 269 | 5 | 111 | 16 | 1 | 0 | 0 | 32 | 9 | 1 | 1 | 0 | 0 | 56622
(16445 rows; csv has all)
