table_a,table_b,key_label,tier,distinct_a,distinct_b,overlap_count,coverage_a_pct,coverage_b_pct,already_in_spine_connect_edges
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,11818,10798,7905,66.89,73.21,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,11818,9765364,11786,99.73,0.12,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,DOCKET,STRONG,11818,11818,11818,100.0,100.0,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,11818,10798,7905,66.89,73.21,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,11818,20369250,11816,99.98,0.06,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,11818,9765364,11786,99.73,0.12,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,11818,6648335,11218,94.92,0.17,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,11818,9765364,11786,99.73,0.12,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.FED_FDIC_BANK_DATA,DOCKET,STRONG,11818,11818,11818,100.0,100.0,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,11818,10798,7905,66.89,73.21,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_04EE75BE01,DOCKET,STRONG,11818,1580,1196,10.12,75.7,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_40615E7B14,DOCKET,STRONG,11818,1504,1154,9.76,76.73,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_664D252729,DOCKET,STRONG,11818,736,618,5.23,83.97,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_90C091B01B,DOCKET,STRONG,11818,977,743,6.29,76.05,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_95246841CB,DOCKET,STRONG,11818,65,58,0.49,89.23,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_AD6F34F882,DOCKET,STRONG,11818,1580,1196,10.12,75.7,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_B15AE2B075,DOCKET,STRONG,11818,1452,1110,9.39,76.45,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_CF31C19A20,DOCKET,STRONG,11818,289,214,1.81,74.05,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_BANK_DATA,LIBRARY_RAW.LANDING.PORTAL_ARC_TUCSON_OPEN_DATA_EAB8D87A4D,DOCKET,STRONG,11818,742,623,5.27,83.96,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,10798,9765364,10772,99.76,0.11,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_BANK_DATA,DOCKET,STRONG,10798,11818,7905,73.21,66.89,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_MARTS.TIMELINE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,10798,10798,10798,100.0,100.0,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,10798,20369250,10695,99.05,0.05,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_MARTS.TIMELINE.JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,10798,9765364,10772,99.76,0.11,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_DOCKETS,DOCKET,STRONG,10798,6648335,8157,75.54,0.12,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.FED_COURTLISTENER_OPINION_CLUSTERS,DOCKET,STRONG,10798,9765364,10772,99.76,0.11,False
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.FED_FDIC_BANK_DATA,DOCKET,STRONG,10798,11818,7905,73.21,66.89,True
LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS,LIBRARY_RAW.LANDING.FED_FDIC_SOD_BRANCH_DEPOSITS,DOCKET,STRONG,10798,10798,10798,100.0,100.0,True
