YR,ST,FIPS5,REASON,N
2016,GA,13183,6,1
2015,NC,37097,8,1
2017,LA,22069,6,1
2015,LA,22091,9,1
2017,MS,28157,9,1
2017,TX,48357,9,1
2017,AR,05139,6,1
2017,MS,28029,5,1
2015,MN,27069,9,1
2015,GA,13097,8,1
2016,TX,48305,9,1
2015,GA,13019,6,1
2017,MN,27161,6,2
2016,TX,48207,7,1
2016,MO,29141,5,1
2016,AR,05059,5,2
2017,TX,48079,3,1
2015,FL,12029,8,1
2017,TX,48165,5,1
2017,GA,13017,6,1
2015,TX,48475,9,1
2016,NC,37015,5,1
2017,MN,27149,9,1
2016,MS,28099,2,1
2015,TX,48415,5,1
2016,MO,29137,1,1
2015,MO,29051,2,1
2016,TX,48311,1,1
2017,TN,47065,8,1
2016,LA,22041,6,1
2015,MO,29091,2,1
2017,TX,48477,2,1
2016,FL,12097,8,1
2016,TX,48229,2,1
2015,MO,29171,2,1
2017,MO,29211,6,1
2015,TN,47095,6,1
2017,GA,13147,6,2
2016,GA,13271,5,1
2017,GA,13281,2,1
2016,GA,13213,2,1
2017,TN,47131,2,2
2015,NC,37193,2,1
2016,TX,48463,2,1
2015,TX,48457,5,2
2016,TX,48319,9,2
2017,TX,48371,5,1
2016,AR,05079,9,1
2015,AR,05127,5,1
2017,TX,48233,5,1
2015,VA,51580,9,1
2017,TX,48047,7,1
2015,NC,37165,2,1
2015,TX,48419,2,1
2015,TX,48379,7,1
2016,MO,29041,4,1
2017,GA,13269,5,1
2017,TX,48211,9,1
2017,TN,47135,2,1
2015,TN,47067,3,1
2016,TX,48243,1,1
2016,TX,48047,7,1
2017,MN,27121,6,1
2016,GA,13281,5,1
2016,NC,37103,6,1
2015,TX,48421,1,1
2015,MO,29127,5,1
2015,MS,28031,5,1
2016,MS,28113,6,1
2016,NC,37185,5,1
2015,TX,48289,7,1
2015,GA,13033,6,1
2015,NC,37185,5,1
2016,TN,47045,6,1
2016,GA,13065,7,1
2017,MN,27039,6,1
2016,MS,28131,2,1
2017,MO,29215,2,2
2016,NC,37065,2,1
2016,VA,51077,6,1
2017,GA,13001,5,1
2017,TN,47083,6,1
2017,MO,29027,2,1
2015,MS,28077,5,1
2016,TX,48505,9,1
2015,TN,47121,5,1
2016,NC,37169,2,1
2016,TN,47073,2,1
2016,TX,48093,2,1
2015,VA,51520,9,1
2017,MS,28011,6,1
2015,GA,13173,9,2
2017,TX,48151,4,1
2017,GA,13303,2,1
2016,MO,29149,6,1
2015,VA,51021,5,1
2015,MN,27115,5,1
2015,VA,51530,9,1
2017,TX,48223,5,1
2016,MO,29017,9,1
2015,MO,29195,2,2
2017,TN,47139,6,2
2017,GA,13107,6,1
2016,LA,22037,5,1
2016,TX,48087,4,1
2017,TX,48237,4,1
2015,AR,05089,2,1
2016,GA,13207,6,1
2015,MO,29107,5,1
2016,NC,37091,6,1
2017,TX,48031,2,1
2017,LA,22023,5,1
2016,WV,54021,9,1
2016,AR,05103,9,2
2016,TN,47007,2,1
2016,VA,51183,5,1
2017,MS,28095,6,1
2015,AR,05141,2,1
2015,LA,22083,5,1
2016,TX,48379,2,1
2015,TX,48179,9,1
2015,AR,05065,6,1
2015,MO,29103,1,1
2017,GA,13107,5,3
2016,MO,29175,6,1
2015,TX,48007,2,1
2016,MN,27089,5,1
2016,LA,22061,2,1
2016,TN,47099,2,1
2017,TX,48099,8,1
2017,MO,29035,7,1
2015,FL,12079,6,1
2016,MS,28031,9,2
2016,AR,05093,2,1
2016,MO,29045,4,1
2016,TX,48089,2,1
2015,TX,48179,6,1
2017,MS,28003,5,1
2015,LA,22047,5,1
2017,WV,54085,6,1
2016,TX,48345,4,1
2015,VA,51057,8,1
2015,MO,29057,9,1
2017,WV,54071,9,1
2017,TN,47133,5,1
2016,GA,13183,5,1
2015,NC,37047,2,1
2017,TX,48379,6,1
2015,MN,27041,5,1
2016,GA,13243,1,2
2017,MO,29197,3,1
2016,TX,48235,3,1
2017,TX,48239,6,1
2017,MO,29171,9,1
2016,TX,48163,6,2
2015,WV,54029,5,1
2017,VA,51079,6,1
2015,LA,22061,2,1
2016,FL,12047,6,1
2017,WV,54101,5,1
2015,GA,13243,7,1
2017,VA,51141,2,1
2016,TX,48359,7,1
2016,TX,48333,6,1
2017,GA,13191,6,1
2016,GA,13119,6,1
2015,TX,48023,3,1
2016,NC,37121,2,1
2015,TX,48495,7,1
2017,MO,29033,9,1
2015,NC,37117,2,1
2015,MS,28079,2,1
2015,LA,22003,7,1
2016,FL,12133,2,2
2017,WV,54073,8,1
2015,MS,28029,6,1
2017,TX,48391,9,1
2015,AR,05149,2,1
2015,TX,48219,6,2
2015,FL,12029,5,1
2017,VA,51045,2,1
2016,SC,45023,2,2
2015,TX,48235,9,1
2015,TX,48377,9,1
2017,TX,48483,7,1
2016,WV,54067,5,1
2016,TX,48287,6,1
2015,GA,13021,8,2
2015,VA,51175,2,1
2017,MO,29069,6,1
2016,TN,47089,8,1
2015,TX,48119,5,1
2017,GA,13171,2,1
2017,TX,48081,4,1
2015,TX,48489,7,1
2017,MN,27101,6,1
2017,VA,51735,2,1
2015,WV,54091,2,1
2017,MO,29015,2,1
2016,MO,29017,2,1
2017,MS,28129,6,1
2017,VA,51660,2,1
2017,MS,28143,2,1
2015,AR,05135,5,1
2016,GA,13283,4,3
2015,TX,48305,7,1
2017,TX,48149,5,1
2016,TX,48011,9,1
2016,AR,05021,5,1
2017,TN,47005,6,1
2015,TX,48023,5,1
2016,TN,47135,6,1
2015,MS,28135,4,3
2017,TX,48501,2,1
2017,TX,48259,2,1
2016,NC,37117,6,1
2016,MO,29195,6,1
2015,TX,48275,4,1
2017,MN,27041,2,1
2017,FL,12079,6,1
2017,MS,28151,2,1
2016,AR,05025,9,1
2016,AR,05043,6,1
2017,WV,54073,7,1
2015,TX,48415,4,3
2017,LA,22093,5,1
2016,GA,13109,6,1
2017,TX,48189,6,1
2017,MS,28135,5,1
2017,TX,48103,2,1
2015,TN,47101,7,1
2017,TX,48003,6,1
2017,MO,29186,5,1
2017,GA,13173,9,1
2015,GA,13005,9,1
