YR,ST,FIPS5,REASON,N
2015,MO,29125,1,4
2015,VA,51027,7,4
2015,AR,05015,6,4
2016,MS,28143,4,3
2015,NC,37169,6,5
2015,TX,48069,1,5
2015,GA,13243,3,5
2015,TN,47091,6,5
2017,AR,05059,6,4
2017,LA,22115,2,2
2017,GA,13293,5,2
2016,TX,48227,9,4
2015,TX,48381,2,6
2015,TX,48185,2,2
2016,MO,29187,2,3
2015,TX,48349,6,3
2015,MN,27153,7,8
2017,MN,27021,2,4
2016,VA,51678,1,4
2016,MO,29027,2,5
2015,TN,47155,2,7
2016,GA,13147,2,3
2016,TX,48469,5,8
2016,TX,48043,7,4
2015,VA,51570,5,8
2015,MN,27021,2,3
2017,TX,48005,2,5
2017,NC,37079,5,2
2016,TX,48057,2,2
2015,MO,29173,6,2
2017,MN,27083,2,4
2015,LA,22037,6,2
2015,SC,45075,6,5
2016,TX,48179,1,4
2017,GA,13079,7,6
2016,MS,28063,3,5
2015,MN,27049,5,2
2016,VA,51570,6,2
2017,TX,48075,4,3
2017,VA,51690,9,3
2016,TX,48289,9,5
2016,MN,27133,4,6
2017,WV,54099,9,4
2016,MS,28161,1,4
2015,MO,29163,7,4
2015,MO,29201,6,3
2016,GA,13285,5,4
2016,MO,29051,2,3
2015,MS,28155,4,4
2017,LA,22075,6,2
2017,MO,29159,5,3
2015,MS,28157,3,3
2015,MS,28039,7,5
2015,AR,05023,6,5
2016,TX,48137,none,2
2016,MO,29105,5,2
2016,VA,51149,6,3
2017,GA,13177,6,5
2015,TN,47049,7,2
2017,MO,29195,6,4
2016,TN,47047,6,5
2016,WV,54075,9,4
2016,MN,27029,1,5
2016,WV,54021,1,5
2015,VA,51620,7,3
2015,MN,27113,9,3
2016,TN,47025,6,3
2016,MO,29079,1,6
2015,SC,45055,6,8
2015,VA,51097,7,3
2015,TX,48011,none,2
2016,AR,05017,7,3
2015,TN,47169,3,7
2015,VA,51015,5,2
2016,VA,51077,7,5
2016,WV,54051,6,3
2016,TN,47095,4,4
2015,WV,54019,9,12
2016,AR,05119,8,2
2016,AR,05147,3,4
2017,MS,28103,4,3
2017,GA,13099,4,4
2017,TX,48165,6,2
2017,TX,48467,6,4
2017,TX,48313,7,3
2017,MN,27033,2,3
2015,GA,13081,9,3
2015,MO,29115,5,3
2016,VA,51031,2,5
2016,VA,51191,2,2
2016,AR,05055,5,2
2015,AR,05025,4,4
2016,VA,51125,6,6
2015,WV,54019,5,3
2017,TX,48171,6,3
2016,TN,47183,9,5
2017,NC,37091,7,4
2017,LA,22067,5,2
2017,MO,29213,2,3
2016,WV,54075,7,2
2016,TN,47097,5,2
2017,TX,48001,5,2
2017,FL,12063,2,3
2015,AR,05083,5,2
2016,AR,05107,5,2
2015,TN,47141,6,2
2016,FL,12109,8,3
2017,MN,27155,3,2
2017,TX,48169,1,2
2015,MO,29149,7,3
2015,MN,27153,5,3
2017,TN,47177,7,6
2017,FL,12029,7,3
2015,MN,27149,4,4
2016,LA,22123,1,4
2016,MN,27169,2,4
2017,GA,13071,5,3
2017,TN,47067,3,6
2015,MS,28149,5,5
2016,AR,05009,6,4
2015,MN,27063,2,2
2016,AR,05149,1,6
2017,GA,13181,9,3
2017,GA,13059,5,4
2015,LA,22065,1,5
2017,TN,47159,6,3
2017,TX,48059,9,4
2016,TX,48173,none,2
2015,VA,51191,5,3
2016,MS,28135,1,4
2016,GA,13309,3,4
2015,TN,47073,5,4
2017,WV,54015,1,3
2016,MS,28117,5,2
2016,MS,28067,6,2
2015,TN,47017,5,2
2017,MO,29165,5,3
2016,LA,22077,6,3
2015,VA,51121,2,4
2015,MS,28023,7,4
2015,TX,48005,6,2
2017,TN,47069,9,2
2016,NC,37095,3,3
2017,MS,28019,7,2
2017,GA,13259,4,3
2015,TX,48289,5,2
2017,VA,51089,6,6
2016,GA,13107,9,2
2015,MO,29209,2,4
2015,MO,29139,9,4
2017,MN,27127,7,3
2015,VA,51045,3,4
2017,WV,54055,6,2
2016,MO,29201,5,3
2015,MS,28083,7,7
2017,GA,13035,5,3
2016,GA,13173,7,3
2015,FL,12121,6,2
2016,TX,48281,5,2
2017,VA,51195,2,2
2016,WV,54009,8,2
2015,TX,48031,5,3
2016,TN,47075,7,4
2016,WV,54081,6,4
2015,TX,48205,9,2
2017,TX,48161,5,2
2015,FL,12131,8,2
2017,AR,05121,9,4
2016,VA,51011,5,2
2015,LA,22097,2,4
2017,MN,27079,7,8
2016,MO,29039,9,2
2015,VA,51683,2,2
2017,MS,28003,9,3
2015,VA,51820,5,2
2017,NC,37107,2,2
2015,FL,12059,7,3
2015,TX,48087,3,3
2017,TN,47077,6,3
2015,TX,48153,4,4
2015,VA,51159,7,7
2015,AR,05009,6,2
2016,AR,05123,5,2
2016,TN,47027,1,2
2015,MS,28163,6,2
2016,FL,12037,9,4
2016,MO,29005,3,4
2017,LA,22125,7,2
2015,AR,05135,9,2
2017,MS,28153,2,2
2015,VA,51185,6,2
2015,TX,48131,4,2
2016,NC,37083,2,2
2017,TX,48373,5,3
2015,LA,22101,2,3
2017,TX,48463,6,2
2017,WV,54069,2,3
2017,VA,51105,5,2
2016,WV,54047,7,4
2016,AR,05105,6,2
2017,NC,37011,6,3
2017,TX,48281,5,2
2015,MN,27037,8,3
2015,GA,13199,6,2
2015,GA,13161,9,4
2016,SC,45035,8,2
2017,TX,48363,5,3
2015,SC,45043,8,2
2016,MS,28103,4,4
2015,TX,48275,9,3
2016,MO,29139,7,3
2017,MS,28097,4,2
2016,TX,48275,7,2
2015,VA,51590,6,3
2016,MN,27125,none,2
2016,GA,13197,3,5
2017,TX,48305,6,2
2015,GA,13087,5,2
2017,MO,29019,5,3
2017,TN,47161,5,2
2017,TN,47159,5,2
2017,MN,27055,6,2
2016,GA,13207,2,2
2015,VA,51077,2,2
2017,MS,28019,1,2
2016,MO,29075,7,3
2016,VA,51095,2,4
2016,NC,37117,7,3
2015,NC,37157,2,5
2017,LA,22059,7,3
2015,NC,37145,6,3
2016,TX,48289,5,2
2017,FL,12129,2,2
2016,MN,27111,2,2
2016,GA,13261,5,3
2017,MS,28087,6,2
2017,VA,51197,9,5
2015,MS,28123,7,4
2016,TN,47123,2,2
2016,TX,48313,5,2
2016,TX,48435,4,2
2017,MN,27029,6,2
2017,NC,37123,2,2
2015,VA,51720,7,2
2015,LA,22047,6,5
2015,VA,51820,9,5
2017,MS,28121,2,6
2016,MS,28151,2,2
2016,TX,48385,1,4
2016,TX,48477,6,3
2016,MN,27127,5,2
2017,MO,29171,7,3
2017,NC,37111,6,2
2015,MN,27161,9,3
2016,TX,48007,6,2
2015,NC,37177,3,2
2016,TX,48411,1,3
2016,VA,51199,2,2
2015,NC,37153,2,3
2015,NC,37167,2,2
2017,NC,37153,2,3
2015,AR,05037,6,2
2015,GA,13155,4,2
2016,TX,48031,2,3
2015,AR,05077,1,2
2016,LA,22081,4,2
2017,TX,48065,4,2
2017,MN,27005,2,2
2015,MN,27081,1,2
2015,TX,48279,9,2
2017,MN,27023,7,2
2017,MN,27107,9,2
2016,NC,37175,2,2
2017,MN,27071,7,2
2015,GA,13295,5,4
2016,VA,51027,5,2
2015,TN,47139,9,3
2016,AR,05029,7,2
2017,MO,29073,9,2
2017,MS,28097,9,2
2015,TN,47063,5,2
2016,GA,13259,7,2
2016,TN,47185,6,2
2016,TX,48075,4,3
2017,TX,48369,9,2
2016,TX,48083,4,2
2016,MO,29079,4,2
2015,TN,47129,2,2
2015,WV,54005,9,2
2016,VA,51001,5,2
2017,LA,22065,1,3
2015,LA,22115,5,3
2015,NC,37107,5,3
2015,MN,27135,5,2
2015,VA,51167,5,2
2016,TN,47159,9,3
2016,MO,29213,2,2
2016,MO,29119,6,3
2016,AR,05037,7,2
2016,TN,47101,6,2
2016,TN,47005,5,2
2015,AR,05035,2,2
2017,SC,45069,2,2
2015,GA,13229,6,2
2016,AR,05127,1,4
2017,TX,48115,9,2
2016,MO,29171,1,2
2015,FL,12051,2,2
2016,MO,29177,6,3
2015,TX,48321,5,2
2015,FL,12037,6,2
2016,LA,22021,3,2
2015,VA,51105,5,2
2015,MO,29059,2,2
2015,MS,28079,7,3
2017,AR,05047,2,2
2016,VA,51840,6,3
2015,MN,27121,7,2
2016,TN,47067,4,2
2015,TX,48437,1,2
2016,GA,13251,6,2
2017,MN,27071,9,2
2016,TN,47115,6,3
2016,WV,54065,5,3
2017,WV,54109,2,3
2015,MO,29139,2,2
2017,MS,28027,5,3
2016,LA,22067,5,2
2015,FL,12093,2,3
2016,NC,37195,2,2
2017,MS,28069,4,2
2017,TN,47175,1,2
2017,VA,51580,1,3
2017,MN,27045,6,3
2015,LA,22093,9,2
2015,TX,48297,9,2
2017,TN,47033,2,2
2015,SC,45017,6,2
2016,MN,27073,1,3
2017,MN,27125,3,3
2015,MN,27133,6,2
2017,MO,29205,4,2
2017,TN,47083,4,2
2017,TX,48165,2,2
2017,TN,47113,6,2
2015,TX,48395,6,2
2017,WV,54073,9,2
2015,TX,48483,9,3
2015,SC,45061,9,3
2015,MN,27097,5,2
2016,SC,45033,7,2
2017,GA,13183,9,2
2016,VA,51089,2,3
2015,TX,48455,9,2
2015,MS,28137,5,2
2017,NC,37103,6,2
2016,MO,29087,9,2
2016,MO,29127,8,1
2015,TN,47105,2,1
2016,LA,22093,6,1
2015,MO,29171,5,1
2015,SC,45081,2,1
2017,TX,48143,6,3
2017,MN,27163,8,1
2016,GA,13239,9,1
2017,SC,45027,5,1
2015,VA,51051,6,2
2017,MS,28111,2,1
2017,MO,29175,6,1
2015,TX,48111,5,1
2015,GA,13193,7,1
2017,VA,51179,8,1
2017,NC,37199,2,1
2017,SC,45049,2,1
2016,AR,05089,2,1
2015,NC,37077,2,1
2016,GA,13311,2,1
2016,VA,51073,2,2
2017,MN,27153,6,1
2015,TX,48151,7,1
2015,GA,13011,5,1
2017,WV,54053,2,1
2016,GA,13079,6,1
2017,TX,48311,3,1
2016,NC,37173,5,1
2015,WV,54063,2,1
2017,GA,13141,6,2
2017,MO,29143,5,1
2017,MN,27077,9,2
2017,AR,05129,9,1
2015,GA,13109,6,2
2017,GA,13265,7,1
2016,LA,22053,6,1
2015,TX,48487,2,1
2017,TX,48081,1,1
2015,GA,13059,8,1
2016,LA,22095,8,1
2015,MN,27079,2,1
2016,VA,51590,2,1
2016,MS,28007,6,1
2017,MS,28123,9,1
2015,NC,37029,6,1
2015,TN,47143,5,1
2016,MO,29027,6,1
2017,FL,12051,6,1
2016,MN,27167,9,1
2017,AR,05117,7,1
2017,AR,05133,9,2
2016,SC,45057,8,1
2016,TX,48495,7,1
2016,LA,22081,6,1
2015,TN,47071,2,1
2015,TX,48147,5,1
2016,AR,05097,2,1
2015,MS,28107,5,1
2015,VA,51097,9,1
2016,MO,29033,6,1
2015,VA,51167,2,1
2015,TN,47023,6,1
2017,MS,28021,4,2
2016,TX,48371,6,1
2015,AR,05061,5,1
2017,GA,13075,6,1
2016,MO,29033,9,1
2016,MO,29129,1,1
2016,GA,13143,8,1
2015,AR,05117,6,1
2016,GA,13307,4,1
2016,AR,05103,6,2
2016,WV,54091,6,1
2017,VA,51019,5,2
2016,MO,29186,5,2
2015,MO,29083,6,1
2017,VA,51057,5,1
2016,AR,05025,2,1
2015,TX,48149,6,1
2016,MO,29175,2,1
2015,VA,51017,6,1
2016,TX,48313,2,1
2015,MN,27055,5,1
2015,TX,48461,1,1
2015,TX,48415,9,1
2016,GA,13161,6,1
2016,LA,22021,6,1
2017,WV,54007,9,1
2015,TX,48387,5,1
2017,WV,54013,5,1
2016,MO,29091,2,1
2015,TX,48483,7,1
2015,TX,48193,5,1
2017,MS,28031,6,1
2015,NC,37019,8,1
2016,MO,29017,5,1
2015,GA,13061,4,1
2015,LA,22081,7,1
2016,NC,37043,5,1
2017,TX,48249,6,1
2016,TX,48301,none,1
2016,MS,28025,5,1
2017,TX,48507,9,1
2017,MO,29229,2,1
2016,GA,13053,7,1
2015,TX,48065,6,1
2017,GA,13173,6,1
2017,VA,51107,8,1
2016,MS,28069,7,1
2016,TX,48447,4,1
2015,MN,27121,6,1
2015,GA,13107,2,1
2016,AR,05133,2,1
2015,MO,29115,7,1
2015,MO,29135,7,2
2016,AR,05037,6,1
2015,NC,37025,8,1
2016,TX,48417,2,1
2017,LA,22115,6,1
2016,TX,48197,7,1
2015,GA,13201,1,1
2016,TX,48383,4,1
2016,WV,54077,6,1
2015,AR,05101,7,1
2017,TX,48361,2,1
2017,AR,05059,5,1
2015,NC,37099,8,1
2016,WV,54013,7,1
2016,MO,29063,7,1
2015,GA,13125,1,2
2016,MO,29133,6,1
2015,TN,47075,5,1
2017,AR,05049,9,1
2017,AR,05023,5,1
2016,TN,47159,8,1
2015,VA,51163,2,1
2017,MS,28007,6,1
2016,MN,27165,6,1
2015,WV,54017,7,1
2017,MO,29125,9,1
2015,TX,48343,2,1
2017,TX,48145,5,1
2017,MS,28025,6,1
2017,VA,51197,2,1
2016,VA,51750,2,1
2015,TX,48225,6,1
2017,MO,29199,4,1
2016,MN,27097,5,1
2016,TX,48107,4,2
2015,SC,45023,2,1
2016,SC,45017,2,1
2015,TX,48243,1,1
2015,WV,54053,5,1
2015,WV,54097,6,2
2016,TX,48011,2,1
2015,MS,28143,2,1
2015,TX,48507,7,1
2017,MN,27135,5,1
2016,FL,12043,8,1
2015,SC,45033,5,1
2015,TX,48483,4,1
2016,TX,48289,2,1
2015,TX,48395,5,1
2015,TX,48443,7,1
2015,VA,51001,2,1
2016,MN,27153,5,1
2016,VA,51105,6,1
2015,MO,29215,6,1
2017,AR,05087,5,1
2016,TX,48255,2,1
2015,GA,13189,6,1
2016,VA,51063,6,1
2015,SC,45009,6,1
2017,AR,05099,6,1
2015,MO,29033,5,1
2016,GA,13201,7,1
2017,SC,45003,8,1
2016,MN,27143,5,1
2015,SC,45089,2,1
2016,TX,48165,2,1
2015,NC,37015,5,1
2017,WV,54053,5,1
2017,VA,51115,6,1
2017,LA,22047,6,1
2015,MN,27091,9,1
2016,TX,48255,7,1
2017,LA,22013,5,1
2015,GA,13271,2,1
2017,VA,51059,8,2
2016,MS,28005,6,1
2016,MN,27113,6,1
2015,TX,48311,none,1
2015,GA,13165,9,1
2015,VA,51067,2,1
2016,TX,48457,6,1
2015,WV,54015,9,1
2017,FL,12077,2,1
2016,MS,28153,5,1
2015,TX,48433,4,1
2017,LA,22051,8,1
2015,TX,48277,6,1
2016,AR,05123,2,1
2016,TX,48063,6,1
2015,GA,13131,6,1
2016,MO,29203,2,1
2017,MN,27017,2,1
2015,TN,47035,5,1
2016,GA,13101,1,1
2017,VA,51580,9,1
2017,LA,22059,4,1
2015,LA,22035,4,2
2016,SC,45049,6,1
2017,MN,27069,9,1
2016,LA,22123,5,1
2015,TX,48219,2,1
2016,TX,48211,9,1
2015,GA,13205,9,1
2017,MS,28031,5,1
2015,AR,05061,7,1
2016,TX,48119,6,1
2015,LA,22011,6,1
2017,MN,27073,3,2
2015,TX,48117,6,1
2015,VA,51159,2,2
2016,VA,51710,8,1
2015,MS,28049,8,1
2017,VA,51147,6,1
2015,TX,48211,4,1
2017,FL,12109,8,1
2016,GA,13007,1,2
2015,MS,28111,4,1
2017,TX,48269,9,1
2017,MS,28089,2,2
2015,NC,37079,9,2
2015,GA,13261,6,1
2015,LA,22059,7,1
2015,GA,13057,8,1
2017,TX,48327,3,1
2015,TX,48483,5,1
2015,MS,28115,9,1
2017,TN,47013,8,1
2015,LA,22067,2,1
2015,MS,28143,6,1
2017,LA,22077,5,1
2017,GA,13165,2,1
2017,WV,54043,2,1
2015,MO,29003,6,1
2017,NC,37061,6,1
2015,TX,48305,9,1
2016,MS,28101,2,1
2016,MN,27031,3,1
2016,AR,05011,7,1
2017,NC,37007,2,1
2017,FL,12077,6,1
2016,GA,13049,7,2
2016,SC,45081,5,1
2016,MS,28011,6,1
2015,VA,51091,7,1
2016,MN,27075,7,1
2017,MS,28141,5,1
2016,TX,48023,1,1
2015,GA,13321,2,1
2015,FL,12063,5,1
2015,MO,29041,7,1
2015,TX,48307,4,1
2016,VA,51670,2,1
2016,TX,48477,2,1
2016,MO,29001,5,1
2017,NC,37041,5,1
2015,MS,28093,8,1
2016,TN,47181,9,1
2015,VA,51045,2,1
2017,AR,05057,6,1
2015,VA,51017,9,1
2015,LA,22025,9,1
2016,MS,28079,6,1
2015,TX,48447,7,1
2015,TN,47007,2,1
2017,VA,51001,2,1
2016,TX,48495,4,2
2017,TX,48495,2,1
2017,TX,48431,1,1
2016,FL,12077,1,1
2016,MS,28049,8,1
2017,GA,13261,2,1
2017,MN,27159,2,1
2015,NC,37075,6,1
2015,SC,45049,5,1
2016,TX,48151,7,1
2017,GA,13017,7,1
2017,TX,48251,8,1
2016,WV,54029,2,2
2015,MO,29021,8,1
2017,MN,27099,2,1
2017,TN,47005,2,1
2015,LA,22049,2,1
2017,AR,05055,5,2
2017,VA,51033,2,1
2017,GA,13011,5,1
2017,NC,37043,2,1
2017,AR,05087,6,1
2015,TN,47183,5,1
2016,MO,29027,5,1
2016,GA,13271,1,1
2015,GA,13087,2,1
2016,AR,05129,5,1
2015,AR,05057,5,2
2015,MO,29171,9,1
2015,LA,22085,5,1
2016,MS,28011,2,1
2017,TX,48081,9,1
2017,TX,48317,7,2
2016,TN,47049,5,1
2017,GA,13065,9,1
2016,VA,51720,9,1
2015,VA,51520,2,1
2015,TX,48457,6,1
2016,MS,28153,9,3
2015,GA,13111,5,1
2016,WV,54085,3,2
2015,AR,05095,5,1
2017,MS,28067,8,1
2016,TX,48261,4,2
2016,NC,37177,6,2
2016,MN,27047,5,1
2016,TX,48489,5,1
2016,TN,47005,3,2
2015,GA,13043,6,1
2017,TX,48437,3,2
2016,VA,51103,6,1
2016,VA,51036,5,1
2015,TX,48295,1,1
2016,TX,48081,9,2
2017,MO,29163,6,1
2015,VA,51133,6,2
2016,TN,47179,8,1
2017,TX,48153,9,1
2016,MO,29199,1,1
2015,VA,51610,2,1
2017,MO,29085,2,1
2017,AR,05049,2,1
2017,NC,37083,2,1
2015,GA,13069,2,1
2015,TX,48207,4,2
2017,VA,51167,2,1
2017,MS,28069,1,2
2016,TX,48295,4,1
2015,TN,47111,2,1
2016,GA,13303,5,1
2017,GA,13211,5,2
2015,VA,51051,2,1
2017,MN,27075,9,1
2017,NC,37119,8,2
2016,MO,29085,2,1
2016,MO,29103,3,1
2017,LA,22065,4,1
2016,MO,29125,8,1
2017,MO,29125,5,1
2016,TX,48195,9,1
2017,MO,29175,2,1
2017,MS,28157,4,1
2016,GA,13037,5,1
2016,MO,29033,5,1
2016,VA,51069,8,1
2016,TX,48319,2,1
2015,MN,27051,5,1
2016,WV,54015,6,1
2017,WV,54071,6,1
2016,VA,51610,2,1
2016,FL,12059,2,1
2017,TX,48437,5,1
2017,TX,48045,7,1
2015,GA,13235,8,1
2016,LA,22007,2,1
2015,TX,48237,7,1
2017,AR,05077,9,1
2016,GA,13293,2,1
2015,TX,48193,6,1
2015,TX,48379,5,1
2017,TX,48169,9,1
2016,MS,28005,2,1
2015,TX,48081,6,1
2016,TX,48195,4,1
2015,VA,51195,6,1
2015,TX,48483,1,1
2017,TX,48105,7,1
2016,AR,05049,5,1
2015,MN,27117,7,1
2017,GA,13195,6,1
2015,TX,48191,1,1
2016,MO,29223,9,1
2015,TX,48435,4,1
2016,WV,54021,5,1
2016,GA,13315,5,1
2015,MS,28063,4,1
2015,TX,48463,6,1
2016,TX,48319,7,1
2016,TX,48229,3,3
2017,MO,29155,2,1
2017,TX,48011,1,1
2015,GA,13133,5,1
2017,MO,29075,5,1
2017,TX,48247,6,1
2015,NC,37005,5,2
2015,MN,27121,2,1
2015,NC,37157,8,1
2015,MO,29089,5,1
2016,TX,48017,4,1
2015,MS,28065,7,2
2017,AR,05067,4,2
2016,MN,27135,6,1
2015,AR,05105,6,1
2015,AR,05105,2,1
2017,LA,22037,2,1
2017,TX,48017,5,1
2016,TX,48275,1,2
2017,TX,48155,none,1
2017,LA,22023,6,1
2017,GA,13283,1,1
2015,MN,27057,5,1
2016,TX,48107,9,1
2017,MN,27165,7,1
2016,MO,29057,6,1
2017,TX,48195,9,1
2015,AR,05071,5,1
2015,TN,47087,6,1
2015,TX,48031,7,1
2017,MN,27091,5,1
2016,VA,51590,5,1
2016,AR,05029,2,1
2016,TN,47181,5,1
2015,MS,28127,6,1
2015,LA,22065,2,1
2017,MO,29057,6,1
2015,SC,45065,6,1
2016,MO,29033,7,1
2016,TN,47173,5,1
2015,VA,51145,2,1
2015,TN,47081,2,1
2017,AR,05003,6,2
2017,FL,12037,2,1
2016,AR,05009,5,1
2017,TN,47109,6,1
2015,TN,47171,2,1
2016,FL,12095,1,2031
2016,SC,45019,none,1726
2015,MN,27019,3,97
2015,TX,48135,none,783
2016,TX,48491,3,640
2015,SC,45063,none,1184
2015,TX,48113,1,2069
2015,FL,12009,1,878
2015,TX,48113,none,5568
2016,NC,37057,none,674
2016,TX,48199,none,379
2016,GA,13089,none,3222
2016,VA,51810,3,750
2017,FL,12017,4,176
2016,MN,27123,none,1165
2016,SC,45035,1,261
2016,NC,37161,3,119
2016,TX,48091,4,171
2017,TX,48061,none,503
2015,AR,05119,3,475
2016,NC,37183,none,4135
2016,SC,45051,none,1939
2016,NC,37183,3,1208
2015,TX,48157,none,2498
2017,TX,48453,none,2519
2016,GA,13067,none,3283
2017,TX,48481,none,114
2015,TX,48339,none,1961
2016,FL,12091,none,1086
2016,MN,27003,9,160
2017,NC,37169,7,20
2015,NC,37179,none,706
2015,TX,48167,1,496
2015,VA,51153,7,506
2017,FL,12057,1,2224
2015,GA,13079,none,43
2015,WV,54039,3,393
2015,FL,12085,3,225
2017,FL,12001,4,173
2016,FL,12031,1,1436
2016,FL,12086,4,2184
2015,FL,12031,7,610
2015,VA,51153,1,881
2016,TX,48423,none,1046
2017,NC,37179,3,348
2017,TX,48039,none,960
2016,MO,29077,none,757
2016,SC,45045,none,1994
2016,VA,51041,1,510
2017,FL,12095,4,984
2017,GA,13151,3,525
2015,SC,45035,7,135
2015,FL,12117,7,361
2017,GA,13135,none,2007
2017,FL,12086,6,460
2017,GA,13113,1,188
2016,TN,47037,4,474
2017,TX,48209,3,278
2017,FL,12109,9,151
2015,MS,28113,none,320
2016,FL,12053,none,1121
2015,TX,48113,7,996
2015,TX,48201,none,10152
2016,FL,12103,1,1427
2015,TX,48453,9,495
2015,TN,47149,none,1100
2015,TX,48439,7,1005
2016,TX,48113,9,929
2017,LA,22055,none,897
2016,GA,13089,4,756
2017,MS,28115,none,167
2016,TN,47157,none,3940
2015,NC,37101,none,543
2015,FL,12101,1,891
2015,VA,51031,none,142
2015,LA,22067,3,31
2017,LA,22063,3,154
2017,LA,22015,none,434
2017,FL,12117,4,388
2016,FL,12011,none,8122
2015,GA,13245,none,656
2017,MN,27139,3,152
2017,FL,12127,1,965
2015,TX,48215,none,1469
2017,NC,37183,3,1114
2016,MN,27049,7,16
2017,VA,51041,none,621
2015,LA,22097,none,461
2016,SC,45063,3,461
2016,MO,29095,3,892
2017,FL,12009,3,1093
2016,NC,37119,3,1527
2017,TX,48423,none,743
2015,GA,13097,none,576
2015,SC,45019,7,324
2015,GA,13047,3,103
2017,FL,12019,none,689
2016,SC,45015,3,423
2016,GA,13247,3,225
2015,VA,51700,none,382
2016,MN,27053,9,484
2015,TX,48073,none,153
2016,NC,37067,1,365
2016,TN,47119,none,552
2016,MN,27141,7,57
2017,AR,05119,3,334
2016,GA,13063,none,1342
2017,TX,48491,4,278
2015,TN,47031,none,181
2015,TX,48453,1,1425
2017,AR,05143,none,742
2015,MN,27009,1,38
2015,GA,13121,1,1291
2017,TX,48029,4,948
2016,FL,12011,4,1806
2016,MO,29510,3,389
2016,FL,12031,9,721
2017,AR,05033,none,313
2015,TX,48005,none,329
2015,NC,37035,none,398
2017,NC,37183,7,624
2016,NC,37113,none,249
2016,TN,47187,1,274
2015,NC,37019,4,208
2015,TX,48245,3,280
2015,SC,45029,none,244
2015,FL,12071,7,547
2016,TX,48157,3,978
2016,FL,12117,7,443
2016,AR,05119,1,296
2016,NC,37129,3,239
2016,TX,48099,4,33
2016,LA,22079,none,762
2015,FL,12095,3,2038
2015,FL,12103,4,1034
2015,SC,45079,3,713
2016,TX,48027,none,1325
2016,FL,12095,9,692
2017,FL,12111,none,877
2017,TX,48439,1,1836
2017,TX,48157,none,1395
2015,FL,12095,1,1830
2016,TX,48251,none,822
2016,GA,13121,4,1001
2016,SC,45007,none,863
2015,TX,48061,1,428
2015,SC,45045,1,450
2017,VA,51047,7,44
2015,MO,29189,3,1177
2017,TX,48141,none,3006
2016,GA,13313,none,500
2016,FL,12021,4,356
2015,FL,12075,none,228
2015,MN,27123,9,139
2016,TX,48469,none,381
2015,TX,48029,4,887
2016,SC,45091,7,207
2016,TX,48091,1,296
2017,VA,51111,none,39
2016,TX,48039,3,441
2016,TX,48029,7,1151
2016,VA,51061,1,106
2017,FL,12083,3,845
2016,NC,37045,7,37
2015,LA,22119,none,190
2015,NC,37035,1,149
2015,MS,28033,none,667
2015,TX,48201,4,2161
2016,GA,13067,7,732
2015,GA,13045,3,262
2017,MN,27123,3,463
2015,VA,51650,none,353
2017,WV,54061,3,80
2015,LA,22069,none,207
2017,TN,47089,none,233
2017,TX,48141,1,688
2015,TN,47155,3,189
2016,TX,48245,1,177
2017,FL,12023,9,34
2017,FL,12117,1,641
2016,GA,13127,9,29
2016,GA,13277,none,170
2017,NC,37021,none,569
2016,TX,48395,none,87
2017,TX,48453,3,978
2016,FL,12019,none,1029
2015,GA,13129,none,210
2017,VA,51510,9,68
2015,LA,22015,none,498
2016,MS,28033,none,1115
2016,FL,12057,9,891
2016,GA,13051,none,1167
2016,TX,48291,none,582
2016,TX,48375,4,44
2017,MO,29029,none,160
2015,FL,12127,none,1731
2016,NC,37053,7,33
2016,GA,13207,none,126
2016,SC,45083,none,1389
2016,TX,48439,4,909
2015,GA,13071,3,49
2015,VA,51003,none,209
2017,GA,13099,none,45
2017,LA,22071,1,374
2015,TN,47013,3,77
2016,FL,12071,9,649
2017,MN,27037,none,652
2017,MS,28049,1,204
2015,FL,12019,4,207
2015,SC,45045,4,353
2016,VA,51187,none,193
2015,LA,22019,4,126
2017,MO,29105,none,174
2017,SC,45077,3,214
2015,MN,27137,none,378
2015,TX,48139,3,275
2017,SC,45057,3,145
2016,LA,22071,9,170
2016,TN,47065,7,222
2017,VA,51700,9,102
2017,FL,12057,7,1025
2017,TX,48245,3,229
2015,TX,48139,1,181
2017,VA,51067,1,81
2017,GA,13255,none,139
2017,NC,37001,4,173
2017,MO,29510,4,239
2017,VA,51117,3,49
2017,GA,13051,1,384
2016,AR,05007,5,34
2016,NC,37101,3,263
2015,TX,48121,3,931
2017,MS,28003,none,107
2015,GA,13001,none,177
2015,FL,12109,1,467
2016,NC,37139,none,173
2015,GA,13215,1,194
2015,TX,48157,7,632
2015,TX,48085,9,445
2016,MN,27123,3,499
2017,GA,13267,none,154
2017,SC,45045,4,294
2016,MO,29031,none,314
2017,GA,13135,3,1307
2015,TX,48029,7,1036
2015,GA,13057,none,842
2017,SC,45013,4,148
2015,FL,12111,4,296
2017,MO,29189,3,1031
2016,MN,27037,1,468
2017,VA,51177,3,273
2017,TX,48181,none,421
2015,TN,47163,3,212
2016,TX,48217,3,44
2017,VA,51550,4,166
2016,GA,13245,3,415
2017,VA,51041,4,257
2015,NC,37051,1,400
2016,MS,28121,3,144
2015,LA,22063,3,152
2016,FL,12075,none,207
2017,TX,48373,none,224
2016,TX,48113,5,284
2017,MO,29097,none,362
2017,NC,37061,none,166
2017,TX,48049,none,97
2016,MO,29213,none,247
2016,VA,51510,none,307
2016,MO,29095,1,611
2015,NC,37097,1,240
