FIPS5,ST,DN,DECL,ITYPE,REGS
48203,TX,4223,2015-05-29,W,195
48015,TX,4269,2016-04-25,F,478
12109,FL,4283,2016-10-08,H,5829
13305,GA,4284,2016-10-08,H,535
37055,NC,4285,2016-10-10,H,1284
37079,NC,4285,2016-10-10,H,647
27147,MN,4290,2016-11-02,F,92
12085,FL,4337,2017-09-10,H,9267
13127,GA,4338,2017-09-15,H,12584
48149,TX,4269,2016-04-25,F,119
40015,OK,4222,2015-05-26,W,100
45051,SC,4241,2015-10-05,F,6525
22127,LA,4263,2016-03-13,F,445
54087,WV,4273,2016-06-25,F,372
54101,WV,4273,2016-06-25,F,554
13081,GA,4297,2017-01-26,T,177
48363,TX,4272,2016-06-11,F,43
05131,AR,4226,2015-06-26,W,59
12086,FL,4341,2017-09-27,H,26
29029,MO,4250,2016-01-21,F,89
48167,TX,4245,2015-11-25,W,126
29085,MO,4250,2016-01-21,F,23
37101,NC,4285,2016-10-10,H,2080
29093,MO,4317,2017-06-02,F,30
12103,FL,4337,2017-09-10,H,163278
72007,PR,4339,2017-09-20,H,9091
72079,PR,4339,2017-09-20,H,8366
72099,PR,4339,2017-09-20,H,12619
12043,FL,4341,2017-09-27,H,82
12129,FL,4280,2016-09-28,H,160
21115,KY,4239,2015-08-12,W,611
48367,TX,4269,2016-04-25,F,183
48201,TX,4272,2016-06-11,F,1366
45035,SC,4286,2016-10-11,H,1794
54051,WV,4331,2017-08-18,W,310
27047,MN,4290,2016-11-02,F,263
12105,FL,4337,2017-09-10,H,115734
72125,PR,4339,2017-09-20,H,11172
12051,FL,4341,2017-09-27,H,63
21205,KY,4217,2015-05-01,F,146
05049,AR,4318,2017-06-15,W,36
72025,PR,4339,2017-09-20,H,45759
48037,TX,4223,2015-05-29,W,79
48061,TX,4245,2015-11-25,W,771
22017,LA,4263,2016-03-13,F,1626
37117,NC,4285,2016-10-10,H,246
29091,MO,4317,2017-06-02,F,568
29153,MO,4317,2017-06-02,F,150
72051,PR,4336,2017-09-10,H,400
12101,FL,4337,2017-09-10,H,53508
21193,KY,4239,2015-08-12,W,55
29161,MO,4250,2016-01-21,F,75
48457,TX,4266,2016-03-19,F,61
28011,MS,4268,2016-03-25,F,784
22047,LA,4277,2016-08-14,F,1185
12031,FL,4283,2016-10-08,H,5958
37103,NC,4285,2016-10-10,H,260
45025,SC,4286,2016-10-11,H,292
29035,MO,4317,2017-06-02,F,291
48239,TX,4332,2017-08-25,H,2676
12095,FL,4337,2017-09-10,H,183032
72029,PR,4339,2017-09-20,H,17270
40111,OK,4222,2015-05-26,W,173
72087,PR,4336,2017-09-10,H,1041
72145,PR,4336,2017-09-10,H,761
28139,MS,4248,2016-01-04,W,118
48221,TX,4272,2016-06-11,F,264
13127,GA,4284,2016-10-08,H,2640
37127,NC,4285,2016-10-10,H,1070
37187,NC,4285,2016-10-10,H,372
37029,NC,4285,2016-10-10,H,225
05125,AR,4318,2017-06-15,W,208
12121,FL,4337,2017-09-10,H,5848
72107,PR,4339,2017-09-20,H,8824
28075,MS,4295,2017-01-25,T,58
29073,MO,4317,2017-06-02,F,65
48313,TX,4223,2015-05-29,W,23
48149,TX,4332,2017-08-25,H,916
21151,KY,4217,2015-05-01,F,95
28119,MS,4248,2016-01-04,W,218
22105,LA,4263,2016-03-13,F,6544
28027,MS,4268,2016-03-25,F,561
28091,MS,4268,2016-03-25,F,164
48473,TX,4269,2016-04-25,F,997
28111,MS,4268,2016-03-25,F,221
45011,SC,4286,2016-10-11,H,136
29119,MO,4317,2017-06-02,F,168
72043,PR,4339,2017-09-20,H,13163
72145,PR,4339,2017-09-20,H,20914
48199,TX,4245,2015-11-25,W,170
28111,MS,4295,2017-01-25,T,42
05009,AR,4318,2017-06-15,W,98
51550,VA,4291,2016-11-02,H,741
40023,OK,4222,2015-05-26,W,77
40127,OK,4222,2015-05-26,W,106
40069,OK,4222,2015-05-26,W,175
48209,TX,4223,2015-05-29,W,2195
48455,TX,4223,2015-05-29,W,49
05069,AR,4254,2016-02-05,W,158
12053,FL,4280,2016-09-28,H,359
45043,SC,4286,2016-10-11,H,2091
48473,TX,4332,2017-08-25,H,2613
72139,PR,4339,2017-09-20,H,22753
12057,FL,4341,2017-09-27,H,578
40131,OK,4222,2015-05-26,W,44
37143,NC,4285,2016-10-10,H,114
28023,MS,4268,2016-03-25,F,77
05075,AR,4318,2017-06-15,W,42
12127,FL,4341,2017-09-27,H,2
21127,KY,4217,2015-05-01,F,171
40013,OK,4222,2015-05-26,W,381
48113,TX,4223,2015-05-29,W,1250
45041,SC,4241,2015-10-05,F,7212
48021,TX,4245,2015-11-25,W,180
