-- S13 FEC candidates behind those committees: office, office state, district, incumbent flag, party, by election year
CAND_ID | CAND_NAME | CAND_ELECTION_YR | CAND_OFFICE | CAND_OFFICE_ST | CAND_OFFICE_DISTRICT | CAND_ICI | CAND_PTY_AFFILIATION | CAND_STATUS | CAND_PCC | CAND_ST
H0TX36013 | BOATMAN, R J | 2020 | H | TX | 36 | C | REP | C | C00711440 | TX
H6CA48245 | BAUGH, SCOTT | 2018 | H | CA | 48 | C | REP | C | C00607432 | CA
H0VA02118 | TAYLOR, SCOTT W. MR. | 2020 | H | VA | 02 | C | REP | C | C00733394 | VA
H0FL08208 | WEBSTER, DANIEL | 2024 | H | FL | 11 | I | REP | C | C00481911 | FL
H0NC02117 | JOHNSON-HOSTLER, MONIKA | 2020 | H | NC | 02 | O | DEM | C | C00714972 | NC
H0MS04120 | PALAZZO, STEVEN MCCARTY | 2020 | H | MS | 04 | I | REP | C | C00477323 | MS
H0CA15171 | SIMITIAN, S JOSEPH | 2024 | H | CA | 16 | O | DEM | C | C00458117 | CA
H8NJ04014 | SMITH, CHRISTOPHER H | 2018 | H | NJ | 04 | I | REP | C | C00096412 | NJ
S4WV00399 | ELLIOTT, GLENN FREDERICK MR. JR. | 2024 | S | WV | 00 | O | DEM | C | C00864819 | WV
H2IL06124 | GRASSO, GARY | 2022 | H | IL | 06 | C | REP | P | C00799247 | IL
H4TX28129 | FURMAN, JAY COMMANDER | 2024 | H | TX | 28 | C | REP | C | C00857433 | TX
H6CA48245 | BAUGH, SCOTT | 2024 | H | CA | 47 | O | REP | C | C00798322 | CA
S8MS00261 | HYDE-SMITH, CINDY | 2018 | S | MS | 00 | O | REP | C | C00675348 | MS
H0OH14084 | MUERI, HILLARY O'CONNOR | 2020 | H | OH | 14 | C | DEM | P | C00722637 | OH
H8WI05165 | PALZEWICZ, TOM | 2020 | H | WI | 05 | O | DEM | P | C00653733 | WI
H8MN05239 | OMAR, ILHAN | 2024 | H | MN | 05 | I | DFL | C | C00680934 | DC
H4CA45089 | RATHS, GREGORY GERARD | 2020 | H | CA | 45 | C | REP | P | C00700559 | CA
H4IN05179 | GOODRICH, CHARLES | 2024 | H | IN | 05 | C | REP | C | C00835009 | IN
H8IA01094 | FINKENAUER, ABBY | 2020 | H | IA | 01 | I | DEM | C | C00637074 | IA
P00014530 | BLOOMBERG, MICHAEL R. | 2020 | P | US | 00 | C | DEM | P | C00728154 | NY
H8CA10167 | COX, TERRENCE JOHN (TJ) | 2020 | H | CA | 21 | I | DEM | C | C00648956 | CA
H4MI08184 | BLANK, MARTIN | 2024 | H | MI | 08 | O | REP | C | C00852301 | MI
S0AR00226 | HARRINGTON, RICKY DALE MR. JR | 2020 | S | AR | 00 | C | LIB | C | C00741124 | AR
H2NH01270 | LEAVITT, KAROLINE | 2022 | H | NH | 01 | C | REP | C | C00784884 | NH
H4MO01134 | BELL, WESLEY MR | 2024 | H | MO | 01 | C | DEM | C | C00842336 | MO
H0TN01118 | HARSHBARGER, DIANA | 2024 | H | TN | 01 | I | REP | C | C00741090 | TN
H2NC10124 | ROBINSON, GARY THOMAS | 2022 | H | NC | 10 | C | REP | C | C00807818 | NC
H8CA29100 | DUENAS, ANGELICA MARIA | 2024 | H | CA | 29 | O | DEM | C | C00697391 | CA
S2WI00359 | GODLEWSKI, SARAH | 2022 | S | WI | 00 | C | DEM | P |  | WI
H2MO02102 | WAGNER, ANN L. | 2024 | H | MO | 02 | I | REP | C | C00495846 | MO
S4NJ00250 | MEISSNER, STUART DAVID | 2014 | S | NJ | 00 | C | OTH | N | C00547695 | NJ
H8SC01116 | CUNNINGHAM, JOE | 2018 | H | SC | 01 | C | DEM | C | C00650507 | SC
H0GA09220 | GURTLER, MATT | 2020 | H | GA | 09 | O | REP | P | C00738666 | GA
H2CA42205 | ROLLINS, WILL | 2022 | H | CA | 41 | C | DEM | C | C00792507 | CA
H8MA02041 | NEAL, RICHARD E | 2024 | H | MA | 01 | I | DEM | C | C00226522 | MA
H2AL03032 | ROGERS, MICHAEL | 2018 | H | AL | 03 | I | REP | C | C00367862 | AL
H2NM01219 | LOUIS, GEORGENE | 2022 | H | NM | 01 | C | DEM | P | C00767160 | NM
H6FL18097 | MAST, BRIAN | 2022 | H | FL | 21 | I | REP | C | C00632257 | FL
H0CA48024 | ISSA, DARRELL | 2018 | H | CA | 49 | I | REP | C | C00350520 | CA
H4VA02078 | DENTON, JAKE | 2024 | H | VA | 02 | C | DEM | C | C00867911 | VA
H2OK04055 | COLE, TOM | 2020 | H | OK | 04 | I | REP | C | C00379735 | OK
H0GA05301 | WILLIAMS, NIKEMA N. | 2024 | H | GA | 05 | I | DEM | C | C00752584 | GA
H0CA32101 | CHU, JUDY | 2022 | H | CA | 28 | I | DEM | C | C00458125 | CA
H0WI03175 | VAN ORDEN, DERRICK F. MR. | 2024 | H | WI | 03 | I | REP | C | C00742007 | WI
H8VA01147 | WITTMAN, ROBERT J MR. | 2022 | H | VA | 01 | I | REP | C | C00441014 | VA
H4NC12175 | ALI, ADDUL RAHMAN EL | 2024 | H | NC | 12 | C | REP | C | C00856948 | NC
H2FL01282 | LOMBARDO, MARK | 2022 | H | FL | 01 | C | REP | C | C00818351 | FL
H4MN06087 | EMMER, THOMAS EARL JR. | 2020 | H | MN | 06 | I | REP | C | C00545749 | MN
S0TX00266 | WEST, ROYCE | 2020 | S | TX | 00 | C | DEM | P | C00712968 | TX
H0NC11233 | CAWTHORN, DAVID MADISON | 2022 | H | NC | 11 | I | REP | C | C00732958 | NC
H2OH14064 | JOYCE, DAVID P | 2020 | H | OH | 14 | I | REP | C | C00527457 | 
S2PA00398 | KENYATTA, MALCOLM | 2022 | S | PA | 00 | O | DEM | P | C00769901 | PA
H2UT04072 | HUNSAKER, JAKE | 2022 | H | UT | 04 | C | REP | C | C00786798 | UT
S0AL00263 | MOONEY, ARNOLD | 2020 | S | AL | 00 | C | REP | C | C00705269 | AL
H8CO02160 | NEGUSE, JOSEPH | 2024 | H | CO | 02 | I | DEM | C | C00648253 | CO
H2OR01216 | REYNOLDS, STEVEN CODY | 2014 | H | OR | 01 | C | LIB | N | C00638437 | OR
