-- S19 Outside money for and against each member of Congress, 2024 and 2026 cycles (a stand-in for how tight each member's race is)
BIOGUIDE | CYCLE | OUTSIDE_FOR | OUTSIDE_AGAINST | PAC_DONATIONS | N_PAC_DONORS
H001095 | 2024 | 1407.00 | 0.00 | 431477.00 | 137
S001191 | 2024 | 0.00 | 66095.00 | 905135.00 | 260
B000944 | 2024 | 24605129.00 | 115125953.00 | 5543302.00 | 681
L000491 | 2024 | 49852.00 | 0.00 | 1138007.00 | 281
O000019 | 2024 | 2657.00 | 22000.00 | 1018458.00 | 290
B001292 | 2024 | 8542.00 | 0.00 | 807476.00 | 226
H001091 | 2024 | 87676.00 | 0.00 | 1509342.00 | 417
W000437 | 2024 | 420239.00 | 21910.00 | 2531574.00 | 541
P000034 | 2024 | 263.00 | 0.00 | 2113703.00 | 419
K000384 | 2024 | 65551.00 | 0.00 | 2172443.00 | 445
B001295 | 2024 | 160767.00 | 19639.00 | 1588996.00 | 399
G000590 | 2024 | 815.00 | 0.00 | 328344.00 | 107
M001156 | 2024 | 126626.00 | 0.00 | 1300103.00 | 277
S001221 | 2024 | 145865.00 | 33000.00 | 1506719.00 | 365
C001068 | 2024 | 10.00 | 0.00 | 545531.00 | 153
S001185 | 2024 | 68609.00 | 0.00 | 2108478.00 | 501
C001066 | 2024 | 1041.00 | 0.00 | 652562.00 | 184
D000615 | 2024 | 430.00 | 0.00 | 423101.00 | 152
B001281 | 2024 | 7220.00 | 0.00 | 1318330.00 | 306
G000598 | 2024 | 94.00 | 0.00 | 431650.00 | 122
G000559 | 2024 | 189.00 | 0.00 | 560850.00 | 155
E000294 | 2024 | 122626.00 | 0.00 | 2660070.00 | 510
B001282 | 2024 | 111594.00 | 0.00 | 1908563.00 | 380
K000398 | 2024 | 643148.00 | 2999989.00 | 1461989.00 | 372
H000601 | 2024 | 717502.00 | 0.00 | 870048.00 | 235
T000467 | 2024 | 2847.00 | 631.00 | 1502472.00 | 340
L000582 | 2024 | 365.00 | 0.00 | 801612.00 | 212
G000377 | 2024 | 0.00 | 0.00 | 543047.00 | 173
C001133 | 2024 | 3389148.00 | 8172748.00 | 2091276.00 | 517
M000639 | 2024 | 0.00 | 0.00 | 507474.00 | 184
M001111 | 2024 | 4519.00 | 0.00 | 302000.00 | 113
J000299 | 2024 | 3712.00 | 13143.00 | 1974656.00 | 343
D000618 | 2024 | 0.00 | 0.00 | 841922.00 | 257
M000317 | 2024 | 10000.00 | 0.00 | 1308735.00 | 341
S001225 | 2024 | 954030.00 | 86785.00 | 1435028.00 | 336
S001156 | 2024 | 327.00 | 0.00 | 1196792.00 | 296
C001125 | 2024 | 827.00 | 0.00 | 897217.00 | 242
L000598 | 2024 | 242144.00 | 1416774.00 | 1421067.00 | 348
C001088 | 2024 | 0.00 | 0.00 | 541859.00 | 198
E000246 | 2024 | 33117.00 | 0.00 | 488926.00 | 164
F000470 | 2024 | 25832.00 | 0.00 | 1062805.00 | 288
M001177 | 2024 | 157.00 | 0.00 | 196099.00 | 67
A000376 | 2024 | 327.00 | 0.00 | 119995.00 | 50
L000593 | 2024 | 310356.00 | 177818.00 | 1150103.00 | 257
C001091 | 2024 | 10.00 | 0.00 | 234667.00 | 71
B000825 | 2024 | 230301.00 | 328844.00 | 351083.00 | 104
C001115 | 2024 | 3124.00 | 0.00 | 213773.00 | 79
T000278 | 2024 | 18295.00 | 5000.00 | 358789.00 | 122
C001117 | 2024 | 71993.00 | 0.00 | 1015922.00 | 250
H001084 | 2024 | 1276461.00 | 8595384.00 | 827766.00 | 200
B001278 | 2024 | 34835.00 | 0.00 | 546293.00 | 149
D000563 | 2024 | 0.00 | 0.00 | 167148.00 | 64
P000145 | 2024 | 1.00 | 0.00 | 229087.00 | 85
R000614 | 2024 | 15783.00 | 0.00 | 317123.00 | 71
C001097 | 2024 | 0.00 | 0.00 | 511684.00 | 203
V000133 | 2024 | 17129.00 | 0.00 | 488982.00 | 138
N000188 | 2024 | 2510.00 | 0.00 | 1111206.00 | 227
L000590 | 2024 | 230782.00 | 8628.00 | 1331115.00 | 333
G000594 | 2024 | 1549673.00 | 75366.00 | 1688544.00 | 314
G000576 | 2024 | 5696.00 | 0.00 | 268361.00 | 106
(1258 rows; csv has all)
