-- S06 Frame and mergers landing tables: raw column names (did the loader eat a data row as the header?) and landing row counts
TABLE_NAME | ORDINAL_POSITION | COLUMN_NAME | ROW_COUNT
FED_EIA861_FRAME | 1 | C_2024 | 3412
FED_EIA861_FRAME | 2 | C_34 | 3412
FED_EIA861_FRAME | 3 | CITY_OF_ABBEVILLE_SC | 3412
FED_EIA861_FRAME | 4 | Y | 3412
FED_EIA861_FRAME | 5 | M | 3412
FED_EIA861_FRAME | 6 | MUNICIPAL | 3412
FED_EIA861_FRAME | 7 | UNNAMED_6 | 3412
FED_EIA861_FRAME | 8 | X | 3412
FED_EIA861_FRAME | 9 | UNNAMED_8 | 3412
FED_EIA861_FRAME | 10 | UNNAMED_9 | 3412
FED_EIA861_FRAME | 11 | UNNAMED_10 | 3412
FED_EIA861_FRAME | 12 | UNNAMED_11 | 3412
FED_EIA861_FRAME | 13 | UNNAMED_12 | 3412
FED_EIA861_FRAME | 14 | UNNAMED_13 | 3412
FED_EIA861_FRAME | 15 | UNNAMED_14 | 3412
FED_EIA861_FRAME | 16 | UNNAMED_15 | 3412
FED_EIA861_FRAME | 17 | UNNAMED_16 | 3412
FED_EIA861_FRAME | 18 | UNNAMED_17 | 3412
FED_EIA861_FRAME | 19 | UNNAMED_18 | 3412
FED_EIA861_FRAME | 20 | X_1 | 3412
FED_EIA861_FRAME | 21 | UNNAMED_20 | 3412
FED_EIA861_FRAME | 22 | _INGESTED_AT | 3412
FED_EIA861_FRAME | 23 | _SOURCE_RUN_ID | 3412
FED_EIA861_FRAME | 24 | _SRC_FILE | 3412
FED_EIA861_MERGERS | 1 | C_2024 | 4
FED_EIA861_MERGERS | 2 | C_6389 | 4
FED_EIA861_MERGERS | 3 | ENERGY_HARBOR_GENERATION_LLC | 4
FED_EIA861_MERGERS | 4 | C_03_01_2024 | 4
FED_EIA861_MERGERS | 5 | VISTRA_CORP | 4
FED_EIA861_MERGERS | 6 | VISTRA_CORP_1 | 4
FED_EIA861_MERGERS | 7 | C_6555_SIERRA_DR | 4
FED_EIA861_MERGERS | 8 | IRVING | 4
FED_EIA861_MERGERS | 9 | TX | 4
FED_EIA861_MERGERS | 10 | C_75039 | 4
FED_EIA861_MERGERS | 11 | _INGESTED_AT | 4
FED_EIA861_MERGERS | 12 | _SOURCE_RUN_ID | 4
FED_EIA861_MERGERS | 13 | _SRC_FILE | 4
(37 rows; csv has all)
