-- S12 FEC committees (one clean line each) for every FEC committee ID the Google buyers listed
CMTE | CMTE_NM | CMTE_ST | CMTE_CITY | CMTE_TP | CMTE_DSGN | CMTE_PTY_AFFILIATION | CAND_ID | CYCLE | IS_AMBIGUOUS | SRC
C00906883 | PIA DANDIYA FOR CONGRESS | FL | JUPITER | H | P | DEM | H6FL21059 | 2026 | False | bulk_cm26
C00492116 | COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE | CA | LOS ANGELES | O | U |  |  | 2026 | False | bulk_cm26
C00836577 | DIANE YOUNG FOR CONGRESS | MI | STERLING HEIGHTS | H | P | DEM | H4MI10099 | 2026 | False | bulk_cm26
C00367862 | MIKE ROGERS FOR CONGRESS | AL | ANNISTON | H | P | REP | H2AL03032 | 2026 | False | bulk_cm26
C00774463 | DEMOCRATS SERVE | DC | WASHINGTON | V | U |  |  | 2026 | True | bulk_cm26
C00857060 | ADAM MORGAN FOR CONGRESS | SC | GREENVILLE | H | P | REP | H4SC04093 | 2026 | False | bulk_cm26
C00269779 | LONE STAR PROJECT | DC | WASHINGTON | Q | U |  |  | 2026 | False | bulk_cm26
C00842187 | KAREN CRNKOVICH FOR CONGRESS | KS | OVERLAND PARK | H | P | REP | H4KS03204 | 2026 | False | bulk_cm26
C00831321 | LAURA FRIEDMAN FOR CONGRESS | DC | WASHINGTON | H | P | DEM | H4CA30149 | 2026 | False | bulk_cm26
C00729277 | DEBORAH ROSS FOR CONGRESS | NC | RALEIGH | H | P | DEM | H0NC02125 | 2026 | False | bulk_cm26
C00568931 | MI PLANNED PARENTHOOD VOTES | MI | LANSING | O | U |  |  | 2026 | False | bulk_cm26
C00953307 | VIRGIN ISLANDERS FOR PROGRESS PAC | DC | WASHINGTON | O | U |  |  | 2026 | False | bulk_cm26
C00688739 | DITCH FUND | DC | WASHINGTON | V | U |  |  | 2026 | True | bulk_cm26
C00710962 | PETER MEIJER FOR CONGRESS | MI | GRAND RAPIDS | H | P | REP | H0MI03308 | 2026 | False | bulk_cm26
C00841288 | JENN TRAN FOR CONGRESS | CA | OAKLAND | H | P | DEM | H4CA12196 | 2026 | False | bulk_cm26
C00924126 | PATRIOTS FOR AMERICAN PRINCIPLES INC. | NY | HARRISON | O | U |  |  | 2026 | False | bulk_cm26
C00608943 | CLEARPATH ACTION FUND, INC. | NC | CHARLOTTE | O | U |  |  | 2026 | True | bulk_cm26
C00794495 | COMMITTEE TO ELECT CHRISTIAN CASTELLI/CASTELLI FOR CONGRESS | NC | GREENSBORO | H | P | REP | H2NC07161 | 2026 | True | bulk_cm26
C00877530 | JEFF KAHRS FOR CONGRESS | MD | BETHESDA | H | P | REP | H4KS02180 | 2026 | False | bulk_cm26
C00532465 | ROUNDS FOR SENATE | SD | PIERRE | S | P | REP | S4SD00049 | 2026 | False | bulk_cm26
C00933432 | CAREY COLEMAN FOR CONGRESS | OH | SAGAMORE HILLS | H | P | REP | H6OH13307 | 2026 | False | bulk_cm26
