-- S15 Weekly Google political spend for every account verified with the U.S. House's own EIN (53-6002523), i.e. members' official offices
ADVERTISER_ID | ADVERTISER_NAME | WEEK_START_DATE | ELECTION_CYCLE | USD
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-09-08 |  | 1300
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-09-15 |  | 2500
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-09-22 |  | 2000
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-09-29 |  | 2100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-10-06 |  | 1400
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-10-13 |  | 1500
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-10-20 |  | 1400
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-10-27 |  | 1300
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-11-03 |  | 2100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-11-10 |  | 2600
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-11-17 |  | 2500
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-11-24 |  | 2400
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-12-01 |  | 2700
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-12-08 |  | 2900
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-12-15 |  | 2300
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-12-22 |  | 2100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2019-12-29 |  | 1400
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-02-09 |  | 700
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-02-16 |  | 2000
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-02-23 |  | 2200
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-03-01 |  | 2100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-03-08 |  | 2300
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-03-15 |  | 2100
AR00315727375255994369 | REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES | 2020-03-22 |  | 1900
