-- S09 Google geo spend: extract every advertiser-place row (id, country, state, USD) for local peer math
ADVERTISER_ID | COUNTRY | SUB | USD
AR07359357192463450113 | US | CO | 100
AR02245885128322580481 | US | MD | 100
AR03963643073426096129 | US | MI | 1300
AR14921891626795139073 | US | WY | 0
AR13019423089799200769 | US | KS | 0
AR16687871334394363905 | US | ME | 100
AR16427720354912272385 | US | NM | 100
AR05908353687520018433 | US | FL | 8800
AR07609922801373282305 | US | ID | 100
AR07472449934839513089 | US | MD | 500
AR03565896047748186113 | US | GA | 100
AR15627966108315680769 | US | LA | 0
AR16172901663227510785 | US | PA | 100
AR15551404914650382337 | US | KY | 0
AR17688171279217065985 | US | CO | 100
AR09597898201587777537 | US | MO | 100
AR03283845751578296321 | US | TX | 4500
AR17623571887298707457 | US | SD | 0
AR09687718199813996545 | US |  | 100
AR11262101048426233857 | US | VA | 100
AR01559171131011760129 | US | MT | 100
AR07541154843046445057 | US | VT | 3600
AR05939299957679849473 | US | NY | 100
AR17353017595082571777 | US | GA | 100
AR04636147068358885377 | US | AK | 100
AR17852415398461308929 | US | NJ | 100
AR15637338620308750337 | US | NM | 100
AR08069426620634497025 | US | IA | 100
AR15612586122486480897 | US | MT | 100
AR03887693225405710337 | US | OH | 100
AR06364251074282389505 | US | LA | 100
AR10767684015541452801 | US | KS | 100
AR03842045883487092737 | US | ND | 100
AR00771545605771100161 | US | OR | 300
AR04581626882352480257 | US | ID | 0
AR16823227056929112065 | US | NH | 100
AR05891183713940668417 | US | PR | 0
AR15924359258792001537 | US | MO | 100
AR12467483714537914369 | US | PA | 100
AR08672095838903730177 | US | IL | 1200
AR00847828545685159937 | US | UT | 100
AR12814274810129416193 | US | HI | 100
AR04517585827592667137 | US | MD | 100
AR16351338596390666241 | US | TN | 100
AR17454096746996039681 | US | AK | 0
AR00785001411891953665 | US | MN | 100
AR09538800499566837761 | US | MN | 100
AR13765893396595998721 | US | UT | 100
AR16392733620038533121 | US | CA | 43900
AR12898859878876971009 | US | MI | 2100
AR12031453884414164993 | US | RI | 100
AR17924801918274633729 | US | NY | 100
AR10753038142702354433 | US | MA | 0
AR05647203054399782913 | US | DC | 95300
AR16123959703435739137 | US | ID | 100
AR00282478143632048129 | US | ND | 100
AR02394967635054821377 | US | CA | 300
AR02265346973760487425 | US | IN | 100
AR18150395462044090369 | US | MD | 100
AR08737458678438821889 | US | IL | 100
(614078 rows; csv has all)
