STATE,FACILITIES_TOTAL,CHRONIC_8PLUS,CHRONIC_ZERO_ENFORCEMENT,PCT_CHRONIC_UNENFORCED
WA,45177,3305,2972,89.9
NJ,71499,3243,2765,85.3
PA,94662,3042,2604,85.6
WV,44940,2836,2599,91.6
IL,105164,2357,2039,86.5
TX,159772,2738,2029,74.1
GA,169935,2188,1958,89.5
AZ,22783,511,439,85.9
VA,46751,514,422,82.1
AR,21257,585,404,69.1
NM,26409,551,380,69.0
MS,15832,426,358,84.0
MA,49496,595,351,59.0
PR,8722,358,335,93.6
CO,77418,1411,1193,84.5
MO,58234,1280,1084,84.7
AK,14945,932,876,94.0
NC,63350,1526,760,49.8
CT,24179,771,726,94.2
ID,16222,759,696,91.7
MT,20492,675,623,92.3
OR,24057,713,582,81.6
IN,55761,799,564,70.6
MD,36029,582,516,88.7
ME,12540,511,476,93.2
IA,20649,530,473,89.2
AL,56082,486,446,91.8
KY,38089,449,307,68.4
WY,10229,379,303,79.9
TN,46275,379,272,71.8
VT,12760,271,260,95.9
SC,34595,390,256,65.6
KS,41480,318,239,75.2
OK,32410,505,199,39.4
UT,46460,214,162,75.7
ND,11075,148,140,94.6
NH,27846,155,130,83.9
MN,71887,201,128,63.7
NE,13559,125,106,84.8
NV,12097,115,105,91.3
VI,1323,83,68,81.9
DC,3683,107,66,61.7
HI,9396,90,64,71.1
DE,3943,73,58,79.5
SD,8061,57,49,86.0
RI,9986,58,38,65.5
MI,64110,2153,1916,89.0
OH,60775,2013,1672,83.1
LA,71429,2278,1647,72.3
NY,155054,2010,1422,70.7
CA,626054,2076,1296,62.4
FL,162366,1465,1275,87.0
WI,56511,1309,1229,93.9
