-- S14 XWALK_HOSPITAL_CCN_EIN: do units and suffixed CCNs carry the same EIN as their parent hospital row in the table?
KIND | CCNS | PARENT_IN_XWALK | SAME_EIN_AS_PARENT | OTHER_EIN | EINS
ALL | 4003 | 1556 | 1554 | 2 | 2075
plain | 2396 | 0 | 0 | 0 | 2046
unit_Z | 707 | 702 | 701 | 1 | 680
unit_T | 356 | 348 | 348 | 0 | 339
unit_S | 342 | 334 | 334 | 0 | 318
unit_U | 132 | 126 | 125 | 1 | 129
suffixed | 41 | 18 | 18 | 0 | 29
unit_M | 26 | 25 | 25 | 0 | 26
unit_R | 3 | 3 | 3 | 0 | 3
(9 rows; csv has all)
