-- S17 SDWA eyeball: every tier-1 violation since 2015 at Yuma AZ and three West Texas nitrate systems, with measured level, MCL, status, enforcement codes, and linked PN violations
PWSID | VIOLATION_ID | VC | CC | TIER | B | M | FMCL | SMCL | U | STATUS | FAC | ENF | PN
AZ0414024 | 6524 | 13 | 1008 | 1 | 2020-07-01 | 1 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SIA@2022-04-05 SOX@2022-04-07 SIE@2022-04-05 | 6525:Resolved:2020-07-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6529 | 13 | 1008 | 1 | 2020-08-01 | 1.4 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIE@2022-04-05 SIF@2022-03-22 SIA@2022-04-05 SOX@2022-04-07 | 6531:Resolved:2020-08-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6534 | 13 | 1008 | 1 | 2020-09-01 | 1.7 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIA@2022-04-05 SIE@2022-04-05 SIF@2022-03-22 SOX@2022-04-07 | 6536:Resolved:2020-09-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6539 | 13 | 1008 | 1 | 2020-10-01 | .9 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SOX@2022-04-07 SIA@2022-04-05 SIE@2022-04-05 SIF@2022-03-22 | 6541:Resolved:2020-10-01:SOX@2022-06-02 SIA@2022-04-05
AZ0414024 | 6544 | 13 | 1008 | 1 | 2020-11-01 | .9 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SIA@2022-04-05 SIE@2022-04-05 SOX@2022-04-07 | 6546:Resolved:2020-11-01:SOX@2022-06-02 SIA@2022-04-05
AZ0414024 | 6549 | 13 | 1008 | 1 | 2020-12-01 | 1 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SIA@2022-04-05 SOX@2022-04-07 SIE@2022-04-05 | 6551:Resolved:2020-12-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6554 | 13 | 1008 | 1 | 2021-01-01 | .9 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SIF@2022-03-22 SIE@2022-04-05 SOX@2022-04-07 SIA@2022-04-05 | 6556:Resolved:2021-01-01:SOX@2022-06-02 SIA@2022-04-05
AZ0414024 | 6560 | 13 | 1008 | 1 | 2021-02-01 | 2 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SOX@2022-04-07 SIE@2022-04-05 SIA@2022-04-05 SIF@2022-03-22 | 6562:Resolved:2021-02-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6565 | 13 | 1008 | 1 | 2021-03-01 | 1.3 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SOX@2022-04-07 SIE@2022-04-05 SIF@2022-03-22 SIA@2022-04-05 | 6567:Resolved:2021-03-01:SIA@2022-04-05 SOX@2022-06-02
AZ0414024 | 6570 | 13 | 1008 | 1 | 2021-04-01 | 1.1 | 0.8 mg/L | .8 | MG/L | Resolved | 17066 | SOX@2022-04-07 SIA@2022-04-05 SIE@2022-04-05 SIF@2022-03-22 | 6572:Resolved:2021-04-01:SOX@2022-06-02 SIA@2022-04-05
