-- S14 SDWA: per water system, health-based violations begun 2015 on (deduped on PWSID + VIOLATION_ID), how many carry a failure-to-notify (PN code 75) link, acute tier-1 subset, open PN status; with name, type, population
PWSID | HB_N | HB_PN | C5200 | C5200_PN | T1_N | T1_PN | T1_PN_UNADDR | T1_PN_CODES | T1_PN_FIRST | T1_PN_LAST | PWS_NAME | STATE_CODE | PRIMACY | PWS_TYPE | ACTIVITY | POP | CITY | OWNER | PROW
NJ1904320 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |  |  |  | WILD WEST CITY | NJ | NJ | TNCWS | A | 306 | BYRAM | P | 1
MS0600009 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  |  |  | NORFLEET UTILITIES, INC | MS | MS | CWS | N | 71 | MARKS | M | 1
MO4170524 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  |  |  | STEPPING STONES PRESCHOOL & DAYCARE | MO | MO | NTNCWS | I | 94 | IRONDALE | P | 1
FL6254811 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  |  |  | GUTIERREZ HARVESTING LLC | FL | FL | NTNCWS | A | 99 | WAUCHULA | P | 1
ID6210008 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |  |  |  | LDS CAMP HULL VALLEY | UT | ID | TNCWS | A | 200 | WELLSVILLE | P | 1
MD0020059 | 5 | 1 | 0 | 0 | 0 | 0 | 0 |  |  |  | TEBBSTON ON MAGOTHY | MD | MD | CWS | A | 52 | WESTMINSTER | P | 1
WV3301516 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |  |  |  | TOMLINSON PSD-NEWELL |  | WV | CWS | A | 4963 |  | P | 1
TX1840001 | 3 | 1 | 0 | 0 | 0 | 0 | 0 |  |  |  | CITY OF ALEDO | TX | TX | CWS | A | 5521 | ALEDO | L | 1
NH2317130 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  |  |  | RIVERBEND CAMPGROUND | NH | NH | TNCWS | A | 108 | BEDFORD | P | 1
LA1099023 | 59 | 21 | 0 | 0 | 1 | 0 | 0 |  |  |  | RIVER RIDGE ESTATES WATER SYSTEM | LA | LA | CWS | I | 75 | BREAUX BRIDGE | P | 1
PA2400003 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |  |  |  | ECHO VALLEY ESTATES | PA | PA | CWS | A | 490 | SHAVERTOWN | P | 1
CA4400604 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  |  |  | BRACKEN BRAE COUNTRY CLUB | CA | CA | CWS | A | 52 | BOULDER CREEK | P | 1
084690437 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  |  |  | CROW CREEK TRIBAL SCHOOL | SD | 08 | CWS | A | 516 | STEPHAN | F | 1
FL6511332 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |  |  |  | PALM TREE ACRES MHP | FL | FL | CWS | A | 500 | TAMPA | P | 1
CT0090011 | 5 | 2 | 0 | 0 | 0 | 0 | 0 |  |  |  | BETHEL WATER DEPT | CT | CT | CWS | A | 9507 | BETHEL | L | 1
IL3163428 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |  |  |  | KINNIKINNICK FARM | IL | IL | TNCWS | I | 25 | CALEDONIA | P | 1
KS2001519 | 9 | 2 | 0 | 0 | 0 | 0 | 0 |  |  |  | SIMMONS SUBDIVISION SANITATION SYSTEM | KS | KS | CWS | A | 75 | ROSE HILL | P | 1
IA2576036 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |  |  |  | WOODWARD WATER SUPPLY | IA | IA | CWS | A | 1346 | WOODWARD | L | 1
