-- S20 SDWA peer for Yuma: every acute chlorine dioxide MRDL violation (code 13) since 2015, per system, with PN link count
PWSID | CC | N | N_PN | FIRST_B | LAST_B | MAX_M
AZ0414024 | 1008 | 21 | 21 | 2020-07-01 | 2022-03-01 | 2.0
LA1005035 | 1008 | 6 | 0 | 2015-09-01 | 2016-03-01 | 
KS2010703 | 1008 | 3 | 0 | 2019-01-01 | 2021-08-01 | 0.95
AL0001811 | 1008 | 2 | 0 | 2015-03-01 | 2015-04-01 | 
KS2020702 | 1008 | 2 | 0 | 2025-10-01 | 2026-01-01 | 0.88
TX1620003 | 1008 | 2 | 2 | 2015-05-01 | 2015-06-01 | 
KS2016703 | 1008 | 2 | 0 | 2016-08-01 | 2018-04-01 | 0.916
TX1870165 | 1008 | 2 | 0 | 2016-05-01 | 2016-08-01 | 0.89
OK1010314 | 1008 | 2 | 0 | 2015-05-01 | 2015-06-01 | 
RI1858419 | 1008 | 2 | 2 | 2016-04-01 | 2016-05-01 | 1.23
TX1810114 | 1008 | 1 | 0 | 2022-06-01 | 2022-06-01 | 
TX0310006 | 1008 | 1 | 1 | 2019-08-01 | 2019-08-01 | 0.9
TX2520001 | 1008 | 1 | 1 | 2016-07-01 | 2016-07-01 | 
CO0151200 | 1008 | 1 | 0 | 2016-12-01 | 2016-12-01 | 0.87
AL0000824 | 1008 | 1 | 1 | 2025-12-01 | 2025-12-01 | 
OK2004103 | 1008 | 1 | 0 | 2021-10-01 | 2021-10-01 | 5.0
LA1017006 | 1008 | 1 | 0 | 2023-11-01 | 2023-11-01 | 
KS2005309 | 1008 | 1 | 0 | 2016-02-01 | 2016-02-01 | 
NY5404416 | 1008 | 1 | 0 | 2020-02-01 | 2020-02-01 | 1.58
LA1105009 | 1008 | 1 | 0 | 2016-09-01 | 2016-09-01 | 
(20 rows; csv has all)
