-- S16 SDWA nitrate (contaminant 1040) health-based violations begun 2015 on, per system: count, how many carry a PN link, tier-1 count, years, measured level, open status
PWSID | N | N_PN | T1 | YEARS | FIRST_B | LAST_B | MED_LEVEL | MAX_LEVEL | FMCL | UNIT | UNADDR | CODES
WA5361850 | 1 | 0 | 1 | 1 | 2017-01-01 | 2017-01-01 | 13.0 | 13.0 | 10 mg/L | MG/L | 0 | 01
WA5306559 | 8 | 0 | 8 | 6 | 2015-04-01 | 2025-01-01 | 18.700000000000003 | 45.6 | 10 mg/L | MG/L | 0 | 01
PA7380439 | 2 | 0 | 2 | 2 | 2024-10-01 | 2025-01-01 | 10.774999999999999 | 10.93 | 10 mg/L | MG/L | 0 | 02
MI2046054 | 1 | 0 | 1 | 1 | 2023-04-01 | 2023-04-01 | 10.7 | 10.7 | 10 mg/L | MG/L | 0 | 01
IA5300688 | 4 | 1 | 4 | 2 | 2015-01-01 | 2019-07-01 | 10.8 | 11.4 | 10 mg/L | MG/L | 0 | 01
CA3910014 | 9 | 0 | 9 | 4 | 2022-07-01 | 2025-01-01 | 11.0 | 12.8 | 10 mg/L | MG/L | 0 | 01
WA53AE167 | 1 | 0 | 1 | 1 | 2024-01-01 | 2024-01-01 | 13.3 | 13.3 | 10 mg/L | MG/L | 0 | 01
PA7010971 | 4 | 0 | 4 | 2 | 2021-07-01 | 2022-04-01 | 11.6375 | 11.97 | 10 mg/L | MG/L | 0 | 02
NJ0603331 | 3 | 0 | 3 | 3 | 2015-10-01 | 2024-01-01 | 15.0 | 18.0 | 10 mg/L | MG/L | 0 | 02
CA1000112 | 17 | 0 | 17 | 5 | 2015-01-01 | 2019-01-01 | 15.8 | 58.0 | 10 mg/L | MG/L | 0 | 01,02
TX1520080 | 126 | 37 | 126 | 12 | 2015-01-01 | 2026-04-01 | 15.0 | 22.0 | 10 mg/L | MG/L | 0 | 01
PA7360051 | 1 | 1 | 1 | 1 | 2016-10-01 | 2016-10-01 | 10.71 | 10.71 | 10 mg/L | MG/L | 0 | 02
WA53AC884 | 4 | 0 | 4 | 3 | 2016-01-01 | 2018-01-01 | 10.95 | 18.7 | 10 mg/L | MG/L | 0 | 01
WA5307278 | 1 | 0 | 1 | 1 | 2025-01-01 | 2025-01-01 | 10.9 | 10.9 | 10 mg/L | MG/L | 0 | 01
TX0870003 | 4 | 0 | 4 | 3 | 2015-01-01 | 2024-07-01 | 26.5 | 29.0 | 10 mg/L | MG/L | 0 | 01
MN5730583 | 2 | 0 | 2 | 2 | 2017-07-01 | 2019-04-01 | 11.0 | 11.0 | 10 mg/L | MG/L | 0 | 02
DE00A0679 | 2 | 0 | 2 | 2 | 2018-04-01 | 2019-04-26 | 9.8 | 11.0 | 10 mg/L | MG/L | 0 | 02
MD1121347 | 1 | 0 | 1 | 1 | 2021-01-01 | 2021-01-01 | 11.0 | 11.0 | 10 mg/L | MG/L | 0 | 02
MN5230056 | 2 | 0 | 2 | 2 | 2022-10-01 | 2024-01-01 | 15.25 | 17.0 | 10 mg/L | MG/L | 0 | 02
CA1502033 | 4 | 0 | 4 | 1 | 2015-01-01 | 2015-10-01 | 75.0 | 79.0 | 10 mg/L | MG/L | 0 | 01
CA4000216 | 8 | 0 | 8 | 4 | 2020-10-01 | 2023-04-01 | 13.4 | 15.0 | 10 mg/L | MG/L | 0 | 01
MA1111041 | 1 | 0 | 1 | 1 | 2017-07-01 | 2017-07-01 | 12.05 | 12.05 | 10 mg/L | MG/L | 0 | 02
WA5303392 | 8 | 0 | 8 | 4 | 2018-01-01 | 2026-01-01 | 11.45 | 15.1 | 10 mg/L | MG/L | 0 | 01
NY5001208 | 1 | 0 | 1 | 1 | 2019-04-01 | 2019-04-01 | 11.5 | 11.5 | 10 mg/L | MG/L | 0 | 02
PA7381039 | 1 | 1 | 1 | 1 | 2022-07-01 | 2022-07-01 | 10.65 | 10.65 | 10 mg/L | MG/L | 0 | 02
ID3140028 | 24 | 2 | 24 | 7 | 2019-10-01 | 2025-04-01 | 11.0 | 12.0 | 10 mg/L | MG/L | 0 | 02,01
MN5110094 | 1 | 0 | 1 | 1 | 2019-01-01 | 2019-01-01 | 11.0 | 11.0 | 10 mg/L | MG/L | 0 | 02
CA2400231 | 1 | 0 | 1 | 1 | 2018-01-01 | 2018-01-01 | 11.3 | 11.3 | 10 mg/L | MG/L | 0 | 01
TX0150040 | 2 | 0 | 2 | 1 | 2017-07-01 | 2017-10-01 | 11.5 | 12.0 | 10 mg/L | MG/L | 0 | 01
CA5010018 | 1 | 0 | 1 | 1 | 2021-11-01 | 2021-11-01 | 17.0 | 17.0 | 10 mg/L | MG/L | 0 | 01
MI2020901 | 1 | 0 | 1 | 1 | 2017-04-01 | 2017-04-01 | 12.0 | 12.0 | 10 mg/L | MG/L | 0 | 02
