-- S10 NPDES dull-explanation test: do state inspections, formal actions and effluent-violation permits also stop where informal letters stop? state x quarter, 2021 on
ST | SRC | WHO | YQ | N | PERMITS
VI | inspection | E | 20253 | 1 | 1
MO | inspection | E | 20223 | 1 | 1
VI | inspection | S | 20231 | 2 | 1
MD | inspection | E | 20262 | 1 | 1
VI | inspection | E | 20252 | 1 | 1
NV | inspection | E | 20233 | 1 | 1
KY | inspection | E | 20222 | 1 | 1
LA | inspection | E | 20234 | 1 | 1
MI | inspection | E | 20243 | 1 | 1
WV | inspection | E | 20254 | 1 | 1
WI | inspection | E | 20212 | 1 | 1
MT | inspection | E | 20244 | 1 | 1
VA | inspection | E | 20242 | 1 | 1
VT | inspection | E | 20224 | 1 | 1
SC | inspection | E | 20223 | 2 | 2
NC | inspection | E | 20253 | 2 | 1
VI | inspection | S | 20244 | 1 | 1
NC | inspection | E | 20263 | 1 | 1
VT | inspection | E | 20232 | 1 | 1
TN | inspection | S | 20254 | 753 | 740
TN | inspection | S | 20231 | 537 | 524
VA | inspection | S | 20254 | 1130 | 889
IA | inspection | S | 20242 | 138 | 137
VA | inspection | S | 20244 | 919 | 744
ME | inspection | S | 20211 | 66 | 64
FL | inspection | S | 20234 | 444 | 433
CA | inspection | S | 20234 | 418 | 415
TX | inspection | S | 20233 | 659 | 599
NC | inspection | S | 20253 | 356 | 338
MT | inspection | S | 20233 | 51 | 49
CO | inspection | S | 20211 | 234 | 220
MA | inspection | E | 20262 | 33 | 31
AZ | inspection | S | 20254 | 73 | 73
AL | inspection | S | 20262 | 675 | 667
PA | inspection | S | 20251 | 2862 | 2293
NJ | inspection | S | 20224 | 310 | 310
UT | inspection | S | 20263 | 70 | 70
PA | inspection | S | 20232 | 3734 | 3120
IN | inspection | S | 20212 | 411 | 367
ND | inspection | S | 20233 | 179 | 169
SC | inspection | S | 20214 | 93 | 86
KY | inspection | S | 20211 | 682 | 667
TN | inspection | S | 20251 | 747 | 736
CT | inspection | S | 20234 | 122 | 120
IN | inspection | S | 20233 | 436 | 400
LA | inspection | E | 20243 | 11 | 11
WA | inspection | S | 20242 | 369 | 349
SC | inspection | S | 20223 | 232 | 225
OK | inspection | S | 20213 | 119 | 104
VA | inspection | S | 20241 | 1068 | 883
SC | inspection | S | 20211 | 210 | 141
AR | inspection | S | 20213 | 185 | 147
ME | inspection | S | 20223 | 124 | 119
PR | inspection | E | 20253 | 59 | 59
SD | inspection | S | 20232 | 40 | 38
IL | inspection | S | 20254 | 214 | 169
MD | inspection | S | 20243 | 214 | 181
MD | inspection | S | 20233 | 165 | 135
NE | inspection | S | 20212 | 53 | 53
KS | inspection | S | 20214 | 90 | 79
(4831 rows; csv has all)
