-- S01 column types for my 5 tables and the sibling tables I may join
TABLE_NAME | COLS
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES | PGM_SYS_ID:TEXT, REGISTRY_ID:TEXT, FACILITY_NAME:TEXT, STREET_ADDRESS:TEXT, CITY:TEXT, COUNTY_NAME:TEXT, STATE:TEXT, ZIP_CODE:TEXT, EPA_REGION:TEXT, SIC_CODES:TEXT, NAICS_CODES:TEXT, FACILITY_TYPE_CODE:TEXT, AIR_POLLUTANT_CLASS_CODE:TEXT, AIR_POLLUTANT_CLASS_DESC:TEXT, AIR_OPERATING_STATUS_CODE:TEXT, AIR_OPERATING_STATUS_DESC:TEXT, CURRENT_HPV:TEXT, LOCAL_CONTROL_REGION_CODE:TEXT, LOCAL_CONTROL_REGION_NAME:TEXT
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FORMAL_ACTIONS | PGM_SYS_ID:TEXT, ACTIVITY_ID:TEXT, ENF_IDENTIFIER:TEXT, ACTIVITY_TYPE_CODE:TEXT, ACTIVITY_TYPE_DESC:TEXT, STATE_EPA_FLAG:TEXT, ENF_TYPE_CODE:TEXT, ENF_TYPE_DESC:TEXT, SETTLEMENT_ENTERED_DATE:DATE, PENALTY_AMOUNT:FLOAT
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_POLLUTANTS | PGM_SYS_ID:TEXT, POLLUTANT_CODE:TEXT, POLLUTANT_DESC:TEXT, SRS_ID:TEXT, CHEMICAL_ABSTRACT_SERVICE_NMBR:TEXT, AIR_POLLUTANT_CLASS_CODE:TEXT, AIR_POLLUTANT_CLASS_DESC:TEXT
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_STACK_TESTS | PGM_SYS_ID:TEXT, ACTIVITY_ID:TEXT, COMP_MONITOR_TYPE_CODE:TEXT, COMP_MONITOR_TYPE_DESC:TEXT, STATE_EPA_FLAG:TEXT, ACTUAL_END_DATE:DATE, POLLUTANT_CODES:TEXT, POLLUTANT_DESCS:NUMBER, AIR_STACK_TEST_STATUS_CODE:TEXT, AIR_STACK_TEST_STATUS_DESC:TEXT
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY | PGM_SYS_ID:TEXT, ACTIVITY_ID:TEXT, AGENCY_TYPE_DESC:TEXT, STATE_CODE:TEXT, AIR_LCON_CODE:TEXT, COMP_DETERMINATION_UID:TEXT, ENF_RESPONSE_POLICY_CODE:TEXT, PROGRAM_CODES:TEXT, PROGRAM_DESCS:TEXT, POLLUTANT_CODES:TEXT, POLLUTANT_DESCS:TEXT, EARLIEST_FRV_DETERM_DATE:DATE, HPV_DAYZERO_DATE:DATE, HPV_RESOLVED_DATE:DATE, DSCV_PATHWAY_DATE:DATE, NFTC_PATHWAY_DATE:DATE
ENVIRONMENT__FED_EPA_NPDES_ICIS_FACILITIES | ICIS_FACILITY_INTEREST_ID:TEXT, NPDES_ID:TEXT, FACILITY_UIN:TEXT, FACILITY_TYPE_CODE:TEXT, FACILITY_NAME:TEXT, LOCATION_ADDRESS:TEXT, SUPPLEMENTAL_ADDRESS_TEXT:TEXT, CITY:TEXT, COUNTY_CODE:TEXT, STATE_CODE:TEXT, ZIP:TEXT, GEOCODE_LATITUDE:FLOAT, GEOCODE_LONGITUDE:FLOAT, IMPAIRED_WATERS:TEXT
ENVIRONMENT__FED_EPA_NPDES_NPDES_FORMAL_ENFORCEMENT_ACTIONS | NPDES_ID:TEXT, ENF_IDENTIFIER:TEXT, ACTIVITY_ID:TEXT, ACTIVITY_TYPE_CODE:TEXT, ENF_TYPE_CODE:TEXT, ENF_TYPE_DESC:TEXT, AGENCY:TEXT, SETTLEMENT_ENTERED_DATE:DATE, FED_PENALTY_ASSESSED_AMT:FLOAT, STATE_LOCAL_PENALTY_AMT:FLOAT
ENVIRONMENT__FED_EPA_NPDES_NPDES_INFORMAL_ENFORCEMENT_ACTIONS | NPDES_ID:TEXT, REGISTRY_ID:TEXT, AGENCY:TEXT, ACTIVITY_ID:TEXT, ACTIVITY_TYPE_CODE:TEXT, ACTIVITY_TYPE_DESC:TEXT, ENF_TYPE_CODE:TEXT, ENF_TYPE_DESC:TEXT, ACHIEVED_DATE:DATE, ENF_IDENTIFIER:TEXT, OFFICIAL_FLG:TEXT
ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY | NPDES_ID:TEXT, YEARQTR:TEXT, HLRNC:TEXT, NUME90_Q:TEXT, NUMCVDT:TEXT, NUMSVCD:TEXT, NUMPSCH:TEXT, NUMD8090_Q:TEXT
ENVIRONMENT__FED_EPA_SDWA_SDWA_PN_VIOLATION_ASSOC | SUBMISSIONYEARQUARTER:TEXT, PWSID:TEXT, PN_VIOLATION_ID:TEXT, RELATED_VIOLATION_ID:TEXT, COMPL_PER_BEGIN_DATE:DATE, COMPL_PER_END_DATE:DATE, NON_COMPL_PER_BEGIN_DATE:DATE, NON_COMPL_PER_END_DATE:DATE, VIOLATION_CODE:TEXT, CONTAMINANT_CODE:TEXT, FIRST_REPORTED_DATE:DATE, LAST_REPORTED_DATE:DATE
