-- S03 Global Witness defenders: the whole table (232 rows), read locally
DEFENDER_NAME | COUNTRY | REGION | YEAR | INCIDENT_TYPE | SECTOR | INDIGENOUS_STATUS | GENDER | PERPETRATOR | SOURCE_REPORT | NOTES_CONTEXT
 | Honduras |  | 2026 | attack | mining |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Latest Show filters By region Africa Asia-Pacific Europe Latin America and the Caribbean Middle East and North Africa North America By topic Activism Agribusiness Big Tech Biodiversity Commodities Communities COP Corporate accountability Deforestation Disinformation Elections Energy transition EU policy Extreme weather Finance and investments Gas Hate speech Human rights Indigenous peoples Land and Environmental Defenders report archive Logging Minerals Mining Oil Social media Supply chains UK policy US policy By content label Analysis Events Explainer Impact Investigation Methodology News Open Letter Opinion Policy Story Filter Events Driving climate justice: Join Global Witness at London Climate Action Week 2026 10 June 2026 Analysis Santa Marta opened a new chapter for the fossil fuel transition. Now comes the hard part 18 May 2026 Investigation Head of Louis Vuitton tannery leads fight to gut EU deforestation law 27 April 2026 Policy Escazú Agreement COP4: Why implementation matters for protecting land and environmental defenders 20 April 2026 Statement Global Witness condemns deadly attack on Upemba National Park 11 March 2026 Investigation Weaponising social media: How Indigenous leaders and climate activists are smeared and criminalised in Guatemala 11 March 2026 Press Release Social media weaponised to criminalise Indigenous leaders and climate activists in Guatemala 11 March 2026 Statement On landmark anniversary, Honduras remains one of the world's deadliest places for environmental defenders 03 March 2026 Back 1 2 3 4 5 6 7 8 Next
 |  |  | 2026 |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Events Driving climate justice: Join Global Witness at London Climate Action Week 2026 10 June 2026
 |  |  | 2026 |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Driving climate justice: Join Global Witness at London Climate Action Week 2026
 |  |  | 2026 |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Analysis Santa Marta opened a new chapter for the fossil fuel transition. Now comes the hard part 18 May 2026
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Santa Marta opened a new chapter for the fossil fuel transition. Now comes the hard part
 |  |  | 2026 |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Investigation Head of Louis Vuitton tannery leads fight to gut EU deforestation law 27 April 2026
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Head of Louis Vuitton tannery leads fight to gut EU deforestation law
 |  |  | 2026 |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Policy Escazú Agreement COP4: Why implementation matters for protecting land and environmental defenders 20 April 2026
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Escazú Agreement COP4: Why implementation matters for protecting land and environmental defenders
 |  |  | 2026 | attack |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Statement Global Witness condemns deadly attack on Upemba National Park 11 March 2026
 |  |  |  | attack |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Global Witness condemns deadly attack on Upemba National Park
 | Guatemala |  | 2026 | criminalisation |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Investigation Weaponising social media: How Indigenous leaders and climate activists are smeared and criminalised in Guatemala 11 March 2026
 | Guatemala |  |  | criminalisation |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Weaponising social media: How Indigenous leaders and climate activists are smeared and criminalised in Guatemala
 | Guatemala |  | 2026 | criminalisation |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Press Release Social media weaponised to criminalise Indigenous leaders and climate activists in Guatemala 11 March 2026
 | Guatemala |  |  | criminalisation |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Social media weaponised to criminalise Indigenous leaders and climate activists in Guatemala
 | Honduras |  | 2026 |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | Statement On landmark anniversary, Honduras remains one of the world's deadliest places for environmental defenders 03 March 2026
 | Honduras |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/ | On landmark anniversary, Honduras remains one of the world's deadliest places for environmental defenders
 |  |  |  | threat |  |  |  |  | https://globalwitness.org/en/search/?q=&list_order=date&campaigns=corporate-accountability&campaigns=digital-threats&campaigns=forests&campaigns=fossil-fuels&campaigns=land-and-environmental-defenders&campaigns=transition-minerals#listing | Campaigns Campaigns Back Digital Threats to Democracy Forests Fossil Fuels Transition Minerals Land and Environmental Defenders Corporate Accountability Campaign archive
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/search/?q=&list_order=date&campaigns=corporate-accountability&campaigns=digital-threats&campaigns=forests&campaigns=fossil-fuels&campaigns=land-and-environmental-defenders&campaigns=transition-minerals#listing | Land and Environmental Defenders
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/search/?q=&list_order=date&campaigns=corporate-accountability&campaigns=digital-threats&campaigns=forests&campaigns=fossil-fuels&campaigns=land-and-environmental-defenders&campaigns=transition-minerals#listing | Land and Environmental Defenders report archive
 |  |  | 2026 |  | mining |  |  |  | https://globalwitness.org/en/search/?q=&list_order=date&campaigns=corporate-accountability&campaigns=digital-threats&campaigns=forests&campaigns=fossil-fuels&campaigns=land-and-environmental-defenders&campaigns=transition-minerals#listing | Transition Minerals Industry and policymakers toolkit on responsible mining practices 23 June 2026
 |  |  | 2026 |  |  |  |  |  | https://globalwitness.org/en/search/?q=&list_order=date&campaigns=corporate-accountability&campaigns=digital-threats&campaigns=forests&campaigns=fossil-fuels&campaigns=land-and-environmental-defenders&campaigns=transition-minerals#listing | Transition Minerals Trump-linked figures set to profit from Greenland’s untapped mineral resources An expanding network of individuals and companies with ties to the US administration is looking to profit from the renewed interest in Greenland’s mineral deposits 15 June 2026
 |  |  | 2026 |  |  |  |  |  | https://globalwitness.org/en/search/?q=&list_order=date&campaigns=corporate-accountability&campaigns=digital-threats&campaigns=forests&campaigns=fossil-fuels&campaigns=land-and-environmental-defenders&campaigns=transition-minerals#listing | Land and Environmental Defenders Driving climate justice: Join Global Witness at London Climate Action Week 2026 Global Witness will be on the ground at London Climate Action Week 2026, convening experts, campaigners, policymakers and frontline leaders to drive action on the climate and nature emergency 10 June 2026
 |  |  | 2026 |  | mining |  |  |  | https://globalwitness.org/en/search/?q=&list_order=date&campaigns=corporate-accountability&campaigns=digital-threats&campaigns=forests&campaigns=fossil-fuels&campaigns=land-and-environmental-defenders&campaigns=transition-minerals#listing | Transition Minerals Can China’s Green Mineral Initiative connect its transition minerals policy with global climate goals? China’s contradictory stance on the energy transition and critical mineral mining at COP30 may be more an institutional quirk than all-out rejection of global climate governance. Its new Green Mineral Initiative presents an opportunity to bring the two issues closer together 04 June 2026
 |  |  | 2021 |  |  |  |  |  | https://globalwitness.org/en/about-us/annual-reports/ | Annual reports Annual report 2021: Our case for change 2021 saw a redoubling of our efforts to work better in partnership with organisations, campaigning groups and activists from across the climate movement 17 August 2022
 |  |  | 2021 |  |  |  |  |  | https://globalwitness.org/en/about-us/annual-reports/ | 2021 saw a redoubling of our efforts to work better in partnership with organisations, campaigning groups and activists from across the climate movement
 |  |  |  | killing |  |  |  |  | https://globalwitness.org/fr/campaigns/land-and-environmental-defenders/ | Hundreds of land and environmental defenders are threatened, arrested and killed every year for their part in resisting environmental devastation. We record every name and honour their activism.
 |  |  |  | threat |  | Yes |  |  | https://globalwitness.org/fr/campaigns/land-and-environmental-defenders/ | Defenders and Indigenous Peoples are often our planet’s last line of defence, sounding the alarm about threats to vital ecosystems and incursions upon their communities from destructive companies. In return, they face land invasions, harassment and violence, with a worrying rise in criminalisation hitting environmental activists worldwide. We work to expose the root causes behind these attacks to ensure defenders are protected, and that those responsible are held to account.
 |  |  |  |  |  |  |  |  | https://globalwitness.org/fr/campaigns/land-and-environmental-defenders/ | Land and Environmental Defenders: Annual Report archive
 |  |  | 2012 | killing |  |  |  |  | https://globalwitness.org/fr/campaigns/land-and-environmental-defenders/ | Since 2012, we’ve been reporting annually on killings and disappearances of Land and Environmental Defenders around the world.
 |  |  | 2012 | killing |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Since 2012, we have been raising awareness of killings and disappearances of land and environmental defenders through what is now an annual report
 |  |  | 2025 |  |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Land and Environmental Defenders Roots of resistance 17 September 2025
 |  |  | 2025 | killing |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Land and Environmental Defenders Documenting killings and disappearances of land and environmental defenders 17 September 2025
 |  |  |  | killing |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Documenting killings and disappearances of land and environmental defenders
 |  |  | 2024 |  |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Land and Environmental Defenders Missing voices 10 September 2024
 |  |  | 2023 |  |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Land and Environmental Defenders Standing firm 13 September 2023
 |  |  | 2012 | attack |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Land and Environmental Defenders In numbers: Attacks against defenders since 2012 29 September 2022
 |  |  | 2012 | attack |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | In numbers: Attacks against defenders since 2012
 |  |  | 2022 |  |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Land and Environmental Defenders Decade of defiance 28 September 2022
 |  |  | 2021 |  |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Land and Environmental Defenders Last line of defence 13 September 2021
 |  |  | 2020 |  |  |  |  |  | https://globalwitness.org/en/topics/land-and-environmental-defenders-report-archive/ | Land and Environmental Defenders Defending tomorrow 29 July 2020
 |  |  |  |  | mining |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/driving-climate-justice-join-global-witness-at-london-climate-action-week-2026/ | Throughout the week, Global Witness is hosting and co-hosting a series of events focused on critical climate issues, including protecting environmental and human rights defenders, scaling community-led climate solutions, tackling Big Oil profiteering and improving transparency and accountability in the mining sector.
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/driving-climate-justice-join-global-witness-at-london-climate-action-week-2026/ | Closing the gap: A call for recognition, participation, and protection of environmental human rights defenders in climate action
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/driving-climate-justice-join-global-witness-at-london-climate-action-week-2026/ | Description : Through a panel with participation of grassroots defenders, civil society representatives and funders, we will hear examples from real-life climate defenders and their climate action on the ground. The event will also issue a call to promote coordinated action on the recognition, protection and meaningful participation of climate defenders in climate forums, and to mobilise resources to support their work and engagement in these processes.
 | DRC |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/driving-climate-justice-join-global-witness-at-london-climate-action-week-2026/ | Organised in partnership with LEAD Coalition (the Leaders Network for Environmental Defenders and Activists), with the event generously supported by OSF, IDRC, Ford Foundation and the Goldman Environmental Prize.
 |  |  |  |  |  | Yes |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/driving-climate-justice-join-global-witness-at-london-climate-action-week-2026/ | Description : A session bringing together representatives from governments, multilateral funds, philanthropy, financial institutions, Indigenous Peoples' organisations, community-led funds, and civil society to examine how current financial architectures shape the flow of resources, and what it will take to redesign them in ways that support a more just and territorially grounded climate transition.
 |  |  |  |  |  | Yes |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/driving-climate-justice-join-global-witness-at-london-climate-action-week-2026/ | Description : A discussion on the limitations of the climate COP system and the need for Indigenous and traditional communities leadership. Using references from COP30 and the People’s COP House in Belém, and highlighting Indigenous campaign “We Are the Answer”, speakers will discuss how Indigenous leadership, ancestral knowledge, territorial rights, and grassroots organising can contribute to more effective and equitable climate solutions.
 |  |  |  |  | mining |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/driving-climate-justice-join-global-witness-at-london-climate-action-week-2026/ | From risk to responsibility: Showcasing best practice in transition mineral mining
 |  |  |  |  | mining |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/driving-climate-justice-join-global-witness-at-london-climate-action-week-2026/ | Description : What does responsible transition mineral mining actually look like in practice? Join Global Witness and the Royal United Services Institute (RUSI) with the Initiative for Responsible Mining Assurance, Women in Mining, BirdLife International and industry voices to explore real-world solutions for sourcing the minerals needed for the energy transition without sacrificing people or the planet.
 |  |  |  |  | mining | Yes |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | COP , Human rights , Indigenous peoples , Mining , Logging
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | Countries that have yet to ratify the Escazú Agreement remain among the most dangerous places in the world for land and environmental defenders. As COP4 shifts focus from framework building to implementation, States need to turn commitments into action
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | To date, 24 countries have signed and 19 have ratified the Escazú Agreement. Several of the countries that have not yet ratified it are some of the most dangerous in the world for land and environmental defenders.
 | Brazil |  | 2021 | killing |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | According to Global Witness data , Brazil, Guatemala and Peru – all which have not ratified the Escazú Agreement – rank among the countries with the highest number of documented killings and forced disappearances of land and environmental defenders since the Agreement entered into force in April 2021.
 | Brazil |  | 2021 | killing |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | Between April 2021 and the end of 2024, Global Witness documented 93 killings and forced disappearances in Brazil, 29 in Guatemala and 15 in Peru.
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | Expanding the ratification of the Escazú Agreement, especially in high-risk countries, remains critical to strengthening its regional impact and protecting defenders.
 |  |  | 2018 |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | Adopted in 2018 and in force since 2021, the Escazú Agreement is a landmark treaty for the protection of environmental defenders. It is structured around three core pillars:
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | Access to environmental information
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | Public participation in environmental decision-making
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | Access to justice in environmental matters, including the right to a healthy and sustainable environment
 |  |  |  |  |  |  |  |  | https://globalwitness.org/en/campaigns/land-and-environmental-defenders/escazu-agreement-cop4-why-implementation-matters-for-protecting-land-and-environmental-defenders/ | The Agreement is the first legally binding treaty to include specific provisions on the protection of environmental defenders.
(232 rows; csv has all)
