RATING,FIRE_BUCKET,FACILITIES,AVG_DEFICIENCIES,AVG_FIRE_DEFS,AVG_PENALTY_USD,TOTAL_PENALTY_USD
1.0,0,110,37.445455,0.000000,102011.36363636363,11221250.0
1.0,1-5,431,37.252900,3.055684,89194.92575406033,38443013.0
1.0,16-30,947,52.834213,21.973601,76744.79408658923,72677320.0
1.0,31+,425,61.701176,40.583529,107487.08,45682009.0
1.0,6-15,969,40.711042,10.344685,74470.1568627451,72161582.0
2.0,0,139,26.438849,0.000000,29267.057553956834,4068121.0
2.0,1-5,505,27.601980,3.122772,38387.28712871287,19385580.0
2.0,16-30,885,40.030508,21.863277,37701.98079096045,33366253.0
2.0,31+,285,49.140351,38.631579,53063.37543859649,15123062.0
2.0,6-15,1197,32.395155,10.441103,37270.913116123644,44613283.0
3.0,0,126,21.880952,0.000000,19168.24603174603,2415199.0
3.0,1-5,559,21.121646,3.114490,14647.749552772808,8188092.0
3.0,16-30,770,30.337662,21.457143,17539.393506493507,13505333.0
3.0,31+,202,38.311881,38.019802,21511.257425742573,4345274.0
3.0,6-15,1186,25.112985,10.209949,17427.888701517706,20669476.0
4.0,0,161,14.173913,0.000000,8254.583850931676,1328988.0
4.0,1-5,611,16.214403,3.106383,7717.266775777414,4715250.0
4.0,16-30,670,24.152239,21.568657,7775.750746268657,5209753.0
4.0,31+,147,28.972789,37.285714,12422.884353741496,1826164.0
4.0,6-15,1204,18.772425,10.217608,8091.2375415282395,9741850.0
5.0,0,222,8.693694,0.000000,2629.2567567567567,583695.0
5.0,1-5,783,10.058748,3.099617,1730.765006385696,1355189.0
5.0,16-30,641,16.872075,20.828393,6113.7535101404055,3918916.0
5.0,31+,87,23.252874,39.034483,7468.9885057471265,649802.0
5.0,6-15,1306,12.611792,9.932619,2606.312404287902,3403844.0
,0,28,7.892857,0.000000,15888.892857142857,444889.0
,1-5,15,41.066667,2.600000,157052.26666666666,2355784.0
,16-30,34,67.147059,23.382353,208294.82352941178,7082024.0
,31+,16,99.437500,40.000000,193965.5625,3103449.0
,6-15,39,58.205128,10.102564,191549.20512820513,7470419.0
