-- S12 MDS: Missouri homes, share of residents coded with schizophrenia (I6000 Yes), to test whether registrant placement just tracks psychiatric specialization
CCN | SZ_PCT | SZ_N | NAME
265594 |  |  | OZARKS METHODIST MANOR, THE
265762 |  |  | ST JOSEPH MANOR HEALTH & REHABILITATION
265885 |  |  | SALEM CARE CENTER
265195 |  |  | ST ANDREW'S AT FRANCIS PLACE
265159 |  |  | MARY, QUEEN AND MOTHER CENTER
265892 |  |  | ST LOUIS ALTENHEIM
26E084 | 28.77 | 21 | MYERS NURSING & CONVALESCENT CENTER
265425 | 55.56 | 35 | EDGEWOOD MANOR HEALTH CARE CENTER
265810 |  |  | STONEBRIDGE ADAMS STREET
265310 |  |  | DELMAR GARDENS SOUTH
265142 |  |  | CHATEAU GIRARDEAU
265836 |  |  | NODAWAY HEALTHCARE
265554 |  |  | MERAMEC NURSING
265608 |  |  | GLENWOOD HEALTHCARE
265663 |  |  | FULTON NURSING & REHAB
265178 |  |  | OZARK REHABILITATION & HEALTH CARE CENTER
265667 |  |  | MEYER CARE CENTER
265538 |  |  | ASPIRE SENIOR LIVING ROARING RIVER
265321 |  |  | GARDEN VIEW CARE CENTER
265845 | 10.74 | 13 | UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER
265535 |  |  | GLASGOW GARDENS
265600 |  |  | LUTHERAN CONVALESCENT HOME
265188 |  |  | SPRING VALLEY HEALTH & REHABILITATION CENTER
265374 |  |  | GRANDVIEW HEALTHCARE CENTER
265387 | 45.45 | 40 | HUNTER ACRES CARING CENTER
265664 |  |  | JAMES RIVER NURSING AND REHABILITATION
265607 |  |  | WILLOWCREEK WELLNESS & REHABILITATION
265803 |  |  | FOXWOOD SPRINGS LIVING CENTER
265859 |  |  | COTTON POINT LIVING CENTER
265351 |  |  | LANSDOWNE VILLAGE
265110 |  |  | MOORE FEW CARE CENTER
265736 | 27.94 | 19 | U-CITY FOREST MANOR
265164 |  |  | WEST VUE NURSING AND REHABILITATION CENTER
265245 |  |  | COLONIAL SPRINGS HEALTHCARE CENTER
265239 |  |  | HERMITAGE NURSING & REHAB
265746 |  |  | TIFFANY HEIGHTS
265251 |  |  | VILLA AT BLUE RIDGE, THE
265360 |  |  | LEWIS COUNTY NURSING HOME DISTRICT
265890 |  |  | ANNIE'S GARDEN SKILLED NURSING
265161 | 28.8 | 36 | WILSON'S CREEK NURSING & REHAB
265844 |  |  | AURORA HEALTH AND REHABILITATION
265586 |  |  | ATRIUM PLACE HEALTH AND REHABILITATION
265834 |  |  | QUARTERS AT DES PERES, THE
265402 |  |  | RANCHO REHAB AND HEALTHCARE CENTER
265793 |  |  | LA PLATA NURSING HOME
265756 |  |  | BETHESDA SOUTHGATE
265804 |  |  | MANOR AT ELFINDALE, THE
265591 |  |  | PARKDALE MANOR HEALTH & REHABILITATION
265867 |  |  | NORTERRE
265609 |  |  | ASPIRE SENIOR LIVING MALDEN
265496 |  |  | PUXICO NURSING AND REHABILITATION CENTER
265702 | 17.78 | 16 | TROY MANOR
265518 |  |  | WINDSOR ESTATES OF ST CHARLES
265683 |  |  | WINDSOR HEALTHCARE & REHAB CENTER
265091 |  |  | CAMDENTON WINDSOR ESTATES
265335 |  |  | WILLOW CARE NURSING HOME
265339 | 16.44 | 24 | ALPINE BREEZE HEALTH AND WELLNESS
265480 | 58.62 | 17 | GRAND RIVER HEALTH CARE
265749 |  |  | WOODLAND MANOR
265651 |  |  | STONEBRIDGE HERMANN
(487 rows; csv has all)
