-- S09 CMS nursing-home deficiencies, Missouri, per home: all, abuse tags F600-F610, harm level G+, complaint-driven
CCN | N_DEF | ABUSE_TAGS | HARM_G_PLUS | ABUSE_HARM | F600 | COMPLAINT_DEF | S0 | S1 | PROC_DATES
265688 | 29 | 4 | 2 | 0 | 0 | 5 | 2019-07-25 | 2025-07-09 | 1
265618 | 38 | 2 | 1 | 0 | 0 | 8 | 2023-02-17 | 2026-04-21 | 1
265326 | 18 | 3 | 0 | 0 | 1 | 3 | 2022-02-25 | 2025-09-18 | 1
265823 | 78 | 23 | 8 | 6 | 13 | 33 | 2020-01-31 | 2025-11-18 | 1
265110 | 21 | 0 | 3 | 0 | 0 | 6 | 2019-09-03 | 2025-05-13 | 1
265238 | 45 | 8 | 2 | 1 | 3 | 14 | 2019-10-09 | 2025-10-30 | 1
265351 | 71 | 1 | 5 | 0 | 0 | 14 | 2022-04-11 | 2025-11-17 | 1
265708 | 47 | 2 | 1 | 0 | 0 | 0 | 2022-04-20 | 2025-05-08 | 1
265473 | 34 | 6 | 0 | 0 | 1 | 11 | 2021-11-05 | 2026-04-24 | 1
265566 | 29 | 4 | 2 | 1 | 2 | 5 | 2023-04-28 | 2025-10-29 | 1
265834 | 82 | 2 | 12 | 1 | 1 | 47 | 2021-04-23 | 2026-04-23 | 1
265374 | 24 | 1 | 1 | 0 | 0 | 5 | 2023-09-22 | 2026-01-14 | 1
265433 | 115 | 5 | 9 | 2 | 2 | 18 | 2019-06-20 | 2026-04-16 | 1
265431 | 44 | 8 | 2 | 2 | 2 | 9 | 2019-06-11 | 2026-03-09 | 1
265745 | 34 | 1 | 1 | 0 | 0 | 2 | 2023-01-19 | 2025-11-05 | 1
265821 | 34 | 1 | 0 | 0 | 0 | 2 | 2022-06-23 | 2026-01-08 | 1
265574 | 10 | 0 | 1 | 0 | 0 | 1 | 2020-11-11 | 2025-08-21 | 1
265247 | 54 | 1 | 7 | 0 | 1 | 17 | 2020-03-03 | 2026-03-18 | 1
265784 | 36 | 3 | 2 | 0 | 0 | 1 | 2020-02-27 | 2025-04-23 | 1
265877 | 21 | 2 | 1 | 0 | 1 | 6 | 2022-07-21 | 2026-01-14 | 1
265156 | 29 | 3 | 2 | 1 | 1 | 7 | 2019-06-25 | 2025-07-07 | 1
265164 | 16 | 0 | 0 | 0 | 0 | 3 | 2020-02-25 | 2026-01-16 | 1
265368 | 18 | 0 | 0 | 0 | 0 | 0 | 2021-09-03 | 2025-01-09 | 1
265627 | 21 | 2 | 0 | 0 | 0 | 4 | 2020-01-24 | 2026-04-13 | 1
265776 | 66 | 11 | 3 | 1 | 2 | 20 | 2021-04-08 | 2025-07-17 | 1
265302 | 51 | 2 | 1 | 0 | 1 | 11 | 2022-07-28 | 2026-03-31 | 1
265463 | 97 | 10 | 7 | 2 | 5 | 23 | 2021-01-19 | 2026-03-23 | 1
265495 | 8 | 0 | 1 | 0 | 0 | 1 | 2023-01-13 | 2026-02-19 | 1
265840 | 29 | 2 | 4 | 1 | 1 | 9 | 2022-05-05 | 2025-11-18 | 1
265715 | 36 | 3 | 1 | 1 | 1 | 4 | 2022-06-01 | 2025-10-03 | 1
265158 | 29 | 0 | 1 | 0 | 0 | 1 | 2022-09-23 | 2025-04-24 | 1
265516 | 34 | 2 | 1 | 0 | 1 | 4 | 2021-11-05 | 2025-03-12 | 1
(485 rows; csv has all)
