-- S08 CMS nursing homes: every Missouri row, all columns, for the address join
CMS_CERTIFICATION_NUMBER_CCN | PROVIDER_NUMBER | COUNTY_FIPS | PROVIDER_SSA_COUNTY_CODE | STATE | ZIP_CODE | PROVIDER_NAME | LEGAL_BUSINESS_NAME | PROVIDER_TYPE | OWNERSHIP_TYPE | ADDRESS | CITY | COUNTY_PARISH | URBAN | LOCATION | LATITUDE | LONGITUDE | GEOCODING_FOOTNOTE | PHONE_NUMBER | DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES | DATE_OF_MOST_RECENT_HEALTH_INSPECTION | PROCESSING_DATE | PROVIDER_RESIDES_IN_HOSPITAL | CONTINUING_CARE_RETIREMENT_COMMUNITY | SPECIAL_FOCUS_STATUS | ABUSE_ICON | MOST_RECENT_HEALTH_INSPECTION_MORE_THAN_2_YEARS_AGO | WITH_A_RESIDENT_AND_FAMILY_COUNCIL | AUTOMATIC_SPRINKLER_SYSTEMS_IN_ALL_REQUIRED_AREAS | NUMBER_OF_CERTIFIED_BEDS | AVERAGE_NUMBER_OF_RESIDENTS_PER_DAY | NUMBER_OF_RESIDENTS_IN_CERTIFIED_BEDS | CHAIN_NAME | CHAIN_ID | NUMBER_OF_FACILITIES_IN_CHAIN | CHAIN_AVERAGE_OVERALL_5_STAR_RATING | CHAIN_AVERAGE_HEALTH_INSPECTION_RATING | CHAIN_AVERAGE_STAFFING_RATING | CHAIN_AVERAGE_QM_RATING | OVERALL_RATING | HEALTH_INSPECTION_RATING | QUALITY_MEASURE_RATING | LONG_STAY_QM_RATING | SHORT_STAY_QM_RATING | STAFFING_RATING | REPORTED_NURSE_AIDE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | REPORTED_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | REPORTED_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY | REPORTED_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | TOTAL_NUMBER_OF_NURSE_STAFF_HOURS_PER_RESIDENT_PER_DAY_ON_THE_WEEKEND | REGISTERED_NURSE_HOURS_PER_RESIDENT_PER_DAY_ON_THE_WEEKEND | REPORTED_PHYSICAL_THERAPIST_STAFFING_HOURS_PER_RESIDENT_PER_DAY | NURSING_CASE_MIX_INDEX | NURSING_CASE_MIX_INDEX_RATIO | CASE_MIX_NURSE_AIDE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | CASE_MIX_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | CASE_MIX_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | CASE_MIX_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | CASE_MIX_WEEKEND_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_NURSE_AIDE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_LPN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_RN_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | ADJUSTED_WEEKEND_TOTAL_NURSE_STAFFING_HOURS_PER_RESIDENT_PER_DAY | TOTAL_NURSING_STAFF_TURNOVER | REGISTERED_NURSE_TURNOVER | NUMBER_OF_ADMINISTRATORS_WHO_HAVE_LEFT_THE_NURSING_HOME | RATING_CYCLE_1_STANDARD_SURVEY_HEALTH_DATE | RATING_CYCLE_1_TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES | RATING_CYCLE_1_NUMBER_OF_STANDARD_HEALTH_DEFICIENCIES | RATING_CYCLE_1_NUMBER_OF_COMPLAINT_HEALTH_DEFICIENCIES | RATING_CYCLE_1_HEALTH_DEFICIENCY_SCORE | RATING_CYCLE_1_NUMBER_OF_HEALTH_REVISITS | RATING_CYCLE_1_HEALTH_REVISIT_SCORE | RATING_CYCLE_1_TOTAL_HEALTH_SCORE | RATING_CYCLE_2_STANDARD_HEALTH_SURVEY_DATE | RATING_CYCLE_2_3_TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES | RATING_CYCLE_2_NUMBER_OF_STANDARD_HEALTH_DEFICIENCIES | RATING_CYCLE_2_3_NUMBER_OF_COMPLAINT_HEALTH_DEFICIENCIES | RATING_CYCLE_2_3_HEALTH_DEFICIENCY_SCORE | RATING_CYCLE_2_3_NUMBER_OF_HEALTH_REVISITS | RATING_CYCLE_2_3_HEALTH_REVISIT_SCORE | RATING_CYCLE_2_3_TOTAL_HEALTH_SCORE | TOTAL_WEIGHTED_HEALTH_SURVEY_SCORE | NUMBER_OF_CITATIONS_FROM_INFECTION_CONTROL_INSPECTIONS | TOTAL_NUMBER_OF_HEALTH_DEFICIENCIES | TOTAL_NUMBER_OF_FIRE_SAFETY_DEFICIENCIES | NUMBER_OF_FINES | TOTAL_AMOUNT_OF_FINES_IN_DOLLARS | NUMBER_OF_PAYMENT_DENIALS | TOTAL_NUMBER_OF_PENALTIES | OVERALL_RATING_BAND | HAS_FINANCIAL_PENALTY | _INGESTED_AT | _SOURCE_RUN_ID
265701 |  |  | 930 | MO | 63628 | ST JOE MANOR | AMERICAN NURSING & REHAB LLC | Medicare and Medicaid | For profit - Limited Liability company | 10 LAKE DRIVE | BONNE TERRE | St. Francois | N | 10 LAKE DRIVE,BONNE TERRE,MO,63628 | 37.9157 | -90.555 |  | 5733582800 | 1999-11-12 |  | 2026-05-01 | N | N |  | N | N | Both | Yes | 155 | 145.8 |  | SHAFIQ MALIK | 794 | 8 | 3.1 | 4.0 | 1.8 | 2.4 | 2 | 4 | 1 | 2 | 1 | 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 96.7 | 100.0 | 1 | 2025-02-13 | 9 | 9 | 0 | 36.0 | 1 | 0.0 | 36.0 | 2024-01-11 | 13 | 11 | 2 | 60.0 | 1 | 0.0 | 60.0 | 42.0 |  |  |  | 0 | 0.0 | 0 | 0 | Low (1-2 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265367 |  |  | 985 | MO | 63841 | CYPRESS POINT-SKILLED NURSING BY AMERICARE | AMERICARE AT CYPRESS POINT NURSING CENTER, LLC | Medicare and Medicaid | For profit - Corporation | 801 BALIFF DRIVE | DEXTER | Stoddard | N | 801 BALIFF DRIVE,DEXTER,MO,63841 | 36.7949 | -89.96 | 22 | 5736248908 | 1989-05-19 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 79 | 64.2 |  | AMERICARE SENIOR LIVING | 34 | 23 | 3.5 | 3.4 | 3.4 | 3.3 | 4 | 4 | 4 | 5 | 4 | 4 | 2.40366 | 0.86436 | 0.74139 | 1.60575 | 4.00941 | 3.18266 | 0.47538 | 0.04324 | 1.32387 | 0.95127 | 2.21831 | 0.81839 | 0.64621 | 3.68291 | 3.26723 | 2.50915 | 0.9023 | 0.77393 | 4.18538 | 3.32235 | 42.7 | 27.3 | 0 | 2025-09-18 | 6 | 6 | 1 | 40.0 | 1 | 0.0 | 40.0 | 2024-09-27 | 6 | 5 | 1 | 91.0 | 1 | 0.0 | 91.0 | 52.75 |  |  |  | 1 | 73743.0 | 0 | 1 | High (4-5 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265501 |  |  | 530 | MO | 64076 | ODESSA HEALTH CARE CENTER | ODESSA HEALTH CARE CENTER, L.L.C. | Medicare and Medicaid | For profit - Limited Liability company | 609 GOLF STREET | ODESSA | Lafayette | Y | 609 GOLF STREET,ODESSA,MO,64076 | 38.9931 | -93.961 |  | 8162307530 | 1992-08-01 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 60 | 56.8 |  | RELIANT CARE MANAGEMENT | 446 | 32 | 1.2 | 1.7 | 1.0 | 1.9 | 1 | 1 | 3 | 4 | 3 | 1 | 1.16942 | 0.21361 | 0.32053 | 0.53414 | 1.70356 | 1.51119 | 0.18511 | 0.01827 | 1.60776 | 1.15526 | 2.694 | 0.99388 | 0.78479 | 4.47267 | 3.96786 | 1.00519 | 0.18361 | 0.27552 | 1.46432 | 1.29896 |  |  |  | 2024-05-28 | 27 | 18 | 9 | 228.0 | 2 | 114.0 | 342.0 | 2022-09-15 | 30 | 25 | 5 | 260.0 | 1 | 0.0 | 260.0 | 321.5 |  |  |  | 0 | 0.0 | 0 | 0 | Low (1-2 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265312 |  |  | 751 | MO | 65655 | GAINESVILLE NURSING | BEL OAK OF GAINESVILLE LLC | Medicare and Medicaid | For profit - Corporation | 77 MEDICAL DRIVE | GAINESVILLE | Ozark | N | 77 MEDICAL DRIVE,GAINESVILLE,MO,65655 | 36.5747 | -92.412 | 22 | 4176794921 | 1987-07-01 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 99 | 45.7 |  | COMMUNITY CARE CENTERS | 154 | 8 | 2.8 | 3.3 | 2.0 | 2.1 | 3 | 4 | 1 | 1 |  | 2 | 1.80507 | 0.26644 | 0.56766 | 0.8341 | 2.63918 | 2.36758 | 0.43481 | 0.00573 | 1.16318 | 0.83581 | 1.94906 | 0.71906 | 0.56778 | 3.2359 | 2.87067 | 2.1446 | 0.31655 | 0.67444 | 3.13559 | 2.81291 | 53.5 | 60.0 | 2 | 2024-09-12 | 8 | 6 | 2 | 40.0 | 2 | 20.0 | 60.0 | 2022-11-17 | 8 | 6 | 2 | 36.0 | 1 | 0.0 | 36.0 | 54.0 |  |  |  | 0 | 0.0 | 0 | 0 | Average (3 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265387 |  |  | 982 | MO | 63801 | HUNTER ACRES CARING CENTER | HUNTER ACRES CARING CENTER INC | Medicare and Medicaid | For profit - Individual | 628 NORTH WEST STREET | SIKESTON | Scott | N | 628 NORTH WEST STREET,SIKESTON,MO,63801 | 36.8839 | -89.601 |  | 5734717130 | 1989-09-01 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 120 | 89.9 |  | CIRCLE B ENTERPRISES | 145 | 36 | 2.5 | 3.1 | 2.0 | 1.8 | 3 | 4 | 3 | 2 | 4 | 1 | 2.31302 | 0.68015 | 0.20218 | 0.88233 | 3.19535 | 2.49263 | 0.21699 | 0.02129 | 1.43526 | 1.03131 | 2.40495 | 0.88725 | 0.70058 | 3.99278 | 3.54213 | 2.22715 | 0.6549 | 0.19467 | 3.07672 | 2.40009 | 51.3 | 40.0 | 1 | 2025-08-07 | 9 | 9 | 0 | 44.0 | 1 | 0.0 | 44.0 | 2024-08-08 | 5 | 4 | 3 | 36.0 | 1 | 0.0 | 36.0 | 42.0 |  |  |  | 1 | 10023.0 | 0 | 1 | Average (3 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265693 |  |  | 470 | MO | 64057 | REHABILITATION CENTER OF INDEPENDENCE, THE | 1800 OPCO LLC | Medicare and Medicaid | For profit - Corporation | 1800 S SWOPE DRIVE | INDEPENDENCE | Jackson | Y | 1800 S SWOPE DRIVE,INDEPENDENCE,MO,64057 | 39.0853 | -94.369 |  | 8162572566 | 1998-07-09 |  | 2026-05-01 | N | N |  | Y | N | Resident | Yes | 130 | 121.7 |  | OPCO SKILLED MANAGEMENT | 773 | 64 | 2.4 | 2.3 | 1.8 | 4.3 | 2 | 2 | 5 | 5 | 5 | 1 | 1.99347 | 0.70891 | 0.1378 | 0.84671 | 2.84018 | 2.41713 | 0.08874 | 0.04242 | 1.63559 | 1.17526 | 2.74063 | 1.01109 | 0.79837 | 4.55009 | 4.03654 | 1.68436 | 0.59899 | 0.11643 | 2.39978 | 2.04233 | 75.3 | 66.7 | 1 | 2025-01-10 | 22 | 21 | 1 | 160.0 | 1 | 0.0 | 160.0 | 2023-06-13 | 21 | 20 | 3 | 188.0 | 1 | 0.0 | 188.0 | 167.0 |  |  |  | 2 | 135669.0 | 1 | 3 | Low (1-2 stars) | True | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265868 |  |  | 090 | MO | 65201 | COLUMBIA POST ACUTE | COLUMBIA POST ACUTE LLC | Medicare and Medicaid | For profit - Limited Liability company | 3535 BERRYWOOD DRIVE | COLUMBIA | Boone | Y | 3535 BERRYWOOD DRIVE,COLUMBIA,MO,65201 | 38.9575 | -92.286 |  | 5733977144 | 2018-05-07 |  | 2026-05-01 | N | N |  | N | N |  | Yes | 70 | 65.0 |  | PACS GROUP | 690 | 279 | 3.0 | 2.5 | 2.4 | 4.3 | 5 | 4 | 5 | 4 | 5 | 4 | 2.06126 | 1.14679 | 0.84991 | 1.9967 | 4.05796 | 3.38461 | 0.48294 | 0.18616 | 1.43829 | 1.03349 | 2.41004 | 0.88912 | 0.70207 | 4.00123 | 3.54962 | 1.98055 | 1.10188 | 0.81663 | 3.89906 | 3.25208 | 53.8 | 38.5 | 0 | 2024-11-15 | 5 | 5 | 1 | 24.0 | 1 | 0.0 | 24.0 | 2023-08-11 | 6 | 5 | 1 | 68.0 | 1 | 0.0 | 68.0 | 35.0 |  |  |  | 0 | 0.0 | 0 | 0 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265523 |  |  | 940 | MO | 63043 | PARKWOOD SKILLED NURSING AND REHABILITATION CENTER | THE WOODLANDS OF MARYLAND HEIGHTS LLC | Medicare and Medicaid | For profit - Corporation | 3201 PARKWOOD LANE | MARYLAND HEIGHTS | St. Louis | Y | 3201 PARKWOOD LANE,MARYLAND HEIGHTS,MO,63043 | 38.7371 | -90.434 |  | 3142915911 | 1993-01-14 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 130 | 83.1 |  | RILEY SPENCE SENIOR LIVING | 658 | 5 | 1.2 | 2.6 | 1.4 | 1.4 | 1 | 2 | 3 | 4 | 1 | 1 | 2.26257 | 0.70548 | 0.1001 | 0.80558 | 3.06816 | 2.86295 | 0.00873 | 0.02632 | 1.0389 | 0.7465 | 1.7408 | 0.64222 | 0.50711 | 2.89013 | 2.56393 | 3.00975 | 0.93846 | 0.13316 | 4.08136 | 3.80839 | 50.0 | 80.0 |  | 2024-08-29 | 31 | 24 | 14 | 180.0 | 1 | 0.0 | 180.0 | 2023-04-21 | 16 | 13 | 3 | 108.0 | 1 | 0.0 | 108.0 | 162.0 |  |  |  | 0 | 0.0 | 0 | 0 | Low (1-2 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265870 |  |  | 230 | MO | 64117 | NORTHLAND REHABILITATION & HEALTH CARE CENTER | NORTHLAND REHABILITATION & HEALTH CARE CENTER, LLC | Medicare and Medicaid | For profit - Limited Liability company | 4301 NE PARVIN ROAD | KANSAS CITY | Clay | Y | 4301 NE PARVIN ROAD,KANSAS CITY,MO,64117 | 39.162 | -94.529 |  | 8167028000 | 2018-08-07 |  | 2026-05-01 | N | N |  | N | N | Both | Yes | 118 | 100.6 |  | TUTERA SENIOR LIVING & HEALTH CARE | 531 | 26 | 2.2 | 2.3 | 1.9 | 3.0 | 3 | 3 | 3 | 4 | 3 | 2 | 2.45619 | 0.9732 | 0.43853 | 1.41174 | 3.86793 | 3.39891 | 0.36798 | 0.05624 | 1.30929 | 0.9408 | 2.19389 | 0.80938 | 0.6391 | 3.64236 | 3.23126 | 2.59254 | 1.02723 | 0.46288 | 4.08264 | 3.58758 |  |  |  | 2025-07-24 | 11 | 10 | 1 | 92.0 | 1 | 0.0 | 92.0 | 2024-06-28 | 8 | 7 | 1 | 52.0 | 1 | 0.0 | 52.0 | 82.0 | 0 |  |  | 0 | 0.0 | 0 | 0 | Average (3 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
265651 |  |  | 360 | MO | 65041 | STONEBRIDGE HERMANN | ELDERCARE OF MID-MISSOURI XIII INC. | Medicare and Medicaid | For profit - Corporation | 1800 WEIN STREET | HERMANN | Gasconade | N | 1800 WEIN STREET,HERMANN,MO,65041 | 38.6923 | -91.45 |  | 5734863155 | 1996-07-10 |  | 2026-05-01 | N | N |  | N | N | Resident | Yes | 118 | 64.5 |  | STONEBRIDGE SENIOR LIVING | 494 | 12 | 2.8 | 3.4 | 1.8 | 2.5 | 4 | 4 | 4 | 4 |  | 2 | 2.02984 | 0.5886 | 0.39724 | 0.98584 | 3.01569 | 2.62883 | 0.23223 | 0.00595 | 1.48191 | 1.06483 | 2.48312 | 0.91609 | 0.72336 | 4.12257 | 3.65727 | 1.89296 | 0.54891 | 0.37045 | 2.81232 | 2.45155 | 47.8 | 20.0 | 0 | 2024-09-19 | 2 | 2 | 0 | 20.0 | 1 | 0.0 | 20.0 | 2023-09-08 | 6 | 6 | 0 | 44.0 | 1 | 0.0 | 44.0 | 26.0 |  |  |  | 0 | 0.0 | 0 | 0 | High (4-5 stars) | False | 2026-09-21 15:45:26.641000-07:00 | abd55091-674b-4b69-b11b-b4c9ae9a3616
