-- S17 Eyeball the join: every insider open-market sale inside an overdue window (report past its extended deadline), with owner, relationship, price
CIK | RPT | W0 | W1 | ISSUER_NAME | FILING_DATE | TRANSACTION_DATE | TRANSACTION_CODE | SHARES | PRICE_PER_SHARE | VAL | OWNER_NAME | RELATIONSHIP | TITLE | REMARKS
1673481 | 10-K 20221231 | 2023-04-19 | 2023-06-14 | Lottery.com Inc. | 2023-05-19 | 2023-05-09 | S | 2300000.0 | 0.45 | 1035000.0 | ALD Holdings Group, LLC | TenPercentOwner |  | 
1673481 | 10-Q 20220930 | 2022-11-23 | 2023-05-23 | Lottery.com Inc. | 2023-05-19 | 2023-05-09 | S | 2300000.0 | 0.45 | 1035000.0 | ALD Holdings Group, LLC | TenPercentOwner |  | 
1673481 | 10-Q 20220630 | 2022-08-23 | 2023-05-21 | Lottery.com Inc. | 2023-05-19 | 2023-05-09 | S | 2300000.0 | 0.45 | 1035000.0 | ALD Holdings Group, LLC | TenPercentOwner |  | 
1673481 | 10-K 20221231 | 2023-04-19 | 2023-06-14 | Lottery.com Inc. | 2023-05-22 | 2023-05-09 | S | 2300000.0 | 0.45 | 1035000.0 | Woodford Eurasia Assets Ltd. | TenPercentOwner |  | 
1673481 | 10-Q 20220930 | 2022-11-23 | 2023-05-23 | Lottery.com Inc. | 2023-05-22 | 2023-05-09 | S | 2300000.0 | 0.45 | 1035000.0 | Woodford Eurasia Assets Ltd. | TenPercentOwner |  | 
1441082 | 10-K 20230630 | 2023-10-17 | 2023-10-22 | Healing Co Inc. | 2023-11-02 | 2023-10-18 | S | 500000.0 | 2.0 | 1000000.0 | Argyropoulos Demetri | TenPercentOwner |  | The reporting person is no longer an owner of 10% or more of the Issuer's Common Stock (as of 5/30/2023). As a result, the reporting person is no longer subject to Section 16 in connection with his transactions in the equity securities of the Issuer and therefore will no longer report any such transactions on Form 4 or Form 5.
1673481 | 10-Q 20220930 | 2022-11-23 | 2023-05-23 | Lottery.com Inc. | 2023-05-23 | 2023-05-22 | S | 2500000.0 | 0.34 | 850000.0000000001 | Woodford Eurasia Assets Ltd. | TenPercentOwner |  | 
1673481 | 10-K 20221231 | 2023-04-19 | 2023-06-14 | Lottery.com Inc. | 2023-05-23 | 2023-05-22 | S | 2500000.0 | 0.34 | 850000.0000000001 | Woodford Eurasia Assets Ltd. | TenPercentOwner |  | 
1673481 | 10-K 20221231 | 2023-04-19 | 2023-06-14 | Lottery.com Inc. | 2023-05-23 | 2023-05-23 | S | 2500000.0 | 0.34 | 850000.0000000001 | ALD Holdings Group, LLC | TenPercentOwner |  | 
1673481 | 10-Q 20220930 | 2022-11-23 | 2023-05-23 | Lottery.com Inc. | 2023-05-23 | 2023-05-23 | S | 2500000.0 | 0.34 | 850000.0000000001 | ALD Holdings Group, LLC | TenPercentOwner |  | 
