-- S07 POLITICS copy of the cand-cmte link (duplicate-table check for S05): pull whole table (16.2K rows)
CAND_ID | CMTE_ID | CYCLE | CMTE_TP | CMTE_DSGN | CAND_ELECTION_YR | FEC_ELECTION_YR | LINKAGE_ID
C00778159 | C00778159 | 2026 | Q | D | 2022 | 2026 | 260464
C00863217 | C00863217 | 2026 | Q | U | 2026 | 2026 | 270578
H0AK00105 | C00607515 | 2024 | H | P | 2020 | 2024 | 248736
H0AL01055 | C00697789 | 2024 | H | P | 2024 | 2024 | 247126
H0AL01055 | C00697789 | 2026 | H | P | 2026 | 2026 | 259584
H0AL01097 | C00708867 | 2024 | H | P | 2024 | 2024 | 248094
H0AL01097 | C00708867 | 2026 | H | P | 2024 | 2026 | 259921
H0AL02087 | C00493783 | 2024 | H | J | 2020 | 2024 | 246532
H0AL02087 | C00493783 | 2026 | H | J | 2020 | 2026 | 259175
H0AL02137 | C00714337 | 2024 | H | P | 2020 | 2024 | 249111
H0AL02160 | C00723478 | 2024 | H | P | 2020 | 2024 | 248215
H0AL02202 | C00728873 | 2024 | H | P | 2024 | 2024 | 248258
H0AL02202 | C00728873 | 2026 | H | P | 2024 | 2026 | 259960
H0AL03192 | C00681452 | 2024 | H | P | 2020 | 2024 | 248022
H0AL05049 | C00239038 | 2024 | N | U | 2008 | 2024 | 249765
H0AL05049 | C00239038 | 2026 | N | B | 2008 | 2026 | 260326
H0AL06104 | C00681213 | 2024 | H | P | 2020 | 2024 | 247712
H0AL06112 | C00696765 | 2024 | H | P | 2020 | 2024 | 247116
H0AL07086 | C00458976 | 2024 | H | P | 2024 | 2024 | 246402
H0AL07086 | C00458976 | 2026 | H | P | 2026 | 2026 | 259066
H0AL07193 | C00723601 | 2024 | H | P | 2020 | 2024 | 249500
H0AR01083 | C00462374 | 2024 | H | P | 2024 | 2024 | 246512
H0AR01083 | C00462374 | 2026 | H | P | 2026 | 2026 | 259158
H0AR01083 | C00493783 | 2024 | H | J | 2024 | 2024 | 246533
H0AR01083 | C00493783 | 2026 | H | J | 2026 | 2026 | 259190
H0AR01109 | C00475384 | 2024 | H | P | 2010 | 2024 | 246571
H0AR01125 | C00480905 | 2024 | H | P | 2010 | 2024 | 246570
H0AR01125 | C00480905 | 2026 | H | P | 2010 | 2026 | 259206
H0AR03030 | C00468033 | 2024 | H | P | 2010 | 2024 | 246491
H0AR03030 | C00468033 | 2026 | H | P | 2010 | 2026 | 259144
H0AR03055 | C00477745 | 2024 | H | P | 2024 | 2024 | 246561
H0AR03055 | C00477745 | 2026 | H | P | 2026 | 2026 | 259200
H0AR03055 | C00497149 | 2024 | N | J | 2024 | 2024 | 246632
H0AR03055 | C00497149 | 2026 | N | J | 2026 | 2026 | 259251
H0AR04095 | C00740530 | 2024 | H | P | 2020 | 2024 | 249464
H0AS01016 | C00755843 | 2024 | H | P | 2020 | 2024 | 249478
H0AZ01259 | C00461806 | 2024 | H | P | 2024 | 2024 | 247411
H0AZ01259 | C00461806 | 2026 | H | P | 2026 | 2026 | 259152
H0AZ01366 | C00707471 | 2024 | H | P | 2020 | 2024 | 248423
H0AZ01374 | C00707976 | 2024 | H | P | 2020 | 2024 | 249629
(16229 rows; 0.6s; qid 01c74b9f-040b-a79a-0026-eed301338c7a)
