-- S10 Ireland CRO: every normalised address hosting 250+ companies, with status, decade spread, 2025+ newcomers and biggest single day
A2 | ADDR | N | NORMAL | DISS | SOL | PRE1990 | Y1990S | Y2000_14 | Y2015_24 | Y2025P | D0 | D1 | MAXDAY | PEAKDAY
41CENTRALCHAMBERSDAMECOURT | 41 CENTRAL CHAMBERS, DAME COURT, DUBLIN 2, DUBLIN | 8826 | 223 | 8590 | 5 | 110 | 7782 | 702 | 162 | 70 | 1944-11-02 | 2026-07-24 | 34 | 1995-03-04
20CLANWILLIAMTERRACEDUBLIN2 | 20 CLANWILLIAM TERRACE, DUBLIN 2, DUBLIN, DUBLIN, IRELAND | 4352 | 15 | 4337 | 0 | 91 | 4195 | 65 | 1 | 0 | 1975-09-11 | 2018-07-17 | 36 | 1996-04-12
FOURTHFLOORDOLLARDHOUSE | FOURTH FLOOR, DOLLARD HOUSE, WELLINGTON QUAY DUBLIN 2, DUBLIN | 2369 | 0 | 2368 | 0 | 199 | 2135 | 35 | 0 | 0 | 1972-03-16 | 2000-06-21 | 25 | 1991-11-22
THEBLACKCHURCHSTMARYSPLACE | THE BLACK CHURCH, ST. MARY'S PLACE,DUBLIN 7, D07 P4AX | 2109 | 1342 | 714 | 32 | 10 | 30 | 204 | 1338 | 527 | 1936-01-03 | 2026-08-05 | 9 | 2026-07-16
6LOWERHATCHSTREETDUBLIN2 | 6 LOWER HATCH STREET, DUBLIN 2., DUBLIN, DUBLIN, IRELAND | 1817 | 0 | 1816 | 0 | 1260 | 541 | 15 | 0 | 0 | 1961-07-20 | 2012-11-06 | 8 | 1993-04-29
FIRSTFLOOR1415PARLIAMENTSTREET | FIRST FLOOR, 14/15 PARLIAMENT STREET, DUBLIN 2, DUBLIN | 1808 | 0 | 1808 | 0 | 7 | 1753 | 48 | 0 | 0 | 1988-11-25 | 2000-07-07 | 14 | 1992-05-01
FIRSTFLOOR17DAMESTREET | FIRST FLOOR, 17 DAME STREET, DUBLIN 2, DUBLIN | 1762 | 0 | 1759 | 0 | 31 | 1729 | 2 | 0 | 0 | 1966-07-07 | 2008-06-12 | 19 | 1992-05-27
MERCHANTSHOUSE2730MERCHANTSQUAY | MERCHANT'S HOUSE, 27-30 MERCHANT'S QUAY, DUBLIN 8, DUBLIN | 1734 | 20 | 1712 | 1 | 18 | 1654 | 26 | 36 | 0 | 1973-11-07 | 2022-10-20 | 13 | 1998-06-26
1STOKESPLACESTSTEPHENSGREEN | 1 STOKES PLACE, ST. STEPHEN'S GREEN, DUBLIN 2., DUBLIN | 1614 | 161 | 1422 | 1 | 792 | 540 | 176 | 86 | 19 | 1897-10-26 | 2026-06-23 | 11 | 2000-03-28
70SIRJOHNROGERSONSQUAYDUBLIN2 | 70 SIR JOHN ROGERSON'S QUAY, DUBLIN 2, DUBLIN 2, DUBLIN, IRELAND, D02R296 | 1509 | 663 | 794 | 12 | 32 | 120 | 809 | 503 | 45 | 1924-09-18 | 2026-08-05 | 17 | 2007-07-31
