-- S16 ICIJ entities, Panama Papers (Mossack Fonseca): formations by month and jurisdiction 1999-2007, plus company type in Apr-Jun 2004 vs Apr-Jun 2005
K | P | G | N
month | 199901 | BAH | 331
month | 199901 | BVI | 772
month | 199901 | NIUE | 202
month | 199901 | PMA | 111
month | 199901 | SEY | 28
month | 199902 | BAH | 100
month | 199902 | BVI | 337
month | 199902 | NIUE | 74
month | 199902 | PMA | 38
month | 199902 | SEY | 17
month | 199903 | BAH | 142
month | 199903 | BVI | 597
month | 199903 | NIUE | 150
month | 199903 | OTHER | 2
month | 199903 | PMA | 51
month | 199903 | SAM | 1
month | 199903 | SEY | 26
month | 199904 | BAH | 100
month | 199904 | BVI | 287
month | 199904 | NIUE | 152
month | 199904 | OTHER | 2
month | 199904 | PMA | 57
month | 199904 | SEY | 9
month | 199905 | BAH | 111
month | 199905 | BVI | 352
month | 199905 | NIUE | 128
month | 199905 | PMA | 55
month | 199905 | SEY | 15
month | 199906 | BAH | 125
month | 199906 | BVI | 381
month | 199906 | NIUE | 179
month | 199906 | OTHER | 1
month | 199906 | PMA | 52
month | 199906 | SEY | 9
month | 199907 | BAH | 80
month | 199907 | BVI | 589
month | 199907 | NIUE | 118
month | 199907 | OTHER | 2
month | 199907 | PMA | 32
month | 199907 | SEY | 2
month | 199908 | BAH | 120
month | 199908 | BVI | 330
month | 199908 | NIUE | 164
month | 199908 | PMA | 37
month | 199908 | SAM | 1
month | 199908 | SEY | 6
month | 199909 | BAH | 114
month | 199909 | BVI | 604
month | 199909 | NIUE | 244
month | 199909 | PMA | 74
month | 199909 | SEY | 14
month | 199910 | BAH | 75
month | 199910 | BVI | 406
month | 199910 | NIUE | 164
month | 199910 | PMA | 64
month | 199910 | SEY | 14
month | 199911 | BAH | 67
month | 199911 | BVI | 393
month | 199911 | NIUE | 158
month | 199911 | OTHER | 1
(689 rows; csv has all)
