-- S11 ICIJ entities: incorporations, inactivations and strike-offs by year, leak and jurisdiction; plus Panama Papers and Offshore Leaks formations by month 2003-2007
K | L | J | P | N
inact | Panama Papers | ANG | 2008 | 2
inact | Panama Papers | ANG | 2009 | 51
inact | Panama Papers | ANG | 2010 | 123
inact | Panama Papers | ANG | 2011 | 63
inact | Panama Papers | ANG | 2012 | 131
inact | Panama Papers | ANG | 2013 | 313
inact | Panama Papers | ANG | 2014 | 205
inact | Panama Papers | ANG | 2015 | 267
inact | Panama Papers | BAH | 1991 | 3
inact | Panama Papers | BAH | 1992 | 34
inact | Panama Papers | BAH | 1993 | 85
inact | Panama Papers | BAH | 1994 | 126
inact | Panama Papers | BAH | 1995 | 246
inact | Panama Papers | BAH | 1996 | 723
inact | Panama Papers | BAH | 1997 | 748
inact | Panama Papers | BAH | 1998 | 996
inact | Panama Papers | BAH | 1999 | 1260
inact | Panama Papers | BAH | 2000 | 1378
inact | Panama Papers | BAH | 2001 | 1536
inact | Panama Papers | BAH | 2002 | 1323
inact | Panama Papers | BAH | 2003 | 679
inact | Panama Papers | BAH | 2004 | 557
inact | Panama Papers | BAH | 2005 | 478
inact | Panama Papers | BAH | 2006 | 432
inact | Panama Papers | BAH | 2007 | 340
inact | Panama Papers | BAH | 2008 | 364
inact | Panama Papers | BAH | 2009 | 365
inact | Panama Papers | BAH | 2010 | 365
inact | Panama Papers | BAH | 2011 | 269
inact | Panama Papers | BAH | 2012 | 215
inact | Panama Papers | BAH | 2013 | 216
inact | Panama Papers | BAH | 2014 | 182
inact | Panama Papers | BAH | 2015 | 208
inact | Panama Papers | BLZ | 2014 | 2
inact | Panama Papers | BLZ | 2015 | 14
inact | Panama Papers | BVI | 1989 | 7
inact | Panama Papers | BVI | 1990 | 69
inact | Panama Papers | BVI | 1991 | 397
inact | Panama Papers | BVI | 1992 | 354
inact | Panama Papers | BVI | 1993 | 587
inact | Panama Papers | BVI | 1994 | 862
inact | Panama Papers | BVI | 1995 | 1306
inact | Panama Papers | BVI | 1996 | 1751
inact | Panama Papers | BVI | 1997 | 1727
inact | Panama Papers | BVI | 1998 | 2220
inact | Panama Papers | BVI | 1999 | 2710
inact | Panama Papers | BVI | 2000 | 2526
inact | Panama Papers | BVI | 2001 | 3189
inact | Panama Papers | BVI | 2002 | 3683
inact | Panama Papers | BVI | 2003 | 3567
inact | Panama Papers | BVI | 2004 | 3932
inact | Panama Papers | BVI | 2005 | 3959
inact | Panama Papers | BVI | 2006 | 4111
inact | Panama Papers | BVI | 2007 | 4096
inact | Panama Papers | BVI | 2008 | 4653
inact | Panama Papers | BVI | 2009 | 5235
inact | Panama Papers | BVI | 2010 | 5118
inact | Panama Papers | BVI | 2011 | 4089
inact | Panama Papers | BVI | 2012 | 3363
inact | Panama Papers | BVI | 2013 | 3665
(2524 rows; csv has all)
