-- S04 ICIJ entities: profile by leak (fill rates, date ranges, impossible dates, US ties)
SOURCE_LEAK | N | NODES | STATUS_SET | SP_SET | INC_SET | INC0 | INC1 | INC_BAD | STRUCK_SET | INACT_SET | DORM_SET | USA | JURIS | TOP_JURIS | TOP_SP | TOP_STATUS | VU0 | VU1 | RUNS | NAMES
Panama Papers | 213634 | 213634 | 213631 | 213634 | 213599 | 1936-11-05 | 2015-12-18 | 0 | 157872 | 144760 | 0 | 3066 | 21 | BVI | Mossack Fonseca | Defaulted | The Panama Papers data is current through 2015 | The Panama Papers data is current through 2015 | 1 | 206525
Bahamas Leaks | 175888 | 175888 | 0 | 0 | 175871 | 1919-09-24 | 2023-03-01 | 0 | 114368 | 0 | 0 | 0 | 1 | BAH |  |  | The Bahamas Leaks data is current through early 2016. | The Bahamas Leaks data is current through early 2016. | 1 | 175514
Offshore Leaks | 105516 | 105516 | 96475 | 105516 | 96137 | 1918-01-01 | 2020-05-05 | 0 | 0 | 0 | 20207 | 3188 | 27 | XXX | Portcullis Trustnet | Active | The Offshore Leaks data is current through 2010 | The Offshore Leaks data is current through 2010 | 1 | 105114
Paradise Papers - Malta corporate registry | 83896 | 83896 | 26157 | 0 | 83519 | 1965-04-17 | 2017-03-24 | 0 | 0 | 0 | 0 | 0 | 1 | MLT |  | Struck Off | Malta corporate registry data is current through 2016 | Malta corporate registry data is current through 2016 | 1 | 83690
Paradise Papers - Nevis corporate registry | 70501 | 70501 | 0 | 0 | 70475 | 1985-05-08 | 2017-01-10 | 0 | 50983 | 0 | 0 | 5 | 1 | KNA |  |  | Nevis corporate registry data is current through 2016 | Nevis corporate registry data is current through 2016 | 1 | 70451
Paradise Papers - Aruba corporate registry | 49047 | 49047 | 0 | 0 | 49047 | 0199-04-25 | 2029-04-15 | 3 | 8580 | 0 | 0 | 0 | 1 | AW |  |  | Aruba corporate registry data is current through 2016 | Aruba corporate registry data is current through 2016 | 1 | 46934
Paradise Papers - Barbados corporate registry | 40838 | 40838 | 0 | 0 | 40635 | 1915-12-23 | 2020-11-29 | 0 | 13 | 0 | 0 | 244 | 1 | BRB |  |  | Barbados corporate registry data is current through 2016 | Barbados corporate registry data is current through 2016 | 1 | 40603
Paradise Papers - Appleby | 24936 | 24936 | 0 | 24936 | 23623 | 1865-10-26 | 2812-12-18 | 6 | 0 | 0 | 0 | 1658 | 40 | BM | Appleby |  | Appleby data is current through 2014 | Appleby data is current through 2014 | 1 | 24849
Paradise Papers - Bahamas corporate registry | 17800 | 17800 | 0 | 0 | 16962 | 1901-12-20 | 2017-03-15 | 0 | 12003 | 0 | 0 | 0 | 1 | BAH |  |  | Bahamas corporate registry data is current through 2016 | Bahamas corporate registry data is current through 2016 | 1 | 17735
Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal) | 16077 | 16077 | 15941 | 0 | 12206 | 1975-09-10 | 2018-12-22 | 0 | 0 | 2 | 0 | 6 | 13 | BVI |  | Active | Data current through 2017. | The data is current through 2017. | 1 | 14994
Pandora Papers - SFM Corporate Services | 2930 | 2930 | 4 | 0 | 7 | 2009-12-09 | 2016-04-19 | 0 | 0 | 0 | 0 | 1 | 23 | SYC |  | dissolved | Data is current through 2007. | Provider data is current through 2033 | 1 | 2927
Pandora Papers - Commence Overseas | 2427 | 2427 | 2360 | 0 | 2414 | 1986-12-17 | 2017-08-31 | 0 | 24 | 0 | 0 | 0 | 2 | BVI |  | Active | Data is current through 2016. | Provider data is current through 2017 | 1 | 2402
Pandora Papers - Alpha Consulting | 2116 | 2116 | 5 | 0 | 11 | 2004-02-10 | 2019-05-07 | 0 | 0 | 0 | 0 | 0 | 6 | VGB |  | active | Data is current through 2014. | Provider data is current through 2020 | 1 | 2057
Pandora Papers - Fidelity Corporate Services | 1883 | 1883 | 1877 | 0 | 1882 | 1991-05-03 | 2018-09-10 | 0 | 0 | 11 | 0 | 0 | 4 | BVI |  | Active | Data is current through 2015. | Provider data is current through 2019 | 1 | 1453
Pandora Papers - Trident Trust | 1729 | 1729 | 35 | 0 | 215 | 1905-07-08 | 2019-09-29 | 0 | 0 | 0 | 0 | 0 | 5 | VGB |  | active | Data current through 2017. | The data is current through 2016. | 1 | 1711
Paradise Papers - Samoa corporate registry | 1595 | 1595 | 49 | 0 | 0 |  |  | 0 | 0 | 0 | 0 | 0 | 1 | SAM |  | Removed | Samoa corporate registry data is current through 2016 | Samoa corporate registry data is current through 2016 | 1 | 1595
Paradise Papers - Cook Islands corporate registry | 1469 | 1469 | 1469 | 0 | 1469 | 1987-04-30 | 2016-11-21 | 0 | 0 | 0 | 0 | 1 | 1 | COOK |  | Registered | Cook Islands corporate registry data is current through 2016 | Cook Islands corporate registry data is current through 2016 | 1 | 1464
Pandora Papers - CILTrust International | 1355 | 1355 | 1 | 0 | 17 | 2000-07-31 | 2018-04-02 | 0 | 0 | 0 | 0 | 0 | 2 | USA |  | closed for non-payment/non-communication | Data is current through 2017. | Provider data is current through 2019 | 1 | 1352
Pandora Papers - Il Shin Corporate Consulting Limited | 292 | 292 | 0 | 0 | 0 |  |  | 0 | 0 | 0 | 0 | 0 | 1 | HKG |  |  | Provider data is current through 2018 | Provider data is current through nan | 1 | 284
Pandora Papers - Overseas Management Company (OMC) | 277 | 277 | 6 | 0 | 268 | 1981-12-18 | 2019-12-17 | 0 | 0 | 0 | 0 | 12 | 12 | VGB |  | struck off | Data current through 2017. | The data is current through 2019. | 1 | 277
