family,class,n_members,slot,slot_label,members_ready,members_hole,status
UNMAPPED,unclassified,9,how_many,How many are there,9,0,ready
UNMAPPED,unclassified,9,row_count_vs_published,Rows held vs publisher total,9,0,ready
UNMAPPED,unclassified,9,freshness,How fresh is it (last load),9,0,ready
UNMAPPED,unclassified,9,grain_integrity,Is one row really one thing (dup check),8,1,ready
UNMAPPED,unclassified,9,id_integrity,Are the IDs real (distinct/sentinel check),8,1,ready
UNMAPPED,unclassified,9,rank_in_family,Rank among peers in its family,9,0,ready
UNMAPPED,unclassified,9,share_of_family,Share of its family,9,0,ready
UNMAPPED,unclassified,9,by_time,Over time,0,9,hole
UNMAPPED,unclassified,9,first_last,Earliest and latest,0,9,hole
UNMAPPED,unclassified,9,gaps,Missing periods in the record,0,9,hole
UNMAPPED,unclassified,9,seasonality,By month / day-of-week,0,9,hole
UNMAPPED,unclassified,9,by_state,By state,1,8,ready
UNMAPPED,unclassified,9,by_county_city,By county / city / zip,1,8,ready
UNMAPPED,unclassified,9,map_points,On a map (points),1,8,ready
UNMAPPED,unclassified,9,geo_concentration,Geographic concentration,1,8,ready
UNMAPPED,unclassified,9,mix_by_code,Mix by type/status/category,3,6,ready
UNMAPPED,unclassified,9,mix_over_time,Mix shifting over time,0,9,hole
UNMAPPED,unclassified,9,code_concentration,Does one category dominate,3,6,ready
UNMAPPED,unclassified,9,total_money,Total dollars,1,8,ready
UNMAPPED,unclassified,9,typical_money,Typical dollar size (median),1,8,ready
UNMAPPED,unclassified,9,money_distribution,Dollar distribution,1,8,ready
UNMAPPED,unclassified,9,money_top_share,Top 1% share of dollars,1,8,ready
UNMAPPED,unclassified,9,round_numbers,Suspiciously round amounts,1,8,ready
UNMAPPED,unclassified,9,size_distribution,Size distribution,0,9,hole
UNMAPPED,unclassified,9,per_person,Per person served,0,9,hole
UNMAPPED,unclassified,9,flag_rates,Yes/no flag rates,1,8,ready
accident,event,19,how_many,How many are there,19,0,ready
accident,event,19,row_count_vs_published,Rows held vs publisher total,19,0,ready
accident,event,19,freshness,How fresh is it (last load),19,0,ready
accident,event,19,grain_integrity,Is one row really one thing (dup check),14,5,ready
accident,event,19,id_integrity,Are the IDs real (distinct/sentinel check),10,9,ready
accident,event,19,rank_in_family,Rank among peers in its family,19,0,ready
accident,event,19,share_of_family,Share of its family,19,0,ready
accident,event,19,by_time,Over time,16,3,ready
accident,event,19,first_last,Earliest and latest,16,3,ready
accident,event,19,gaps,Missing periods in the record,16,3,ready
accident,event,19,seasonality,By month / day-of-week,16,3,ready
accident,event,19,by_state,By state,12,7,ready
