family,thing,class,n_models,subjects,example_models
case,case,event+noun,29,labor; consumer_safety; immigration; fed_doj_crt_cases; fed_eoir_case_data,consumer_safety__fed_cpsc_neiss; immigration__fed_eoir_case_data; labor__fed_osha_ita_case_detail_2023
case,decision,event+noun,1,fed_fda_device_pma,stg_fed_fda_device_pma__all
case,docket,event+noun,4,justice; politics_lobbying; fed_jpml_pending_mdls; tx_lobby,justice__fed_courtlistener_dockets; politics__tx_lobby_dockets; stg_fed_jpml_pending_mdls__mdl_docket
case,matter,event+noun,2,politics_lobbying; tx_lobby,politics__tx_lobby_subject_matter; stg_tx_lobby__subject_matter
case,opinion,event+noun,1,justice,justice__fed_courtlistener_opinion_clusters
change,change,event,2,politics_lobbying; ca_lobby,politics__ca_lobby_chg_log; stg_ca_lobby__chg_log
change,correction,event,1,fed_retraction_watch,stg_fed_retraction_watch__retractions
change,history,event,5,environment; fed_epa_rcra_viosnc_history; fed_usgs_earthquakes,environment__fed_epa_icis_air_icis_air_violation_history; environment__fed_epa_npdes_npdes_qncr_history; environment__fed_epa_rcra_viosnc_history
change,merger,event,2,energy; fed_eia861_mergers,energy__fed_eia861_mergers; stg_fed_eia861_mergers__mergers
change,update,event,1,portal_arc_harris_county_op_d354d2d6e2,stg_portal_arc_harris_county_op_d354d2d6e2__records
code,classification,code,1,fed_fda_device_classification,stg_fed_fda_device_classification__device_classifications
code,code,code,15,environment; health; consumer_safety; education; immigration,education__fed_cpsc_neiss_codes; education__fed_ed_nces_cip_codes; environment__fed_epa_frs_frs_naics_codes
code,mic,code,1,finance,finance__intl_iso_mic_registry
code,naic,code,2,environment,environment__fed_epa_npdes_npdes_naics; environment__fed_epa_rcra_rcra_naics
code,pollutant,code,1,environment,environment__fed_epa_icis_air_icis_air_pollutants
code,sic,code,1,environment,environment__fed_epa_npdes_npdes_sics
code,subpart,code,1,environment,environment__fed_epa_icis_air_icis_air_program_subparts
code,taxa,code,1,fed_itis_taxonomic_units,stg_fed_itis_taxonomic_units__taxa
code,taxon,code,6,reference; fed_itis_strippedauthor; fed_itis_taxon_authors_lkp; fed_itis_taxon_unit_types,reference__fed_itis_strippedauthor; reference__fed_itis_taxon_authors_lkp; reference__fed_itis_taxon_unit_types
code,tsn,code,18,reference; fed_itis_geographic_div; fed_itis_hierarchy; fed_itis_jurisdiction; fed_itis_longnames,reference__fed_itis_geographic_div; reference__fed_itis_hierarchy; reference__fed_itis_jurisdiction
complaint,complaint,event,6,consumer_protection; consumer_safety; fed_cfpb_complaints; fed_nhtsa_complaints; portal_soc_washington_state_11cd1995b7,consumer_protection__fed_cfpb_complaints; consumer_safety__fed_nhtsa_complaints; stg_fed_cfpb_complaints__complaints
contribution,contribution,event,16,politics_lobbying; finance; ca_lobby; fed_fec_indiv_contributions; intl_elections_canada_contributions,finance__fed_fec_indiv_contributions; politics__ca_lobby_contributions; politics__intl_elections_canada_contributions
contribution,fec,event,5,politics; finance; politics_lobbying; fed_fec_committee_to_candidate,finance__fed_fec_bulk; politics__fec_cand_cmte_link; politics__fed_fec_api
contribution,gift,event,1,justice,justice__fed_courtlistener_disclosure_gifts
contribution,receipt,event,1,economics,economics__fed_treasury_mts_receipts
crosswalk,crosswalk,link,3,environment; health; fed_fda_unii_gsrs_substances,environment__xc_epa_corporate_crosswalk; health__fed_fda_unii_gsrs_substances; stg_fed_fda_unii_gsrs_substances__substances
crosswalk,link,link,1,environment,environment__fed_epa_frs_frs_program_links
crosswalk,linkage,link,4,finance; politics; fed_fec_cand_cmte_linkage,finance__fed_fec_cand_cmte_linkage; finance__fed_fec_leadership_pac; stg_fed_fec_bulk_linkages__linkages
crosswalk,mapping,link,6,politics_lobbying; housing; justice; portal_cka_western_pennsylv_a3b7349811; portal_cka_wprdc_allegheny_1b2d51749e,education__fed_google_polads_advertiser_id_mapping; education__fed_google_polads_creative_id_mapping; housing__fed_mapping_inequality
crosswalk,xref,link,2,housing; fed_cfpb_hmda_arid2017_lei_xref,housing__fed_cfpb_hmda_arid2017_lei_xref; stg_fed_cfpb_hmda_arid2017_lei_xref__xref
dataset,aad,noun,3,civil_rights; government_records; fed_nara_aad,civil_rights__fed_nara_wra_aad; government_records__fed_nara_aad; stg_fed_nara_aad__archival_records
dataset,collection,noun,4,fed_bjs_data; fed_david_rumsey; fed_usgs_topoview; fed_wpa_slave_narratives,stg_fed_bjs_data__bjs_data_collections; stg_fed_david_rumsey__records; stg_fed_usgs_topoview__records
dataset,dataset,noun,5,health; justice; open_data; fed_cdc_data_portal; intl_fr_data_gouv,health__fed_cdc_data_portal; justice__fed_ftc_datasets; open_data__intl_fr_data_gouv
dataset,publication,noun,2,reference; fed_itis_publications,reference__fed_itis_publications; stg_fed_itis_publications__publications
dataset,sery,noun,2,fed_nara_wra_aad; fed_sec_investment_company_series_class,stg_fed_nara_wra_aad__japanese_american_relocation_records; stg_fed_sec_investment_company_series_class__series_classes
dataset,survey,noun,1,fed_eac_eavs,stg_fed_eac_eavs__records
document,document,noun,2,regulatory; fed_federal_register_documents,regulatory__fed_federal_register_documents; stg_fed_federal_register_documents__federal_register_documents
document,library,noun,3,politics; fed_doj_epstein_library; portal_cka_israel_national_7362ebc06f,politics__fed_doj_epstein_library; stg_fed_doj_epstein_library__records; stg_portal_cka_israel_national_7362ebc06f__records
document,listing,noun,1,xc_wayback_replay_doj_listing,stg_xc_wayback_replay_doj_listing__records
document,manuscript,noun,1,xc_biorxiv_medrxiv,stg_xc_biorxiv_medrxiv__preprint_manuscript
document,map,noun,3,health; fed_nlm_dailymed_spl_setid_map; portal_cka_virginia_open_da_97ad4bc66c,health__fed_nlm_dailymed_spl_setid_map; stg_fed_nlm_dailymed_spl_setid_map__setid_map; stg_portal_cka_virginia_open_da_97ad4bc66c__records
document,page,noun,3,investigations; xc_wayback_doj_epstein; xc_wayback_replay_doj_deep_pages,investigations__xc_wayback_replay_doj_deep_pages; stg_xc_wayback_doj_epstein__records; stg_xc_wayback_replay_doj_deep_pages__records
document,snapshot,noun,1,housing,housing__fed_hud_fha_sf_portfolio_snapshot
enforcement,enforcement,event,6,environment; fed_dhs_ohss; fed_epa_echo; fed_epa_rcra_enforcements; portal_arc_harris_county_op_12691a85a0,environment__fed_epa_rcra_enforcements; stg_fed_dhs_ohss__records; stg_fed_epa_echo__records
enforcement,exclusion,event,4,health; procurement; fed_hhs_oig_leie; fed_sam_exclusions,health__fed_hhs_oig_leie; procurement__fed_sam_exclusions; stg_fed_hhs_oig_leie__exclusions
enforcement,order,event,2,health; fed_fdic_enforcement,health__fed_cms_order_and_referring; stg_fed_fdic_enforcement__enforcement_orders
enforcement,penalty,event,2,environment; health,environment__epa_penalty_gap; health__fed_cms_nursing_home_penalties
enforcement,revocation,event,1,economics,economics__fed_irs_auto_revocations
enforcement,settlement,event,3,justice; fed_doj_fca_settlements; fed_naag_multistate_settlements,justice__fed_doj_fca_settlements; stg_fed_doj_fca_settlements__fca_settlements; stg_fed_naag_multistate_settlements__multistate_settlements
facility,boiler,noun,2,energy; fed_eia860_6_2_enviroequip,energy__fed_eia860_6_2_enviroequip; stg_fed_eia860_6_2_enviroequip__all
facility,center,noun,12,health; fed_hrsa_uds_health_center_info; intl_nti_cns_dprk_missile_tests; portal_arc_harris_county_op_1a53499962; portal_arc_harris_county_op_3cfe4113ed,health__fed_hrsa_uds_health_center_info; stg_fed_hrsa_uds_health_center_info__centers; stg_intl_nti_cns_dprk_missile_tests__records
