family,thing,class,n_models,subjects,example_models
organization,institution,noun,3,fed_fatca_ffi; fed_fdic_bank_data; intl_osfi_regulated_fi,stg_fed_fatca_ffi__institutions; stg_fed_fdic_bank_data__institutions; stg_intl_osfi_regulated_fi__institutions
organization,intermediary,noun,2,corporate_registry; fed_icij_offshoreleaks,corporate_registry__fed_icij_offshoreleaks_intermediaries; stg_fed_icij_offshoreleaks__intermediaries
organization,manufacturer,noun,1,health,health__pharma_meal_cap_fingerprint
organization,offshoreleak,noun,1,corporate_registry,corporate_registry__fed_icij_offshoreleaks_others
organization,organization,noun,27,economics; reference; fed_fincen_boi; fed_irs_990; fed_irs_bmf,economics__fed_irs_990; economics__fed_irs_bmf; economics__fed_irs_revocation
organization,osfi,noun,1,finance,finance__intl_osfi_regulated_fi
organization,pha,noun,1,housing,housing__fed_hud_public_housing_authorities
organization,psc,noun,2,corporate_registry; uk_companies_house_psc,corporate_registry__uk_companies_house_psc; stg_uk_companies_house_psc__psc_records
organization,railroad,noun,2,fed_fra_equipment_accidents; transport,stg_fed_fra_equipment_accidents__all; transport__fed_fra_equipment_accidents
organization,registrant,noun,2,finance; fed_msrb_registrants,finance__fed_msrb_registrants; stg_fed_msrb_registrants__registrants
organization,school,noun,3,justice; portal_arc_tucson_open_data_55d5164315; portal_cka_analyze_boston_7d75fd803f,justice__fed_courtlistener_schools; stg_portal_arc_tucson_open_data_55d5164315__records; stg_portal_cka_analyze_boston_7d75fd803f__records
organization,thrift,noun,2,finance; fed_occ_thrifts,finance__fed_occ_thrifts; stg_fed_occ_thrifts__thrifts
organization,union,noun,1,fed_ncua_federally_insured_cu_list,stg_fed_ncua_federally_insured_cu_list__credit_unions
organization,university,noun,1,portal_cka_analyze_boston_7f82f529e8,stg_portal_cka_analyze_boston_7f82f529e8__records
organization,utility,noun,10,energy; fed_eia860_1_utility; fed_eia861_advanced_meters; fed_eia861_net_metering; fed_eia861_non_net_metering_distributed,energy__fed_eia860_1_utility; energy__fed_eia861_advanced_meters; energy__fed_eia861_non_net_metering_distributed
ownership,holding,link,3,finance; fed_sec_13f_positions,finance__fed_sec_13f_holdings; finance__fed_sec_13f_positions; stg_fed_sec_13f_positions__all
ownership,owner,link,1,energy,energy__fed_eia860_4_owner
ownership,position,link,6,fed_revolvingdoor_project; justice; governance; fed_noaa_ais,governance__fed_revolvingdoor_project; int_fed_revolvingdoor_project__positions_sectors; justice__fed_courtlistener_disclosure_positions
ownership,stake,link,1,fed_eia860_4_owner,stg_fed_eia860_4_owner__all
payment,deposit,event,2,economics; finance,economics__fed_treasury_dts_deposits; finance__fed_fdic_sod_branch_deposits
payment,expenditure,event,3,politics_lobbying; fed_fec_independent_expenditures; tx_lobby,politics__tx_lobby_individual_reporting; stg_fed_fec_independent_expenditures__records; stg_tx_lobby__individual_reporting
payment,payment,event,8,health; open_payments; fed_cms_open_payments_profile_supplement; portal_cka_western_pennsylv_9ef4c60f58; portal_cka_wprdc_allegheny_c96164a13d,health__fed_cms_open_payments; health__fed_cms_open_payments_2022; health__fed_cms_open_payments_2023
payment,refund,event,1,portal_cka_israel_national_05cd5564c6,stg_portal_cka_israel_national_05cd5564c6__records
payment,spend,event,3,politics_lobbying,education__fed_google_polads_advertiser_geo_spend; education__fed_google_polads_advertiser_weekly_spend; education__fed_google_polads_geo_spend
person,(person unspecified),noun,3,politics; fed_voteview_members,politics__fed_voteview_members; stg_fed_voteview_members__ideology; stg_fed_voteview_members__records
person,candidate,noun,5,finance; politics; fed_fec_candidates,finance__fed_fec_candidates; finance__fed_fec_committee_to_candidate; politics__fec_candidate
person,expert,noun,2,reference; fed_itis_experts,reference__fed_itis_experts; stg_fed_itis_experts__experts
person,judge,noun,4,justice; politics,justice__fed_courtlistener_judge_educations; justice__fed_courtlistener_judge_races; justice__fed_courtlistener_judges
person,legislator,noun,2,politics,politics__fed_congress_committee_membership; politics__fed_congress_legislators
person,people,noun,1,fed_congress_committee_membership,stg_fed_congress_committee_membership__people
