-- S01 column names and types for the 5 tables plus the partner tables used for joins
TABLE_SCHEMA | TABLE_NAME | COLS
FINANCE | FINANCE__FED_NCUA_CALL_REPORTS_FOICU | CU_NUMBER:TEXT, CYCLE_DATE:DATE, JOIN_NUMBER:TEXT, RSSD:TEXT, CU_TYPE:TEXT, CU_NAME:TEXT, CITY:TEXT, STATE:TEXT, CHARTERSTATE:TEXT, STATE_CODE:TEXT, ZIP_CODE:TEXT, COUNTY_CODE:TEXT, CONG_DIST:TEXT, SMSA:TEXT, ATTENTION_OF:TEXT, STREET:TEXT, REGION:TEXT, SE:TEXT, DISTRICT:TEXT, YEAR_OPENED:NUMB, TOM_CODE:TEXT, LIMITED_INC:TEXT, ISSUE_DATE:DATE, PEER_GROUP:TEXT, QUARTER_FLAG:TEXT, ISMDI:TEXT, INSURED_DATE:DATE, AM_DATEHELD:TIME, _LOADED_AT:NUMB, _SOURCE_RUN_ID:TEXT, _SRC_SHA256:TEXT
TIMELINE | FINANCE__FED_NCUA_CALL_REPORTS_FOICU | RIPPLE_TS:TIME, RIPPLE_GRAIN:TEXT, RIPPLE_CLOCK:TEXT, RIPPLE_SOURCE:TEXT, CU_NUMBER:TEXT, CYCLE_DATE:DATE, JOIN_NUMBER:TEXT, RSSD:TEXT, CU_TYPE:TEXT, CU_NAME:TEXT, CITY:TEXT, STATE:TEXT, CHARTERSTATE:TEXT, STATE_CODE:TEXT, ZIP_CODE:TEXT, COUNTY_CODE:TEXT, CONG_DIST:TEXT, SMSA:TEXT, ATTENTION_OF:TEXT, STREET:TEXT, REGION:TEXT, SE:TEXT, DISTRICT:TEXT, YEAR_OPENED:NUMB, TOM_CODE:TEXT, LIMITED_INC:TEXT, ISSUE_DATE:DATE, PEER_GROUP:TEXT, QUARTER_FLAG:TEXT, ISMDI:TEXT, INSURED_DATE:DATE, AM_DATEHELD:TIME, _LOADED_AT:NUMB, _SOURCE_RUN_ID:TEXT, _SRC_SHA256:TEXT
FINANCE | FINANCE__FED_NCUA_CHARTER_MERGER_EVENTS | REGION:TEXT, CONTINUING_CREDIT_UNION_CHARTER:TEXT, CONTINUING_NAME:TEXT, CONTINUING_LOCATION:TEXT, CONTINUING_ASSETS:NUMB, MERGING_CREDIT_UNION_CHARTER:TEXT, MERGING_CREDIT_UNION_NAME:TEXT, MERGING_LOCATION:TEXT, MERGING_ASSETS:NUMB, MERGING_REASON:TEXT, CONTINUING_FIELD_OF_MEMBERSHIP:TEXT, MERGING_FIELD_OF_MEMBERSHIP:TEXT, _LOADED_AT:NUMB, _SOURCE_RUN_ID:TEXT, _SRC_SHA256:TEXT
FINANCE | FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST | CHARTER_NUMBER:TEXT, YEAR_AND_QUARTER:TEXT, CREDIT_UNION_NAME:TEXT, STREET_MAILING_ADDRESS:TEXT, CITY_MAILING_ADDRESS:TEXT, STATE_MAILING_ADDRESS:TEXT, ZIP_CODE_MAILING_ADDRESS:TEXT, CREDIT_UNION_TYPE:TEXT, NCUA_REGION:TEXT, LOW_INCOME_DESIGNATION:TEXT, MEMBERS:NUMB, TOTAL_ASSETS:NUMB, TOTAL_LOANS:NUMB, TOTAL_DEPOSITS:NUMB, RETURN_ON_AVERAGE_ASSETS:FLOA, NET_WORTH_RATIO_EXCLUDES_CECL_TRANSITION_PROVISION:FLOA, LOAN_TO_SHARE_RATIO:FLOA, TOTAL_DEPOSITS_4_QUARTER_GROWTH:FLOA, TOTAL_LOANS_4_QUARTER_GROWTH:FLOA, TOTAL_ASSETS_4_QUARTER_GROWTH:FLOA, MEMBERS_4_QUARTER_GROWTH:FLOA, NET_WORTH_4_QUARTER_GROWTH_EXCLUDES_CECL_TRANSITION_PROVISION:FLOA, NCUA_INTERNAL_ID_JOIN_NUMBER:NUMB, _LOADED_AT:NUMB, _SOURCE_RUN_ID:TEXT, _SRC_SHA256:TEXT
FINANCE | FINANCE__FED_SEC_CLOSED_END_FUND_INFORMATION | FILE_NO:TEXT, CIK:TEXT, REGISTRANT_NAME:TEXT, ADDRESS_1:TEXT, ADDRESS_2:TEXT, CITY:TEXT, STATE:TEXT, ZIP_CODE:TEXT, FILING_DATE:DATE, FILING_TYPE:TEXT
FINANCE | FINANCE__FED_SEC_INSIDER_REPORTINGOWNER | ACCESSION_NUMBER:TEXT, OWNER_CIK:TEXT, OWNER_NAME:TEXT, RELATIONSHIP:TEXT, TITLE:TEXT, STREET1:TEXT, CITY:TEXT, STATE:TEXT, ZIP_CODE:TEXT, _LOADED_AT:TIME
FINANCE | FINANCE__FED_SEC_INSIDER_SUBMISSION | ACCESSION_NUMBER:TEXT, FILING_DATE:DATE, PERIOD_OF_REPORT:DATE, DATE_OF_ORIGINAL_SUBMISSION:DATE, DOCUMENT_TYPE:TEXT, ISSUER_CIK:TEXT, ISSUER_NAME:TEXT, ISSUER_TICKER:TEXT, NO_SECURITIES_OWNED:BOOL, NOT_SUBJECT_TO_SECTION16:BOOL, REMARKS:TEXT, _LOADED_AT:TIME
TIMELINE | FINANCE__FED_SEC_INSIDER_SUBMISSION | RIPPLE_TS:TIME, RIPPLE_GRAIN:TEXT, RIPPLE_CLOCK:TEXT, RIPPLE_SOURCE:TEXT, ACCESSION_NUMBER:TEXT, FILING_DATE:DATE, PERIOD_OF_REPORT:DATE, DATE_OF_ORIGINAL_SUBMISSION:DATE, DOCUMENT_TYPE:TEXT, ISSUER_CIK:TEXT, ISSUER_NAME:TEXT, ISSUER_TICKER:TEXT, NO_SECURITIES_OWNED:BOOL, NOT_SUBJECT_TO_SECTION16:BOOL, REMARKS:TEXT, _LOADED_AT:TIME
FINANCE | FINANCE__FED_SEC_INVESTMENT_COMPANY_SERIES_CLASS | SERIES_CLASS_RECORD_ID:TEXT, REPORTING_FILE_NUMBER:TEXT, CIK_NUMBER:TEXT, ENTITY_NAME:TEXT, ENTITY_ORG_TYPE:TEXT, SERIES_ID:TEXT, SERIES_NAME:TEXT, CLASS_ID:TEXT, CLASS_NAME:TEXT, CLASS_TICKER:TEXT, ADDRESS_1:TEXT, ADDRESS_2:TEXT, CITY:TEXT, STATE:TEXT, ZIP_CODE:TEXT, _LOADED_AT:NUMB, _SOURCE_RUN_ID:TEXT, _SRC_SHA256:TEXT
JUSTICE | JUSTICE__FED_FDIC_ENFORCEMENT_ORDERS | ORDER_ID:TEXT, ORDER_DATE:DATE, ORDER_YEAR:NUMB, ORDER_TITLE:TEXT, DOCKET_NUMBER:TEXT, ORDER_CATEGORY:TEXT, ORDER_TYPE:TEXT, INSTITUTION_NAME:TEXT, CITY:TEXT, STATE:TEXT, CERT_NUMBER:NUMB, BANK_COUNT:NUMB, BANKS_ALL:TEXT, RESPONDENTS:TEXT, RESPONDENT_COUNT:NUMB, CMP_AMOUNT_TOTAL:NUMB, RESTITUTION_AMOUNT_TOTAL:NUMB, NMLS_IDS:TEXT, TERMINATION_DATE:DATE, TERMINATION_COMMENTS:TEXT, PUBLIC_ORDER_ACTION:TEXT, STATUS:TEXT, DOCUMENT_URL:TEXT, CERT_ATTACHED:BOOL, BANK_NAME:TEXT, BANK_CITY:TEXT, BANK_STATE:TEXT, BANK_CLASS:TEXT, BANK_ACTIVE:TEXT, BANK_END_DATE:DATE, BANK_RSSD_ID:TEXT, BANK_HOLDING_COMPANY:TEXT, SOURCE_ID:TEXT, _INGESTED_AT:TIME, _SOURCE_RUN_ID:TEXT
(20 rows; csv has all)
