-- S16 SEC insiders 2024: every (owner, issuer) pair on 2024 filings, with fund flags and the issuer's SIC from DERA 2024 filings
OWNER_CIK | OWNER_NAME | ICIK | ISSUER_NAME | TICKER | RELS | TITLE | OWNER_ST | FILINGS | D0 | D1 | IS_FUND | SIC | AFS | MAX_FILING_ALL
0001982447 | Putra Pandji Christiaan | 1131312 | ZION OIL & GAS INC | znog | Director |  | TX | 1 | 2024-04-29 | 2024-04-29 | 0 | 1382 | 4-NON | 2025-03-31
0001409462 | Mistretta Nancy G. | 1968487 | Worthington Steel, Inc. | WS | Director |  | OH | 1 | 2024-10-01 | 2024-10-01 | 0 | 3310 | 4-NON | 2025-03-31
0001314575 | Beer Marc D | 1819253 | biote Corp. | BTMD | Director |  | TX | 1 | 2024-04-03 | 2024-04-03 | 0 | 2833 | 2-ACC | 2025-03-31
0001760241 | Thakker Ketan | 1760233 | RDE, Inc. | GIFT | Director,Officer,TenPercentOwner|Director,Officer | CEO | IL | 2 | 2024-10-10 | 2024-10-22 | 0 | 5961 | 4-NON | 2025-03-31
0002010195 | Kersman Alejandro Eduardo | 1851077 | PIMCO Flexible Emerging Markets Income Fund | EMFLX | Other |  | CA | 1 | 2024-02-05 | 2024-02-05 | 1 |  |  | 2025-03-31
0001896600 | Knight ORiordan Lydia D | 1145255 | HENNESSY ADVISORS INC | HNNA | Director |  | CA | 1 | 2024-09-19 | 2024-09-19 | 0 | 6282 | 4-NON | 2025-03-31
0001670480 | Bussmann Martin | 1605607 | Paramount Group, Inc. | PGRE | Director |  | NY | 1 | 2024-05-20 | 2024-05-20 | 0 | 6798 | 1-LAF | 2025-03-31
0001761840 | Peker Lev | 1698113 | PARTS iD, Inc. | ID | Director |  | NJ | 1 | 2024-02-22 | 2024-02-22 | 0 |  |  | 2025-03-31
0001184244 | MILLER JON | 51644 | INTERPUBLIC GROUP OF COMPANIES, INC. | IPG | Director |  | NY | 1 | 2024-05-03 | 2024-05-03 | 0 | 7311 | 1-LAF | 2025-03-31
0001364096 | Robinson Kristen | 1166388 | VERINT SYSTEMS INC | VRNT | Director |  | NY | 1 | 2024-04-24 | 2024-04-24 | 0 | 7373 | 1-LAF | 2025-03-31
0001366074 | Lappe Mark | 1739614 | Inhibrx, Inc. | INBX | Director,Officer | Chief Executive Officer | CA | 1 | 2024-05-30 | 2024-05-30 | 0 | 2836 | 1-LAF | 2025-03-31
0001570992 | ANADARKO HOLDING Co | 1423902 | Western Midstream Partners, LP | WES | TenPercentOwner |  | TX | 1 | 2024-08-16 | 2024-08-16 | 0 | 4922 | 1-LAF | 2025-03-31
0001254850 | SOINSKI JEFFREY M | 1506928 | Avinger Inc | AVGR | Director,Officer | Chief Executive Officer | CA | 1 | 2024-01-22 | 2024-01-22 | 0 | 3841 | 4-NON | 2025-03-31
