-- S10 NCUA list: full extract joined to the call-report roster (year opened, peer group, MDI) by charter number
CHARTER_NUMBER | YEAR_AND_QUARTER | CREDIT_UNION_NAME | STREET_MAILING_ADDRESS | CITY_MAILING_ADDRESS | STATE_MAILING_ADDRESS | ZIP_CODE_MAILING_ADDRESS | CREDIT_UNION_TYPE | NCUA_REGION | LOW_INCOME_DESIGNATION | MEMBERS | TOTAL_ASSETS | TOTAL_LOANS | TOTAL_DEPOSITS | RETURN_ON_AVERAGE_ASSETS | NET_WORTH_RATIO_EXCLUDES_CECL_TRANSITION_PROVISION | LOAN_TO_SHARE_RATIO | TOTAL_DEPOSITS_4_QUARTER_GROWTH | TOTAL_LOANS_4_QUARTER_GROWTH | TOTAL_ASSETS_4_QUARTER_GROWTH | MEMBERS_4_QUARTER_GROWTH | NET_WORTH_4_QUARTER_GROWTH_EXCLUDES_CECL_TRANSITION_PROVISION | NCUA_INTERNAL_ID_JOIN_NUMBER | _LOADED_AT | _SOURCE_RUN_ID | _SRC_SHA256 | F_CU | YEAR_OPENED | PEER_GROUP | ISMDI | LIMITED_INC | F_NAME | F_STATE | F_INSURED
1 | 2026.1 | MORRIS SHEPPARD TEXARKANA | 419 W 4TH ST | TEXARKANA | TX | 75501 | FCU | 2 | Yes | 1251 | 13376472 | 9132562 | 11875857 | 0.9520415298967478 | 11.209009371080805 | 76.90023549458368 | 6.312454059549122 | 0.04905739254810193 | 6.357067418666862 | -1.9592476489028177 | 7.025156482989048 | 2 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 1 | 1934 | 3 | False | 1 | MORRIS SHEPPARD TEXARKANA | TX | 1971-01-04
1000 | 2026.1 | SIERRA PACIFIC | PO BOX 10100 | RENO | NV | 89511 | FCU | 3 | No | 10886 | 187820733 | 93255430 | 161897286 | 1.0869188891103743 | 13.42955945124546 | 57.6016017958448 | 6.633026621134364 | -6.733684888363323 | 6.338472951404417 | 3.420102603078101 | 6.89206068220225 | 500 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 1000 | 1936 | 5 | False | 0 | SIERRA PACIFIC | NV | 1971-01-04
10011 | 2026.1 | MUNICIPAL EMPLOYEES | 222 ARKANSAS AVE | BOGALUSA | LA | 70427 | FCU | 2 | Yes | 154 | 634755 | 53868 | 354727 | -1.0586196232982619 | 43.43297807815614 | 15.185762572344366 | 17.949033403603032 | -52.10924511695308 | 8.497895012127387 | 1.3157894736842035 | -0.7077051624660546 | 4824 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10011 | 1955 | 1 | False | 1 | MUNICIPAL EMPLOYEES | LA | 1971-04-14
10015 | 2026.1 | ALLENTOWN | 1325 Oxford Dr | Allentown | PA | 18103 | FCU | 1 | No | 6963 | 126166773 | 71706222 | 105391953 | 1.3010392399567288 | 16.37010007381262 | 68.0376631790854 | 1.5599204858087967 | 0.3345004707336674 | 2.6695865709726263 | -3.6262975778546758 | 8.37834180241359 | 4826 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10015 | 1955 | 5 | False | 0 | ALLENTOWN | PA | 1971-01-07
10023 | 2026.1 | ISLAND | 120 Motor Pkwy | Hauppauge | NY | 11788 | FCU | 1 | No | 50620 | 1350543498 | 948168743 | 1099300751 | 0.4976567100795184 | 10.109017162511266 | 86.25198719617721 | -6.042246599306655 | -8.112725941969757 | -8.485676808536457 | -1.9581259320950561 | 4.164841944560593 | 4831 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10023 | 1955 | 6 | False | 0 | ISLAND | NY | 1971-04-07
10047 | 2026.1 | WABELLCO | 1277 Park Ave | Washington | PA | 15301 | FCU | 1 | No | 1084 | 12445674 | 3270941 | 11296821 | 0.6143700611649947 | 9.229126522195584 | 28.954526233530654 | 1.7445453630068997 | -17.15113819824411 | 2.280867199451686 | -6.9527896995708165 | 7.919281356785768 | 4847 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10047 | 1955 | 3 | False | 0 | WABELLCO | PA | 1971-01-04
10065 | 2026.1 | MYCOM | 101 Fenn St | Pittsfield | MA | 01201 | FCU | 1 | No | 2719 | 27413324 | 8500277 | 23931058 | 0.08494413475228649 | 12.544640700996348 | 35.51985457558959 | -2.791815067106229 | -13.799150249573755 | -1.6349652222550581 | -1.0913059294288874 | 6.513389194300578 | 4857 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10065 | 1955 | 3 | False | 0 | MYCOM | MA | 1971-01-04
10100 | 2026.1 | TRUCHOICE | PO BOX 10659 | PORTLAND | ME | 04104 | FCU | 1 | No | 12579 | 253581952 | 207279485 | 228089529 | 0.9963840642618025 | 10.927418840911834 | 90.87637030457458 | 0.41549710737482926 | 4.050247258246831 | 1.5751444594686026 | -0.9683514407179961 | 10.169282829586802 | 4874 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10100 | 1955 | 5 | False | 0 | TRUCHOICE | ME | 1971-01-18
10141 | 2026.1 | DERTOWN SCHOOL | 5012 State Route 982 APT 3 | Latrobe | PA | 15650 | FCU | 1 | Yes | 706 | 12425846 | 8195654 | 8726645 | 0.3299365359126786 | 29.750553805350556 | 93.91529046959054 | 0.6152340912623178 | -4.979643266742073 | 1.3340938241706901 | 0.0 | 3.374010793881599 | 4894 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 10141 | 1955 | 3 | False | 1 | DERTOWN SCHOOL | PA | 1971-01-04
1015 | 2026.1 | NORTH JERSEY | 711 Union Blvd. | Totowa | NJ | 07512 | FCU | 1 | Yes | 27820 | 256718645 | 150857244 | 236015695 | 0.7872132994442486 | 10.275007099698582 | 63.91831017848199 | 9.002334083570517 | 2.210263130447654 | 9.654923037402718 | 13.657719491767772 | 9.639749738389458 | 509 | 1786129683120485 | 7818e4e3-3281-4b5f-b70e-b128779fec69 | 41f7d9655ef7d1d105c9718c2f307f30b8a94a37b2e11f953600ca09ab31a050 | 1015 | 1936 | 5 | False | 1 | NORTH JERSEY | NJ | 1971-02-10
