-- S22 EPA bridge: the placeholder facility ID and the blank-ID rows, by case-number prefix (region) and case year
UIN | PRE | CASES | N | Y0 | Y1 | STATES | ANY_ST | NAMES
110009327022 | 01 | 3 | 3 | 1997 | 1997 | 1 | IL | 1
110009327022 | 02 | 99 | 99 | 1976 | 1988 | 1 | IL | 1
110009327022 | 03 | 330 | 331 | 1981 | 1997 | 1 | IL | 1
110009327022 | 04 | 417 | 417 | 1993 | 1997 | 1 | IL | 1
110009327022 | 05 | 424 | 425 | 1974 | 2007 | 1 | IL | 1
110009327022 | 06 | 25 | 25 | 1991 | 1995 | 1 | IL | 1
110009327022 | 07 | 947 | 947 | 1985 | 1996 | 1 | IL | 1
110009327022 | 08 | 272 | 272 | 1985 | 1996 | 1 | IL | 1
110009327022 | 09 | 48 | 48 | 1992 | 1996 | 1 | IL | 1
110009327022 | 10 | 187 | 187 | 1986 | 1994 | 1 | IL | 1
110009327022 | HQ | 50 | 50 | 1973 | 1996 | 1 | IL | 1
blank | 01 | 28 | 45 | 1984 | 2025 | 6 | RI | 23
blank | 02 | 72 | 80 | 1986 | 2025 | 5 | XX | 46
blank | 03 | 38 | 38 | 1985 | 2023 | 3 | MD | 5
blank | 04 | 66 | 72 | 1986 | 2026 | 8 | FL | 49
blank | 05 | 158 | 302 | 1984 | 2026 | 13 | IL | 213
blank | 06 | 224 | 228 | 1984 | 2023 | 6 | MO | 47
blank | 07 | 71 | 76 | 1984 | 2023 | 4 |  | 53
blank | 08 | 122 | 123 | 1979 | 2025 | 8 | MO | 20
blank | 09 | 34 | 35 | 2008 | 2026 | 7 | CA | 29
blank | 10 | 27 | 30 | 1995 | 2025 | 6 | ID | 25
blank | EF | 16 | 17 | 1985 | 2015 | 5 | MO | 5
blank | HQ | 126 | 136 | 1979 | 2025 | 12 | MO | 22
blank | WF | 2 | 2 | 1985 | 1985 | 1 | MO | 1
(24 rows; csv has all)
