-- S14 EPA bridge: the top facilities by distinct cases, and the conclusions that cover the most sites
KIND | ID | NAME | CITY | ST | CASES | N_ROWS | C_MIN | C_MAX | NAMES
top_facility | 110009327022 | WAUCONDA SAND & GRAVEL | WAUCONDA | IL | 2802 | 2804 | 01-1997-0056 | HQ-1996-0101 | 1
top_facility |  | EXTRA FACILITY FROM DOCKET FACILITY | CARTHAGE | MO | 984 | 1184 | 01-1984-0013 | WF-1985-0010 | 526
top_facility | 110022301338 | SYNGENTA CROP PROTECTION | GREENSBORO | NC | 185 | 185 | 04-2000-0149 | HQ-2011-5040 | 6
top_facility | 110071399227 | PHONESOAP LLC | LEHI | UT | 139 | 139 | 02-2024-5016 | 09-2023-4810 | 1
top_facility | 110003500649 | WATTS REGULATOR CO. | NORTH ANDOVER | MA | 90 | 90 | 09-2021-4424 | 09-2023-4055 | 1
top_facility | 110067349300 | BENNETT LANDFILL FIRE | CHESTER | SC | 66 | 66 | 04-2022-2506 | 04-2025-7002 | 1
top_facility | 110000889879 | DISCOVERY BIOLOGY (DOW AGROSCIENCES) | INDIANAPOLIS | IN | 61 | 61 | 04-2016-3300 | HQ-2008-5034 | 10
top_facility | 110011696664 | THE SCOTTS COMPANY | MARYSVILLE | OH | 58 | 58 | 05-2003-0014 | HQ-2001-3049 | 11
top_facility | 110006622823 | PRASA PUERTO NUEVO WWTP | SAN JUAN | PR | 55 | 56 | 02-1995-0132 | 02-2015-3106 | 6
top_facility | 110000603749 | PALMERTON ZINC SUPERFUND SITE | PALMERTON | PA | 51 | 57 | 03-1981-0481 | 03-2017-7008 | 7
top_facility | 110002153437 | RECLAIMED BARRELS | WEST JORDAN | UT | 44 | 44 | 08-1994-0267 | 08-1999-0049 | 1
top_facility | 110029946860 | BASF CORPORATION | FLORHAM PARK | NJ | 41 | 41 | 02-2009-5101 | HQ-2007-5038 | 3
top_facility | 110033604197 | GOWANUS CANAL | BROOKLYN | NY | 37 | 47 | 02-2009-0017 | 02-2026-2008 | 1
top_facility | 110027218311 | PRASA BAYAMON | BAYAMON | PR | 35 | 35 | 02-1993-0052 | 02-2006-1226 | 2
top_facility | 110071467991 | DISTRIBUTION GOUDSHOP INC. DBA GOODSHOP CANADA | SAINT-LAURENT | XX | 34 | 34 | 02-2023-5168 | 02-2024-5174 | 1
top_facility | 110010636776 | PRASA AQUADILLA | SANTURCE | PR | 33 | 33 | 02-1997-0219 | 02-2014-3102 | 3
top_facility | 110007817041 | PRASA CAROLINA | SAN JUAN | PR | 33 | 33 | 02-1996-0090 | 02-2014-3102 | 7
top_facility | 110070864754 | BUREAU OF CUSTOMS AND BORDER PROTECTION PORT OF PEMBINA | PEMBINA | ND | 33 | 33 | 08-2020-0149 | 08-2025-0076 | 1
top_facility | 110070823799 | IQ AIR NORTH AMERICA, INC. | LA MIRADA | CA | 32 | 32 | 03-2021-8024 | 09-2024-4345 | 2
top_facility | 110010644419 | ASHLEY OAKS WATER SYS | PRAIRIEVILLE | LA | 31 | 31 | 06-2000-0584 | 06-2000-0732 | 31
top_facility | 110009267532 | CASMALIA RESOURCES | CASMALIA | CA | 30 | 35 | 04-2006-3766 | 09-2024-2501 | 1
