PARENT,FACILITIES,TOTAL_RELEASE_LBS,TOTAL_NONCOMPLIANCE_QUARTERS,CHRONIC_NONCOMPLIANT_FACILITIES,FORMAL_ACTIONS,TOTAL_EPA_PENALTIES_USD
TECK AMERICAN INC,2,771294324.03184617013,24,2,4,1185143.0
RIO TINTO AMERICA INC,3,261059234.44849604049,0,0,2,211351.0
BARRICK NEVADA HOLDING LLC,9,167400914.13626414928,1,0,2,0.0
HECLA MINING CO,2,113295859.98700000000,23,2,4,460548.0
TARGA RESOURCES CORP,33,81287949.63100000000,29,2,13,48406728.0
AMERICAS MINING CORP,4,53158588.46200000000,41,3,0,0.0
FREEPORT-MCMORAN INC,12,51163636.20307986031,21,1,2,10000.0
CLEVELAND-CLIFFS INC,27,46094156.51877703310,111,7,37,4336326.0
WASTE MANAGEMENT INC,7,45861718.90210240040,48,3,15,806915.0
ASCEND PERFORMANCE MATERIALS HOLDINGS INC,5,36971553.10000000000,28,2,9,105940.0
KOCH INC,100,36863038.72099966490,265,13,65,1860675.0
INTERNATIONAL PAPER CO,25,36302757.62839822572,87,4,12,1640000.0
REPUBLIC SERVICES INC,18,36011886.14200056439,100,7,26,2307841.0
BASIN ELECTRIC POWER COOPERATIVE,4,34612453.05256265543,14,1,1,45000.0
CLEAN HARBORS INC,122,32961023.76170881320,465,28,117,5961115.0
THE RENCO GROUP INC,10,31718794.36933455617,50,3,5,936300.0
US DEPARTMENT OF DEFENSE,277,28291985.34345856188,925,54,185,12505843.0
KINROSS GOLD CORP (USA) INC,7,24847502.60028880580,37,3,9,600000.0
INEOS US I INC,6,23952926.67100000000,27,2,9,181851.0
US STEEL CORP,13,22226323.79241244114,100,8,37,14999388.0
NYRSTAR US INC,6,19732454.67400000000,14,1,16,468900.0
TYSON FOODS INC,108,19144527.50000000000,153,7,13,580559.0
THE CHEMOURS CO,16,19108616.98541990158,86,6,22,647538.0
BAYER US HOLDING LP,5,18547615.32962129844,14,0,4,6600.0
KINETIK HOLDINGS LP,6,17898744.49000000000,0,0,0,0.0
SMURFIT WESTROCK US HOLDING CO,24,17059437.80115894460,100,7,13,131754.0
CF INDUSTRIES HOLDINGS INC,6,16819749.27000000000,16,0,5,28112.0
NUTRIEN US TOPCO LLC,16,15875706.18339242315,57,3,12,1910273.0
ONEOK INC,15,15395723.26300000000,23,2,6,74427.0
BERKSHIRE HATHAWAY INC,222,14900792.92421591210,539,33,59,2626340.0
