-- S12 detail for the S10 hits: every e-filed index row (all return types) for revoked EINs (2019 on) that have a 990/990EZ/990PF
EIN | LEGAL_NAME | CITY | STATE | EXEMPTION_TYPE | D | PD | RD | TAX_PERIOD | SUB_DATE | SUB_DATE_RAW | RETURN_TYPE | OBJECT_ID | RETURN_ID | DLN | TAXPAYER_NAME
042751387 | WOMENS ACTION FOR NEW DIRECTIONS EDUCATION FUND INC | WASHINGTON | DC | 03 | 2023-05-15 | 2023-08-14 | 2023-05-15 | 201806 | 2019-03-07 | 3/7/2019 3:32:52 PM | 990 | 201803539349300205 | 16156498 | 93493353002058 | WOMENS ACTION FOR NEW DIRECTIONS EDUCATION FUND INC
042751387 | WOMENS ACTION FOR NEW DIRECTIONS EDUCATION FUND INC | WASHINGTON | DC | 03 | 2023-05-15 | 2023-08-14 | 2023-05-15 | 202006 | 2021-04-15 | 4/15/2021 8:09:39 AM | 990 | 202110969349300626 | 17952087 | 93493096006261 | WOMENS ACTION FOR NEW DIRECTIONS EDU FUND INC
043304952 | MICHAEL R LISSACK FOUNDATION  | MARBLEHEAD | MA | 03 | 2020-11-15 | 2021-08-09 |  | 201512 | 2017-03-31 | 3/31/2017 9:05:17 AM | 990PF | 201623199349102757 | 14239610 | 93491319027576 | MICHAEL R LISSACK FOUNDATION
043304952 | MICHAEL R LISSACK FOUNDATION  | MARBLEHEAD | MA | 03 | 2020-11-15 | 2021-08-09 |  | 201712 | 2019-02-05 | 2/5/2019 10:06:22 PM | 990PF | 201803139349100400 | 16067368 | 93491313004008 | MICHAEL R LISSACK FOUNDATION
043480870 | GLOUCESTER MARITIME HERITAGE CENTER INC | GLOUCESTER | MA | 03 | 2023-11-15 | 2024-03-11 | 2023-11-15 | 201606 | 2017-10-26 | 10/26/2017 12:05:31 AM | 990 | 201711299349301831 | 14886756 | 93493129018317 | GLOUCESTER MARITIME HERITAGE CENTERINC
043480870 | GLOUCESTER MARITIME HERITAGE CENTER INC | GLOUCESTER | MA | 03 | 2023-11-15 | 2024-03-11 | 2023-11-15 | 201706 | 2018-03-19 | 3/19/2018 11:25:21 AM | 990 | 201800299349300835 | 15224087 | 93493029008358 | GLOUCESTER MARITIME HERITAGE CENTERINC
043480870 | GLOUCESTER MARITIME HERITAGE CENTER INC | GLOUCESTER | MA | 03 | 2023-11-15 | 2024-03-11 | 2023-11-15 | 201806 | 2019-11-04 | 11/4/2019 6:40:18 AM | 990 | 201901289349301175 | 16813422 | 93493128011759 | GLOUCESTER MARITIME HERITAGE CENTERINC
043480870 | GLOUCESTER MARITIME HERITAGE CENTER INC | GLOUCESTER | MA | 03 | 2023-11-15 | 2024-03-11 | 2023-11-15 | 201906 | 2020-09-25 | 9/25/2020 8:32:11 AM | 990 | 202031359349300348 | 17329121 | 93493135003480 | GLOUCESTER MARITIME HERITAGE CENTERINC
043480870 | GLOUCESTER MARITIME HERITAGE CENTER INC | GLOUCESTER | MA | 03 | 2023-11-15 | 2024-03-11 | 2023-11-15 | 202009 | 2022-01-06 | 1/6/2022 7:28:39 AM | 990 | 202143089349300534 | 19399538 | 93493308005341 | GLOUCESTER MARITIME HERITAGE CENTERINC
043480870 | GLOUCESTER MARITIME HERITAGE CENTER INC | GLOUCESTER | MA | 03 | 2023-11-15 | 2024-03-11 | 2023-11-15 | 202409 | 2025-01-01 | 2025 | 990 | 202522269349301647 |  | 93493226016475 | GLOUCESTER MARITIME HERITAGE CENTER INC
