SPECIALTY,N_PRESCRIBERS,TOTAL_PARTD_DRUG_COST,MEDIAN_PARTD_DRUG_COST,N_WITH_INDUSTRY_MONEY,PCT_PAID,TOTAL_INDUSTRY_DOLLARS,MEDIAN_INDUSTRY_DOLLARS_PAID_ONLY,MEDIAN_DRUG_COST_PAID,MEDIAN_DRUG_COST_UNPAID,N_IN_MEDICARE_PARTB,TOTAL_MEDICARE_PARTB_PYMT,N_EXCLUDED_LEIE
Nurse Practitioner,278577,50279610815.0,29477.0,202755,72.8,320929798.0,350.0,49277.0,7823.0,185313,8463519865.0,38
Internal Medicine,130220,42140988159.0,53926.0,76262,58.6,227550693.0,263.0,140212.0,22141.0,88395,7724790863.0,50
Family Practice,117797,37573945844.0,148961.0,70709,60.0,122870210.0,235.0,247649.0,59462.0,82591,5135029296.0,67
Hematology-Oncology,9229,22720665987.0,1796320.0,8336,90.3,170483366.0,2032.0,1908618.0,830431.0,8928,6859936985.0,2
Physician Assistant,137246,18691419641.0,8258.0,95552,69.6,168772408.0,348.0,15439.0,3795.0,103931,3380721604.0,5
Cardiology,19451,14452659845.0,504533.0,17732,91.2,186138543.0,1524.0,535621.0,237215.0,19067,3670183692.0,1
Neurology,14903,10407999148.0,269317.0,12204,81.9,227819817.0,1429.0,350154.0,52616.0,13943,1561629561.0,0
Rheumatology,5305,10165802936.0,1453904.0,4510,85.0,94547952.0,1962.0,1518107.0,1169572.0,5091,2564321390.0,0
Pulmonary Disease,9903,9374357550.0,521456.0,8523,86.1,108561293.0,1426.0,593010.0,210023.0,9670,1016974310.0,0
Endocrinology,6689,8828834823.0,998363.0,5610,83.9,87498169.0,1067.0,1148807.0,332189.0,6359,563091273.0,0
Medical Oncology,3702,6923299697.0,1127154.0,3240,87.5,85744173.0,2433.0,1242143.0,425701.0,3635,1941232079.0,0
Gastroenterology,14780,6468277901.0,236105.0,13331,90.2,148159353.0,1617.0,252601.0,114200.0,14364,1332315661.0,0
Dermatology,14684,5129584826.0,158620.0,12571,85.6,256281894.0,1527.0,175465.0,49959.0,12434,3233925300.0,0
Psychiatry,23932,4031745283.0,38799.0,12888,53.9,120567623.0,333.0,79010.0,16591.0,17936,630436783.0,5
Ophthalmology,19644,4031731382.0,81214.0,17186,87.5,173107139.0,903.0,101093.0,12753.0,17154,8233457943.0,2
Infectious Disease,6120,3832358511.0,257101.0,4055,66.3,30583536.0,295.0,336628.0,144139.0,5813,572687908.0,0
Urology,11115,3715323009.0,103535.0,10133,91.2,96789979.0,1727.0,122082.0,6897.0,9303,1614477869.0,0
Nephrology,9385,2808485381.0,175436.0,8236,87.8,58889699.0,647.0,195958.0,71275.0,9180,1383281513.0,0
Interventional Cardiology,4946,2773593078.0,384187.0,4807,97.2,88457894.0,3625.0,394248.0,29901.0,4565,963677565.0,0
General Practice,9179,2171601966.0,34904.0,5623,61.3,9161408.0,185.0,108257.0,7714.0,3412,405711644.0,8
Optometry,34179,1872474589.0,15169.0,29990,87.7,60525386.0,492.0,17076.0,6595.0,28201,893032446.0,0
Advanced Heart Failure and Transplant Cardiology,823,1857002118.0,943835.0,775,94.2,21348872.0,3304.0,995330.0,525115.0,817,68861584.0,0
Allergy/ Immunology,3969,1756668429.0,208241.0,3482,87.7,71674184.0,2158.0,229317.0,73705.0,3239,461698206.0,0
Hematology,883,1631550424.0,988167.0,748,84.7,18581797.0,2775.0,1134872.0,396027.0,856,212776553.0,0
Clinical Cardiac Electrophysiology,2709,1367794024.0,345461.0,2653,97.9,79628733.0,8295.0,353582.0,81073.0,2506,588398018.0,0
Pharmacist,31027,1312771654.0,12731.0,3,0.0,1167.0,45.0,342.0,12731.0,0,,3
Student in an Organized Health Care Education/Training Program,67996,1195292015.0,3753.0,12967,19.1,8519033.0,145.0,3180.0,3887.0,0,,0
Hospitalist,20385,1051371367.0,16275.0,9644,47.3,6407525.0,125.0,19583.0,13472.0,17981,978292186.0,0
Critical Care (Intensivists),2155,1051234067.0,84197.0,1660,77.0,14028936.0,623.0,144661.0,12167.0,2096,160463039.0,0
Emergency Medicine,56372,900526412.0,2656.0,20769,36.8,21304249.0,81.0,3069.0,2435.0,48059,1972699556.0,6
Obstetrics & Gynecology,34042,801429026.0,6592.0,26701,78.4,70265171.0,444.0,7722.0,3580.0,22056,395100199.0,6
Psychiatry & Neurology,16260,787606256.0,6263.0,6496,40.0,242705640.0,219.0,13679.0,4056.0,0,,4
Geriatric Medicine,1916,762249261.0,208436.0,849,44.3,1714315.0,145.0,310466.0,150229.0,1795,189909783.0,0
Pediatric Medicine,8572,541021206.0,1909.0,4980,58.1,32427361.0,227.0,2310.0,1523.0,1353,75447300.0,1
Physical Medicine and Rehabilitation,9182,450610621.0,8359.0,5942,64.7,21012372.0,295.0,11466.0,4755.0,7499,911390830.0,4
Certified Clinical Nurse Specialist,1979,374401899.0,26292.0,1457,73.6,3188124.0,472.0,38236.0,7662.0,1166,36015995.0,1
General Surgery,22409,302893827.0,1288.0,18675,83.3,132804016.0,915.0,1370.0,969.0,16691,1376734661.0,2
Otolaryngology,10737,294350450.0,8201.0,9058,84.4,42011590.0,660.0,9570.0,3339.0,8686,919837487.0,1
Podiatry,15860,293826070.0,4843.0,13514,85.2,106847457.0,923.0,5507.0,2124.0,14377,2454586885.0,1
Pain Management,2911,283117811.0,32460.0,2659,91.3,27276811.0,1909.0,35660.0,10926.0,2672,430748123.0,4
Anesthesiology,6245,274761617.0,3278.0,4123,66.0,22877347.0,599.0,7497.0,894.0,3959,399153404.0,1
Hematopoietic Cell Transplantation and Cellular Therapy,143,247759054.0,957062.0,127,88.8,4721407.0,7819.0,982259.0,314212.0,139,26712908.0,0
Interventional Pain Management,1592,219412091.0,41477.0,1460,91.7,15422699.0,1952.0,47098.0,7046.0,1390,291528262.0,3
Gynecological Oncology,1049,195807164.0,54248.0,943,89.9,15940437.0,1000.0,60815.0,11647.0,1000,122016120.0,0
Sleep Medicine,821,169050846.0,33323.0,694,84.5,7588843.0,806.0,39762.0,16918.0,795,53102807.0,0
Orthopedic Surgery,21126,151181766.0,2343.0,19918,94.3,1104715089.0,2408.0,2415.0,1464.0,20240,2733244154.0,0
Neuropsychiatry,2699,144947349.0,5031.0,1127,41.8,5433106.0,219.0,11893.0,2978.0,154,9065694.0,1
Preventive Medicine,1119,122930681.0,2603.0,412,36.8,1154658.0,113.0,7732.0,1406.0,226,23459923.0,0
Osteopathic Manipulative Medicine,675,122407178.0,12772.0,368,54.5,1061131.0,244.0,38966.0,5422.0,508,65359555.0,0
Vascular Surgery,3555,117158015.0,16485.0,3473,97.7,46655404.0,3062.0,16885.0,5044.0,3497,816172625.0,1
Medical Genetics and Genomics,133,112871253.0,226283.0,91,68.4,2137623.0,947.0,566317.0,6151.0,35,215315.0,0
Radiation Oncology,4959,106389093.0,1883.0,3913,78.9,16059931.0,331.0,2110.0,1225.0,4488,1431796283.0,1
Hospice and Palliative Care,1440,97766029.0,14531.0,450,31.3,411504.0,99.0,17930.0,13503.0,1257,47115010.0,0
Specialist,2602,89750246.0,1579.0,1239,47.6,11804666.0,266.0,2030.0,1260.0,0,,3
Dentist,132825,74171599.0,278.0,96442,72.6,121467504.0,159.0,293.0,238.0,143,3680375.0,16
Family Medicine,1027,61871862.0,10079.0,423,41.2,1041408.0,124.0,14983.0,7197.0,0,,0
Undefined Physician type,153,53009977.0,52476.0,123,80.4,1582491.0,1300.0,80711.0,9087.0,135,23835769.0,0
Registered Nurse,769,49334525.0,5511.0,432,56.2,1277060.0,252.0,11171.0,2442.0,0,,0
Colorectal Surgery (Proctology),1688,48831501.0,4301.0,1562,92.5,14474975.0,1310.0,4506.0,3101.0,1619,121036498.0,0
Addiction Medicine,423,45340440.0,34890.0,271,64.1,861889.0,160.0,36755.0,27248.0,266,6301310.0,1
Neurosurgery,3812,38012756.0,1200.0,3607,94.6,198894065.0,2273.0,1209.0,1083.0,3702,453353221.0,0
Micrographic Dermatologic Surgery,381,32982739.0,7920.0,311,81.6,1281923.0,870.0,9476.0,3493.0,380,280433636.0,0
Sports Medicine,1909,32621077.0,1648.0,1469,77.0,29797894.0,406.0,1790.0,1267.0,1851,161056965.0,1
Cardiac Surgery,645,31728439.0,2036.0,629,97.5,10333571.0,2825.0,2085.0,1724.0,626,84593804.0,0
Diagnostic Radiology,3355,31626537.0,524.0,1803,53.7,25527894.0,779.0,465.0,578.0,2241,437056444.0,0
Nuclear Medicine,170,28633403.0,3068.0,88,51.8,1928221.0,453.0,7940.0,1408.0,88,25609131.0,0
Geriatric Psychiatry,174,24804750.0,64684.0,91,52.3,348356.0,207.0,77814.0,55043.0,154,8273441.0,0
Adult Congenital Heart Disease,65,24269880.0,30902.0,43,66.2,280695.0,534.0,34099.0,24963.0,57,2212512.0,0
Surgical Oncology,1039,23713776.0,1080.0,889,85.6,4532056.0,645.0,1155.0,754.0,978,71607168.0,0
Pathology,651,20321565.0,877.0,251,38.6,3579285.0,127.0,1141.0,744.0,254,53132141.0,0
Interventional Radiology,1038,19150402.0,865.0,956,92.1,36557906.0,2516.0,921.0,633.0,874,228558456.0,0
Certified Nurse Midwife,3107,18265594.0,1619.0,2172,69.9,1245707.0,169.0,1776.0,1368.0,915,3265068.0,0
"Psychologist, Clinical",234,15707388.0,5686.0,20,8.5,78297.0,334.0,11801.0,4960.0,67,2522094.0,0
Hand Surgery,1584,15038519.0,1318.0,1437,90.7,19412881.0,778.0,1389.0,861.0,1557,214329896.0,0
Naturopath,1860,15031280.0,2097.0,14,0.8,1802.0,57.0,10887.0,2076.0,0,,0
Plastic and Reconstructive Surgery,3786,14989332.0,719.0,3502,92.5,38312970.0,1024.0,728.0,614.0,3181,401327458.0,0
Peripheral Vascular Disease,51,14425711.0,199817.0,47,92.2,491268.0,777.0,199817.0,280522.0,50,14939559.0,0
Oral Surgery (Dentist only),5786,13104924.0,1362.0,4776,82.5,11514540.0,365.0,1466.0,868.0,798,21292880.0,0
Thoracic Surgery,1632,11162714.0,1244.0,1579,96.8,33359069.0,3553.0,1245.0,901.0,1582,170720821.0,0
Orthopaedic Surgery,2702,9198997.0,565.0,1772,65.6,148162667.0,1092.0,578.0,531.0,0,,1
Epileptologists,27,8458941.0,25935.0,22,81.5,126540.0,1147.0,24169.0,46059.0,23,977858.0,0
Legal Medicine,110,8155089.0,1554.0,46,41.8,370280.0,283.0,9572.0,981.0,0,,1
Clinic/Center,179,5646058.0,2407.0,78,43.6,212663.0,124.0,2349.0,2552.0,0,,0
