QNC_BUCKET,ENFORCEMENT,FACILITIES,AVG_INFORMAL_ACTIONS,FACILITIES_WITH_ANY_PENALTY
4-7,zero formal enforcement,34817,4.374645,0
8-11,has formal enforcement,6613,17.081506,2064
12 (entire 3 years),zero formal enforcement,15323,3.010572,0
4-7,has formal enforcement,6452,5.652821,2848
8-11,zero formal enforcement,28996,8.288695,0
0,has formal enforcement,12666,1.091900,7581
0,zero formal enforcement,2875867,0.032449,0
12 (entire 3 years),has formal enforcement,3303,7.221314,1933
1-3,zero formal enforcement,64169,2.219031,0
1-3,has formal enforcement,8441,2.856889,4075
