schema,table,column,should_be,table_row_count,n_nonempty,n_double,n_date,n_ts_tz,fixed_width,has_leading_zero,error
CIVIL_RIGHTS,CIVIL_RIGHTS__FED_NARA_WRA_AAD,RAW_DATE,date,1,0,0,0,0,0,0,
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS,MODEL_YEAR,date,2227941,2227917,2227917,2227917,2227917,1,0,
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS,MODEL_YEAR,date,154209,152851,152851,152851,152851,1,0,
CONSUMER_SAFETY,CONSUMER_SAFETY__FED_NHTSA_RECALLS,MODEL_YEAR,date,242993,242993,242993,242993,242993,1,0,
CORE,DIM_DATE,YEAR_MONTH,date,31411,31411,0,0,0,1,0,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ADDRESSES,COUNTRIES,number,402246,277109,0,0,0,0,0,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_ENTITIES,COUNTRIES,number,814344,504991,0,0,0,0,0,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_INTERMEDIARIES,COUNTRIES,number,26768,23152,0,0,0,0,0,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS,COUNTRIES,number,771315,468981,0,0,0,0,0,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OTHERS,COUNTRIES,number,2989,386,0,0,0,0,0,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,ACCOUNTING_PERIOD_MONTH,number,1983563,1983563,1983563,1983563,1983563,1,543378,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__FED_IRS_EO_BMF,GROUP_EXEMPTION_NUM,number,1983563,1983563,1983563,1983563,1983563,1,1700753,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE,ACCOUNT_CATEGORY,number,5734780,5734779,0,0,0,0,0,
CORPORATE_REGISTRY,CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC,REGISTRATION_NUMBER,number,7000000,997731,869590,869457,869457,0,370936,
CRIMINAL_JUSTICE,CRIMINAL_JUSTICE__FED_BJS_DATA,YEAR,date,1000,1000,1000,1000,1000,1,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,FORM_YEAR,date,33484,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,LAST_RPT_PLAN_NUM,number,33484,798,798,798,798,1,200,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PLAN_NUM,number,33484,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_FAC_SINGLE_AUDIT,AUDIT_YEAR,date,411638,411638,411638,411638,411638,1,0,
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,DISBURSEMENT_AMOUNT,number,95658,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,FISCAL_YEAR,date,95658,95658,95371,95371,95371,0,0,
ECONOMICS,ECONOMICS__FED_FOREIGNASSISTANCE,OBLIGATION_AMOUNT,number,95658,0,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_IRS_990_EFILE_INDEX,SUB_DATE_RAW,date,5544626,5544626,3192934,3192955,3192955,0,0,
ECONOMICS,ECONOMICS__FED_IRS_BMF,RULING_DATE,date,1974830,1974830,1974830,1974830,1974830,1,11603,
ECONOMICS,ECONOMICS__FED_IRS_EO_PR,ASSET_CD,number,2587,2587,2587,2587,2587,1,1501,
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,REVOCATION_DATE,date,1187367,1187367,0,1187367,1187367,1,2,
ECONOMICS,ECONOMICS__FED_IRS_REVOCATION,REVOCATION_POSTING_DATE,date,1187367,1187367,0,1187367,1187367,1,476177,
ECONOMICS,ECONOMICS__FED_IRS_SOI_CHARITIES,ASSET_CD,number,2450,2450,2450,2450,2450,1,1527,
ECONOMICS,ECONOMICS__FED_PBGC_DATA,DATA_YEAR,date,134534,134534,134534,134534,134534,1,0,
ECONOMICS,ECONOMICS__FED_SBA_LOANS,BUSINESS_AGE,number,2174502,2171889,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_SBA_PPP,BUSINESS_AGE,number,968524,968523,0,0,0,0,0,
ECONOMICS,ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,RECORD_CALENDAR_MONTH,date,4961,4961,4961,4961,4961,1,3739,
ECONOMICS,ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,RECORD_CALENDAR_YEAR,date,4961,4961,4961,4961,4961,1,0,
ECONOMICS,ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,RECORD_FISCAL_YEAR,date,4961,4961,4961,4961,4961,1,0,
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,RECORD_CALENDAR_MONTH,date,237,237,237,237,237,1,237,
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,RECORD_CALENDAR_YEAR,date,237,237,237,237,237,1,0,
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,RECORD_FISCAL_YEAR,date,237,237,237,237,237,1,0,
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,RECORD_CALENDAR_MONTH,date,8329,8329,8329,8329,8329,1,6289,
ECONOMICS,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,RECORD_CALENDAR_MONTH,date,478149,478149,478149,478149,478149,1,361544,
ECONOMICS,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,RECORD_CALENDAR_YEAR,date,478149,478149,478149,478149,478149,1,0,
ECONOMICS,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,RECORD_FISCAL_YEAR,date,478149,478149,478149,478149,478149,1,0,
ECONOMICS,ECONOMICS__FED_TREASURY_MTS_RECEIPTS,RECORD_CALENDAR_MONTH,date,7490,7490,7490,7490,7490,1,5777,
ECONOMICS,ECONOMICS__FED_TREASURY_MTS_RECEIPTS,RECORD_CALENDAR_YEAR,date,7490,7490,7490,7490,7490,1,0,
ECONOMICS,ECONOMICS__FED_TREASURY_MTS_RECEIPTS,RECORD_FISCAL_YEAR,date,7490,7490,7490,7490,7490,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ACTION_DATE,date,19902879,19902879,0,19902879,19902879,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ACTION_DATE_FISCAL_YEAR,date,19902879,19902879,19902879,19902879,19902879,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,FEDERAL_ACCOUNTS_FUNDING_THIS_AWARD,number,19902879,6658166,0,0,0,0,6636133,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,FEDERAL_ACTION_OBLIGATION,number,19902879,19902879,19902879,18506481,18506481,0,5946124,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,GENERATED_PRAGMATIC_OBLIGATIONS,number,19902879,19902879,19902879,16224267,16224267,0,3207317,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_1_AMOUNT,number,19902879,52054,52054,52054,52054,0,911,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_2_AMOUNT,number,19902879,51699,51699,51699,51699,0,883,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_3_AMOUNT,number,19902879,51428,51428,51428,51428,0,803,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_4_AMOUNT,number,19902879,50784,50784,50784,50784,0,806,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,HIGHLY_COMPENSATED_OFFICER_5_AMOUNT,number,19902879,50654,50654,50654,50654,0,710,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,INDIRECT_COST_FEDERAL_SHARE_AMOUNT,number,19902879,1087877,1087877,1076167,1076167,0,1007688,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,INITIAL_REPORT_DATE,date,19902879,19902879,0,19902879,19902879,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,LAST_MODIFIED_DATE,date,19902879,19902872,0,19902872,19902872,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,NON_FEDERAL_FUNDING_AMOUNT,number,19902879,13891044,13891044,13756663,13756663,0,13160134,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OBLIGATED_AMOUNT_FROM_COVID_19_SUPPLEMENTALS_FOR_OVERALL_AWARD,number,19902879,1228974,1228974,690179,690179,0,108030,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OBLIGATED_AMOUNT_FROM_IIJA_SUPPLEMENTAL_FOR_OVERALL_AWARD,number,19902879,133415,133415,75073,75073,0,2491,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ORIGINAL_LOAN_SUBSIDY_COST,number,19902879,19902879,19902879,17620665,17620665,0,17162598,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OUTLAYED_AMOUNT_FROM_COVID_19_SUPPLEMENTALS_FOR_OVERALL_AWARD,number,19902879,1191212,1191212,637647,637647,0,71209,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,OUTLAYED_AMOUNT_FROM_IIJA_SUPPLEMENTAL_FOR_OVERALL_AWARD,number,19902879,126101,126101,52168,52168,0,2102,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PERIOD_OF_PERFORMANCE_CURRENT_END_DATE,date,19902879,11845625,0,11845625,11845625,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,PERIOD_OF_PERFORMANCE_START_DATE,date,19902879,11189048,0,11189048,11189048,1,0,
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,TOTAL_FACE_VALUE_OF_LOAN,number,19902879,19902879,19902879,19807556,19807556,0,15956754,
