schema,table,column,ruling,reason,n_nonempty,pct_double,pct_date
ECONOMICS,ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,RECORD_CALENDAR_YEAR,ambiguous_date,both_parse,4961,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_AVG_INTEREST_RATES,RECORD_FISCAL_YEAR,ambiguous_date,both_parse,4961,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,RECORD_CALENDAR_MONTH,keep_text,id_smell,237,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,RECORD_CALENDAR_YEAR,ambiguous_date,both_parse,237,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_OUTSTANDING,RECORD_FISCAL_YEAR,ambiguous_date,both_parse,237,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_DEBT_TO_PENNY,RECORD_CALENDAR_MONTH,keep_text,id_smell,8329,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,RECORD_CALENDAR_MONTH,keep_text,id_smell,478149,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,RECORD_CALENDAR_YEAR,ambiguous_date,both_parse,478149,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_DTS_DEPOSITS,RECORD_FISCAL_YEAR,ambiguous_date,both_parse,478149,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_MTS_RECEIPTS,RECORD_CALENDAR_MONTH,keep_text,id_smell,7490,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_MTS_RECEIPTS,RECORD_CALENDAR_YEAR,ambiguous_date,both_parse,7490,1.000,1.000
ECONOMICS,ECONOMICS__FED_TREASURY_MTS_RECEIPTS,RECORD_FISCAL_YEAR,ambiguous_date,both_parse,7490,1.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ACTION_DATE,cast_date,clean,19902879,0.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,ACTION_DATE_FISCAL_YEAR,ambiguous_date,both_parse,19902879,1.000,1.000
ECONOMICS,ECONOMICS__FED_USASPENDING_ASSISTANCE_FULL,FEDERAL_ACCOUNTS_FUNDING_THIS_AWARD,keep_text,low_cast,6658166,0.000,0.000
