== S15 odd_house_accounts_creatives (0.4s) 23 rows
             ADVERTISER_ID                                      ADVERTISER_NAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          GEO_TARGETING_INCLUDED  ADS  MIN_USD  MAX_USD   FIRST_DAY    LAST_DAY
0   AR07280544198984466433  REP. KEVIN MCCARTHY - U.S. HOUSE OF REPRESENTATIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     10016,New York,United States, 10018,New York,United States, 10022,New York,United States, 20815,Maryland,United States, 30309,Georgia,United States, 43054,Ohio,United States, 43219,Ohio,United States, 48225,Michigan,United States, 78681,Texas,United States, 90266,California,United States, 94025,California,United States, 94043,California,United States, 94105,California,United States, 94304,California,United States, 95014,California,United States, 97005,Oregon,United States, 98109,Washington,United States, Washington,District of Columbia,United States    1     2000     2500  2021-06-17  2021-06-17
1   AR13522503217748901889             REP. STEEL - US HOUSE OF REPRESENTATIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Artesia,California,United States, Brea,California,United States, Buena Park,California,United States, Cerritos,California,United States, Cypress,California,United States, Fountain Valley,California,United States, Fullerton,California,United States, Garden Grove,California,United States, Hawaiian Gardens,California,United States, La Palma,California,United States, Lakewood,California,United States, Los Alamitos,California,United States, Placentia,California,United States, Westminster,California,United States, Yorba Linda,California,United States    6        0      600  2023-08-31  2023-09-11
2   AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  91730,California,United States, 91739,California,United States, 91766,California,United States, 91767,California,United States, 91768,California,United States, 92335,California,United States, 92337,California,United States    3    18500    21000  2025-08-08  2026-01-01
3   AR13522503217748901889             REP. STEEL - US HOUSE OF REPRESENTATIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             CA-45 (2022 redistricting),California,United States    3     5600     6700  2023-08-27  2024-01-04
4   AR15487617555018809345                                    US House of Reps.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                NY-4 (2024 redistricting),New York,United States   11    47000    61500  2025-11-05  2026-01-03
5   AR13522503217748901889             REP. STEEL - US HOUSE OF REPRESENTATIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               MN-8 (2022 redistricting),Minnesota,United States    3     9500    11100  2024-03-06  2025-10-01
6   AR07359836459274076161                          US House of Representatives                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                CO-1 (2022 redistricting),Colorado,United States   10    31300    37000  2024-11-06  2026-05-01
7   AR13522503217748901889             REP. STEEL - US HOUSE OF REPRESENTATIVES  44056,Ohio,United States, 44067,Ohio,United States, 44087,Ohio,United States, 44202,Ohio,United States, 44203,Ohio,United States, 44216,Ohio,United States, 44221,Ohio,United States, 44223,Ohio,United States, 44224,Ohio,United States, 44230,Ohio,United States, 44236,Ohio,United States, 44237,Ohio,United States, 44240,Ohio,United States, 44260,Ohio,United States, 44262,Ohio,United States, 44264,Ohio,United States, 44278,Ohio,United States, 44286,Ohio,United States, 44301,Ohio,United States, 44302,Ohio,United States, 44303,Ohio,United States, 44304,Ohio,United States, 44305,Ohio,United States, 44306,Ohio,United States, 44307,Ohio,United States, 44308,Ohio,United States, 44310,Ohio,United States, 44311,Ohio,United States, 44312,Ohio,United States, 44313,Ohio,United States, 44314,Ohio,United States, 44316,Ohio,United States, 44319,Ohio,United States, 44320,Ohio,United States, 44321,Ohio,United States, 44325,Ohio,United States, 44333,Ohio,United States, 44614,Ohio,United States, 44618,Ohio,United States, 44632,Ohio,United States, 44641,Ohio,United States, 44645,Ohio,United States, 44646,Ohio,United States, 44647,Ohio,United States, 44662,Ohio,United States, 44666,Ohio,United States, 44685,Ohio,United States, 44702,Ohio,United States, 44703,Ohio,United States, 44704,Ohio,United States, 44705,Ohio,United States, 44706,Ohio,United States, 44707,Ohio,United States, 44708,Ohio,United States, 44709,Ohio,United States, 44710,Ohio,United States, 44711,Ohio,United States, 44714,Ohio,United States, 44718,Ohio,United States, 44720,Ohio,United States, 44721,Ohio,United States, 44730,Ohio,United States, 44750,Ohio,United States, 44767,Ohio,United States    6    11400    14000  2026-06-22  2026-08-05
8   AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  91301,California,United States, 91302,California,United States, 91303,California,United States, 91304,California,United States, 91306,California,United States, 91307,California,United States, 91311,California,United States, 91316,California,United States, 91324,California,United States, 91325,California,United States, 91326,California,United States, 91335,California,United States, 91343,California,United States, 91344,California,United States, 91356,California,United States, 91364,California,United States, 91367,California,United States, 91401,California,United States, 91403,California,United States, 91411,California,United States, 91423,California,United States, 91436,California,United States, 91602,California,United States, 91604,California,United States, 91607,California,United States    4     9200    11300  2026-03-11  2026-04-03
9   AR07280544198984466433  REP. KEVIN MCCARTHY - U.S. HOUSE OF REPRESENTATIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             CA-23 (2012 redistricting),California,United States    2     3000     4000  2021-10-20  2021-11-17
10  AR11679967951481470977        US HOUSE OF REPRESENTATIVES OFFICE OF FINANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  90001,California,United States, 90002,California,United States, 90011,California,United States, 90022,California,United States, 90023,California,United States, 90040,California,United States, 90058,California,United States, 90201,California,United States, 90240,California,United States, 90241,California,United States, 90242,California,United States, 90255,California,United States, 90270,California,United States, 90280,California,United States, 90630,California,United States, 90640,California,United States, 90650,California,United States, 90703,California,United States, 90704,California,United States, 90706,California,United States, 90713,California,United States, 90715,California,United States, 90723,California,United States, 90731,California,United States, 90740,California,United States, 90744,California,United States, 90755,California,United States    3     4000     5100  2024-08-14  2024-09-05
