-- S02 Foreign assistance: whole table pull (95.7K rows), worked locally
COUNTRY | MANAGING_AGENCY | FUNDING_AGENCY | USG_SECTOR | DAC_CATEGORY | OBLIGATION_AMOUNT | DISBURSEMENT_AMOUNT | FISCAL_YEAR | EIN | TRANSACTION_TYPE
1019 | 2 | 1 |  |  |  |  | 2023.0 |  | 2
398 | 4 | 4 |  |  |  |  | 2023.0 |  | 3
694 | 2 | 2 |  |  |  |  | 2022.0 |  | 2
584 | 1 | 1 |  |  |  |  | 2012.0 |  | 2
454 | 10 | 3 |  |  |  |  | 2006.0 |  | 3
218 | 5 | 5 |  |  |  |  | 2003.0 |  | 2
508 | 6 | 6 |  |  |  |  | 2017.0 |  | 3
792 | 7 | 99 |  |  |  |  | 1974.0 |  | 2
1014 | 12 | 1 |  |  |  |  | 2005.0 |  | 3
158 | 7 | 7 |  |  |  |  | 1966.0 |  | 2
8 | 16 | 16 |  |  |  |  | 2023.0 |  | 2
218 | 9 | 9 |  |  |  |  | 2016.0 |  | 3
(95658 rows; csv has all)
