-- S08 Monthly Treasury Statement: customs duties gross, refunds, net, by month from FY2024 (second source for the DTS CBP outflow)
RECORD_DATE | RECORD_FISCAL_YEAR | CLASSIFICATION_ID | CLASSIFICATION_DESC | SEQUENCE_NUMBER_CD | CURRENT_MONTH_GROSS_RCPT_AMT | CURRENT_MONTH_REFUND_AMT | CURRENT_MONTH_NET_RCPT_AMT | CURRENT_FYTD_GROSS_RCPT_AMT | CURRENT_FYTD_REFUND_AMT | CURRENT_FYTD_NET_RCPT_AMT | PRIOR_FYTD_REFUND_AMT
2023-10-31 | 2024.0 | 52951926 | Customs Duties | 6 | 7309242734.38 | 406505245.69 | 6902737488.69 | 7309242734.38 | 406505245.69 | 6902737488.69 | 526723501.44
2023-11-30 | 2024.0 | 53063637 | Customs Duties | 6 | 6700010481.8 | 403804287.41 | 6296206194.39 | 14009253216.18 | 810309533.1 | 13198943683.08 | 1112866451.31
2023-12-31 | 2024.0 | 53158703 | Customs Duties | 6 | 6394507574.14 | 650054719.16 | 5744452854.98 | 20403760790.32 | 1460364252.26 | 18943396538.06 | 1872714151.38
2024-01-31 | 2024.0 | 53293998 | Customs Duties | 6 | 6987471629.25 | 510845653.13 | 6476625976.12 | 27391232419.57 | 1971209905.39 | 25420022514.18 | 2633628196.41
2024-02-29 | 2024.0 | 53471729 | Customs Duties | 6 | 6751690073.97 | 543301843.42 | 6208388230.55 | 34142922493.54 | 2514511748.81 | 31628410744.73 | 3078971213.38
2024-03-31 | 2024.0 | 53652064 | Customs Duties | 6 | 6642735067.17 | 578450173.51 | 6064284893.66 | 40785657560.71 | 3092961922.32 | 37692695638.39 | 3604298328.57
2024-04-30 | 2024.0 | 53825875 | Customs Duties | 6 | 7089658776.07 | 723150048.3 | 6366508727.77 | 47875316336.78 | 3816111970.62 | 44059204366.16 | 3948350390.65
2024-05-31 | 2024.0 | 54021839 | Customs Duties | 6 | 6160874241.63 | 936212539.78 | 5224661701.85 | 54036190578.41 | 4752324510.4 | 49283866068.01 | 4295158273.29
2024-06-30 | 2024.0 | 54224831 | Customs Duties | 6 | 6763355733.01 | 440011064.15 | 6323344668.86 | 60799546311.42 | 5192335574.55 | 55607210736.87 | 4943339720.89
2024-07-31 | 2024.0 | 54441189 | Customs Duties | 6 | 7627631206.61 | 494143015.9 | 7133488190.71 | 68427177518.03 | 5686478590.45 | 62740698927.58 | 5389874172.02
2024-08-31 | 2024.0 | 54727831 | Customs Duties | 6 | 7615291682.62 | 568340133.66 | 7046951548.96 | 76042469200.65 | 6254818724.11 | 69787650476.54 | 5874072471.0
2024-09-30 | 2024.0 | 54962351 | Customs Duties | 6 | 7729376271.49 | 480116803.14 | 7249259468.35 | 83771845472.14 | 6734935527.25 | 77036909944.89 | 6302066367.23
(33 rows; csv has all)
