table,key_type,n_rows,n_distinct
FED_CONGRESS_LEGISLATORS,BIOGUIDE,12781,12781
FED_VOTEVIEW_MEMBERS,BIOGUIDE,12584,12584
FED_GOVINFO_BILL_COSPONSORS,BIOGUIDE,635,635
FED_GOVINFO_BILLSTATUS,BIOGUIDE,632,632
FED_CONGRESS_COMMITTEE_MEMBERSHIP,BIOGUIDE,528,528
FED_CMS_POS_OTHER,CCN,41262,41262
FED_NURSINGHOME411,CCN,14456,14456
FED_CMS_NURSING_HOME,CCN,14448,14448
FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,CCN,14443,14443
FED_CMS_NURSING_HOME_DEFICIENCIES,CCN,14383,14383
FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,CCN,14250,14250
FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES,CCN,13686,13686
FED_CMS_HOME_HEALTH,CCN,12392,12392
FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS,CCN,11413,11413
FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS,CCN,9954,9954
FED_CMS_MEDICARE_DIALYSIS_FACILITIES,CCN,8241,8241
FED_CMS_DIALYSIS,CCN,7557,7557
FED_CMS_NURSING_HOME_PENALTIES,CCN,6771,6771
FED_CMS_HCRIS,CCN,6040,6040
FED_CMS_HOSPITAL_ENROLLMENTS,CCN,5966,5966
FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS,CCN,5313,5313
FED_CMS_HOSPITAL_GENERAL,CCN,5268,5268
FED_CMS_HOSPICE,CCN,5155,5155
FED_CMS_HOSPICE_ENROLLMENTS,CCN,4798,4798
FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,CCN,3126,3126
FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE,CCN,2906,2906
FED_CMS_IRF,CCN,410,410
FED_CMS_LTCH,CCN,311,311
FED_SEC_INSIDER_REPORTINGOWNER,CIK,138006,138006
FED_PCAOB_FORM_AP_FILINGS,CIK,28773,28773
FED_SEC_13F_SUBMISSIONS,CIK,16273,16273
FED_SEC_EDGAR_FINANCIALS,CIK,8112,8112
FED_SEC_EDGAR_COMPANY_TICKERS,CIK,8018,8018
FED_SEC_EDGAR_COMPANY_TICKERS_EXCHANGE,CIK,7998,7998
