DRUG	SND	DEATH_CASES	HAS_MFR	MED_MFR_FDA	OVER_1Y	IFD_OLD
TARCEVA	ASTELLAS	7447	7445	1356.000	5045	91
AVASTIN	ROCHE	3648	3641	256.000	1556	153
GLIVEC	NOVARTIS	2060	2060	2291.000	1666	92
XELODA	ROCHE	935	934	527.500	569	112
REVLIMID	CELGENE	818	799	6.000	2	191
RITUXAN	ROCHE	694	692	270.000	293	9
CAPECITABINE	ROCHE	622	622	505.500	369	27
DIANEAL LOW CALCIUM	BAXTER	578	578	7.000	0	80
ERLOTINIB TABLET	ASTELLAS	516	516	6.000	58	66
HERCEPTIN	ROCHE	512	512	484.500	262	41
TRACLEER	ACTELION	459	459	9.000	0	81
PRADAXA	BOEHRINGER INGELHEIM	432	416	4.000	0	80
SUTENT	PFIZER	413	412	4.000	30	59
ACLASTA	NOVARTIS	358	358	1.000	1	49
AVANDIA	GLAXOSMITHKLINE	307	306	8.000	2	78
LETAIRIS	GILEAD	269	263	5.000	0	55
ZOMETA	NOVARTIS	216	215	2.000	9	81
REVATIO	PFIZER	210	210	6.000	0	48
CICLOSPORIN	NOVARTIS	194	194	3.000	14	14
ENBREL	AMGEN	188	188	8.000	9	31
FORTEO	ELI LILLY AND CO	181	181	9.000	0	41
RITUXIMAB	ROCHE	177	176	11.000	6	12
SANDOSTATIN LAR	NOVARTIS	166	166	1507.000	97	102
HUMIRA	ABBOTT	165	163	4.000	1	18
VELCADE	MILLENNIUM	160	159	9.000	0	59
EXELON PATCH	NOVARTIS	160	160	2.500	0	20
VIDAZA	CELGENE	159	159	7.000	0	50
PROGRAF	ASTELLAS	157	157	6.000	0	42
