CMTE_ID	DONORS	DONORS_IN19	AMT_M	D0	D1	PCT_IN19	NM	TP	TRES	ADDR	REC_M	DIS_M	TO_CMTES_M	IE_M	YRS
C00681825	4549	1421	1.46	2018-06-27	2026-07-31	31.2	LAW ENFORCEMENT FOR A SAFER AMERICA PAC	O	NELSON, MARK / MICHAEL CRIVELLO / KEVITT, JEREMY	1032 15TH ST NW, WASHINGTON DC / 1032 15TH STREET NW #140, WASHINGTON DC / 232 15TH STREET,NW, WASHINGTON DC / 1549 RINGLING BLVD, 6TH FL, SARASOTA FL	37.84	37.73	0.03	2.813	2022,2024,2018,2020
C00570416	4007	1161	2.36	2014-12-17	2026-06-28	29.0	GATORPAC	Q	DATWYLER, THOMAS	PO BOX 53, MADISONVILLE LA	6.25	5.77	0.313	0.047	2024,2020,2018,2022
C00570226	22660	497	18.21	2015-02-05	2026-07-31	2.2	SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC	Q	KILGORE, PAUL	824 S MILLEDGE AVE, STE 101, ATHENS GA / 1155 15TH ST NW, WASHINGTON DC	32.61	32.75	2.495	3.075	2018,2022,2020,2024
C00573519	57990	609	27.24	2015-03-03	2026-07-27	1.1	CARSON AMERICA	P	DELANY, LOGAN D. JR / HOBBS, CABELL	PO BOX 341027, AUSTIN TX / 1390 CHAIN BRIDGE RD STE 515, MCLEAN VA	1.5	1.36	0.048	0.0	2024,2022
C00003418	1110608	3855	1601.55	1988-12-23	2026-07-31	0.3	REPUBLICAN NATIONAL COMMITTEE	Y	KAUFMAN, RONALD C MR / PARKER, ANTHONY W MR / CROSBIE, KRISTIN MRS.	310 FIRST STREET SE, WASHINGTON DC	2026.34	2013.6	0.127	12.56	2022,2018,2020,2024
