V	AMT_M	GROUPS19	FIRST_D	LAST_D	LOCS	PURPOSES	PCT_OF_19
RESIDENTIALPROGRAMS	32.08	5	2017-07-06	2026-06-24	EATONTOWN  NJ / EATONTOWN NJ / MIDDLETOWN NJ	FUNDRAISING-FUNDRAISING DATA / FUNDRAISING-CAGING AND ESCROW / FUNDRAISING CAGING AND ESCROW / DATA / FUNDRAISING-TELEMARKETING / POLITICAL TELEMARKETING / FUNDRAISING-TECHNOLOGY SERVICES / DIRECT MAI	16.0
BFTELECOM	14.9	9	2023-01-31	2026-06-30	ALBUQUERQUE NM	FUNDRAISING DONOR MANAGEMENT DATABASE SE / FUNDRAISING, DONOR MANAGEMENT, DATABASE  / DIRECT MAIL	7.4
CAMPAIGNCALLING	11.54	10	2020-12-01	2022-06-03	BIRMINGHAM AL / SHERIDAN WY	CARRIER MINUTES AND DIALER EXPENSE / TECHNOLOGY SERVICES / TELE-FUNDRAISING / POLITICAL TELEMARKETING / TELEMARKETING / CAGING AND ESCROW / FUNDRAISING, DONOR MANAGMENT, DATABASE S / FUNDRAISING, DONO	5.7
AMERICANLIBERTYGROUP	11.16	3	2014-11-14	2023-06-30	WASHINGTON DC / WASHINGTON, DC	DIRECT MAIL FUNDRAISING / PROGRAM MANAGEMENT, EDUCATION, FUNDRAISI / PRINTING AND REPRODUCTION / TELEFUNDRAISING / TELEFUNDRAISING/FUNDRAISING EXPENSES / FUNDRAISING, DONOR MANAGEMENT, DATABASE  / TEL	5.5
SIMPLEDATA	9.1	5	2020-03-06	2026-06-25	RIVERSIDE CA / ROSEVILLE CA / WAXAHACHIE TX	PROGRAM-POLITICAL TELEMARKETING  / FUNDRAISING CARRIER MINUTES  / TELEFUNDRAISING / PROGRAM-POLTICAL CARRIER MINUTES / PROGRAM-POLTIICAL TELEMARKETING / PROGRAM-POLITICAL TECHNOLOGY SERVICESS / FUNDRA	4.5
UNITEDSUPPORT	8.3	4	2017-08-10	2019-11-29	LAKE EISNORE CA / LAKE ELSINORE CA / MIDDLETOWN NJ	DATA / CAGING AND ESCROW / TELECOM:CARRIER MINUTES AND DIALER EXPEN / CONTRACT SERVICES TELE-FUNDRAISING / CONTRACT SERVICES TECHNOLOGY SERVICES / CONTRACT SERVICES DIRECT MAIL FUNDRAISIN / TECHNOLOGY	4.1
ONEVOICESOLUTIONS	8.13	5	2024-06-17	2026-06-24	EATONTOWN NJ	PROGRAM-POLITICAL CARRIER MINUTES / PROGRAM-POLITICAL TELEMARKETING  / FUNDRAISING POSTAGE AND FREIGHT / FUNDRAISING-TELEMARKETING  / TELEMARKETING/DATABASE MANAGEMENT SVCS / PROGRAM-POLTIICAL TECHNOL	4.0
NORTHAMERICANFULFILLMENT	7.68	5	2018-09-06	2026-06-24	BROOKFIELD WI / CHICAGO IL / LIVONIA WI / WAUWATOSA WI	PROGRAM-POLITICAL CAGING AND ESCROW / FUNDRAISING CAGING AND ESCROW / SOFTWARE SUBSCRIPTIONS / BOOKKEEPING AND ACCOUNTING SERVICES / FUNDRAISING-CAGING AND ESCROW / FUNDRAISING-CAGING AND ESCROW  / FU	3.8
POLITICALRESPONSE	6.04	10	2023-03-07	2025-03-31	SHERIDA WY / SHERIDAN WY	PROGRAM-VOTER DATA / FUNDRAISING-CARRIER MINUTES AND DIALER E / ADMIN - PROFESSIONAL FEES / PROGRAM-POLITICAL POSTAGE AND FREIGHT / FUNDRAISING DIRECT MAIL / PROGRAM-POLITICAL TECHNOLOGY SERVICES / PR	3.0
GSI	4.81	12	2019-12-31	2026-06-30	WARREN MI	FUNDRAISING, DONOR MANAGMENT, DATABASE S / FUNDRAISING DONOR MANAGEMENT DATABASE SE / FUNDRAISING, DONORMANAGEMENT, DATABASE S / FUNDRAISING, DONOR MANAGEMENT, DATABASE  / FUNDRAISING, DONOR DATABASE 	2.4
PROSPEAKING	4.61	11	2021-02-16	2026-06-30	BRECKENRIDGE CO / SHERIDAN CO / WESTMINSTER CO / WESTMINSTER, CO	FUNDRAISING CARRIER MINUTES / CAGING AND ESCROW / FUNDRAISING-DIRECT MAIL / PROGRAM-CARRIER MINUTES AND DIALER EXPEN / PROGRAM-POLITICAL TECHNOLOGY SERVICES / FUNDRASING- POSTAGE AND FREIGHT / TELEMAR	2.3
OPTICALMARKETING	4.12	10	2022-05-31	2023-06-07	SHERIDAN WY	TECHNOLOGY SERVICES / PROFESSIONAL FEES / TELEMARKETING/DIRECT MAIL/DATA SERVICES / PROGRAM-POSTAGE AND FREIGHT / PROGRAM-DIRECT MAIL / FUNDRAISING-POSTAGE AND FREIGHT / PROGRAM-VOTER DATA / FUNDRAISI	2.0
WITHHELD	3.48	6	2015-12-31	2026-06-30	ALEXANDRIA VA / ARLINGTON VA / BROOKFIELD WI / DEALFIELD WI / DELAFIELD WI / FAIRFAX VA / RICHMOND VA / WASHINGTON DC	WITHHHELD / WITTHELD / WITHHELD / WITHHELD  / WIITHELD / NON-DISCLOSED AMOUNTS / NON-DISCLOSED AMOUNT	1.7
PUBLICSUPPORTSERVICES	3.44	10	2020-12-30	2023-12-31	FORT LAUDERDALE FL / FT. LAUDERDALE FL	FUNDRAISING, DONOR DATABASE MANAGEMENT,  / FUNDRAISING, DONOR MANAGMENT, DATABASE S / FUNDRAISING, DONOR MANAGEMENT, DATABASE 	1.7
GRASSROOTSFUNDGROUP	3.36	5	2017-07-06	2021-10-29	HIGHLANDS NJ / MIDDLETOWN NJ / PARK RIDGE NJ	CONTRACT SERVICES:DATABASE SERVICES / TECHNOLOGY SERVICES / ADVERTISING AND MARKETING / MANAGEMENT SUPPORT SERVICES / DIGITAL MARKETING / TECHNOLOGY SERVICES  / DATA / DATA  / CONTRACT SERVICES MANAGE	1.7
POLITICALFUNDRAISINGGROUP	3.28	1	2020-04-03	2020-11-27	SHERIDAN WY	DIRECT MAIL FUNDRAISING / FUNDRAISING DATA  / DIRECT MAIL / POSTAGE AND FREIGHT / DATA / TECHNOLOGY SERVICES / CAGING AND ESCROW / FUNDRAISING DATA / CARRIER MINUTES AND DIALER EXPENSE / TELE FUNDRAIS	1.6
CAPITALVENDORMANAGEMENT	3.05	5	2020-05-31	2023-06-30	GULFPORT FL / KNOXVILLE TN	ADMINISTRATIVE CONSULTING, PAYROLL & ACC / FUNDRAISING, DONOR MANAGEMENT, DATABASE 	1.5
POLITICALMARKETINGSERVICES	2.96	3	2019-07-10	2020-12-29	CHEYENNE WY / PELHAM WY / SHERIDAN WY	DIRECT MAIL  / POSTAGE AND FREIGHT / TECHNOLOGY SERVICES / DIRECT MAIL / CARRIER MINUTES AND DIALER EXPENSE / DIRECT MAIL FUNDRAISING / PROFESSIONAL FEES / DATA / FUNDRAISING DATA / TELE-FUNDRAISING /	1.5
EMERGENTMARKETING	2.63	4	2019-08-08	2020-03-03	MENLO PARK CA / RIVERSIDE CA	TELE FUNDRAISING / CAGING AND ESCROW / POSTAGE AND FREIGHT / DATA / DIRECT MAIL FUNDRAISING / TECHNOLOGY SERVICES / CREDIT CARD PROCESSING FEES / CARRIER MINUTES AND DIALER EXPENSE	1.3
ACTIONCOMMITTEEMARKETING	2.13	3	2020-01-31	2025-12-31	GREENWOOD IN / INDIANAPOLIS IN / INDIANAPOLIS, IN	FUNDRAISING, DONOR MANAGEMENT, DATABASE  / FUNDRAISING, DONOR MANAGEMENT, CAGING &  / FUNDRAISING DONOR MANAGEMENT DATABASE SE / FUNDRAISING, DONOR MANGEMENT, CAGING & E	1.1
UNIQTECHNOLOGIES	1.74	10	2024-10-24	2026-06-30	DOVER DE	ADMIN-PROFESSIONAL FEES / FUNDRAISING-DIRECT MAIL / PROGRAM-POLITICAL TELEMARKETING / FUNDRAISING POSTAGE AND FREIGHT / POLITICAL-PROGRAM POSTAGE AND FREIGHT / TELEMARKETING / PROGRAM-VOTER DATA / ADM	0.9
VENDORSYSTEMS	1.74	6	2023-01-04	2026-06-26	ALBUQUERQUE NM	DIRECT MAIL / MERCHANT PROCESSING SOFTWARE PROVIDER DA / MERCHANT PROCESSING, SOFTWARE PROVIDER, 	0.9
THEFUNDRAISINGGROUP	1.61	5	2017-10-04	2021-02-19	CHICAGO IL / RED BANK NJ / RED BANK, NJ	DIRECT MAIL / LEADS/DATA MINING / CAGING AND ESCROW / DATA AND DATABASE SERVICES / DATA SERVICES / CONTRACT SERVICES:TELE-FUNDRAISING / TELE-FUNDRAISING / TELECOM CARRIER MINUTES AND DIALER EXPEN / CO	0.8
SCHEDBEXPENDITURESINPERIOD	1.5	1	2025-12-31	2025-12-31	FAIRFAX VA	SCHED B EXPENDITURES IN PERIOD	0.7
ADVANCEDCREATIVEMEDIA	1.49	9	2024-05-31	2025-12-31	CASPER WY	FUNDRAISING, DONOR MANAGEMENT, DATABASE 	0.7
GCI	1.41	5	2018-10-25	2024-11-22	KENNESAW GA	PROGRAM - POLITICAL DIRECT MAIL / PROGRAM-POLITICAL TELEMARKETING / PROGRAM-POLITICAL DIRECT MAIL / FUNDRAISING-TELEMARKETING / TELEMARKETING / PROGRAM-DIRECT MAIL / PROGRAM-TECHNOLOGY SERVICES / FUND	0.7
CAMPAIGNMARKETING	1.4	5	2020-02-10	2023-06-26	KNOXVILLE TN	ADMINISTRATIVE CONSULTING / ADMINISTRATIVE CONSULTING, PAYROLL AND A / ADMINISTRATIVE CONSULTING, PAYROLL  AND  / ADMINISTRATIVE CONSULTING, PAYROLL & ACC / ADVERTISING	0.7
NORTHAMERICANFULFILMENT	1.39	1	2018-09-07	2026-06-24	BROOKFIELD WI / WAUWATOSA WI	CAGING AND ESCROW / PROGRAM-POLITICAL CAGING AND ESCROW / FUNDRAISING CAGING AND ESCROW / FUNDRAISING-CAGING AND ESCROW / ADMIN-CAGING AND ESCROW / PROGRAM-POLTIICAL CAGING AND ESCROW	0.7
AMERICANMARKETINGSERVICES	1.39	5	2023-10-31	2025-03-31	DOVER DE	FUNDRAISING-TELEMARKETING / PROGRAM-POLITICAL CAGING AND ESCROW / PROGRAM-POLITICALCARRIER MINUTES / FUNDRAISING DIRECT MAIL / FUNDRAISING CAGING AND ESCROW / PROGRAM-POLTICAL DIRECT MAIL / FUNDRAISIN	0.7
FEMSFALLDISBURSEMENTSFROM7112312025	1.36	1	2025-12-31	2025-12-31	DELAFIELD WI	FEMSF ALL DISBURSEMENTS FROM 7/1-12/31/2	0.7
