CMTE_ID	NM	Y0	Y1	REC_M	DIS_M	TO_CMTES_M	IE_M	PCT_TO_POLITICS	CYCLES_ROWS
C00681825	LAW ENFORCEMENT FOR A SAFER AMERICA PAC	2018	2024	37.84	37.729	0.03	2.813	7.5	4
C00710178	HONORING AMERICAN LAW ENFORCEMENT PAC (AKA HALE PAC)	2020	2024	12.689	12.68	0.0	1.891	14.9	3
C00709113	AMERICAN COALITION FOR CRISIS RELIEF PAC	2020	2024	12.023	11.991	0.0	0.01	0.1	3
C00650168	COALITION FOR AMERICAN VETERANS POLITICAL ACTION COMMITTEE (COALITION FOR AMERICAN VETERANS PAC) (CAV PAC)	2018	2022	10.54	10.54	0.05	0.408	4.3	3
C00667865	POLICE OFFICERS DEFENSE ALLIANCE PAC	2018	2022	8.46	8.434	0.01	0.815	9.8	3
C00710160	AMERICAN ALLIANCE FOR DISABLED CHILDREN PAC	2020	2024	7.066	7.051	0.001	0.05	0.7	3
C00570416	GATORPAC	2018	2024	6.249	5.767	0.313	0.047	6.2	4
C00758938	POLICE COALITION OF AMERICA PAC	2020	2024	5.574	5.549	0.0	0.476	8.6	3
C00715433	CONSTITUTIONAL LEADERSHIP PAC	2020	2024	5.463	5.457	0.0	0.425	7.8	3
C00699801	VETERANS AID PAC INC	2020	2024	4.652	4.648	0.0	0.735	15.8	3
C00691949	FIREFIGHTERS SUPPORT ASSOCIATION PAC	2018	2022	4.292	4.285	0.0	0.251	5.9	3
C00691329	AMERICAN WOUNDED VETERANS PAC	2018	2021	3.869	3.869	0.0	0.018	0.5	3
C00755694	UNITED WOMEN'S HEALTH ALLIANCE PAC	2020	2023	3.829	3.828	0.0	0.245	6.4	3
C00712885	AMERICAN VETERANS INITIATIVE PAC	2020	2024	3.396	3.365	0.0	0.234	7.0	3
C00784496	LEAGUE FOR SPORTSMEN, LAW ENFORCEMENT AND DEFENSE (AKA THE LEAGUE)	2022	2024	1.901	1.861	0.024	0.0	1.3	2
C00822106	AMERICAN HEALTH COMMITTEE PAC	2022	2024	0.312	0.312	0.0	0.0	0.0	2
C00674267	VOLUNTEER FIREFIGHTER & PARAMEDIC ASSOCIATION PAC	2018	2020	0.179	0.179	0.0	0.0	0.0	2
C00570093	ADVANCING FREEDOM FUND	2018	2018	0.147	0.164	0.0	0.0	0.1	1
C00715573	POLICE & SHERIFFS COALITION PAC	2020	2020	0.028	0.028	0.0	0.0	0.0	1
