TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	ROW_COUNT
LIBRARY_RAW	LANDING	FED_FEC_COMMITTEE_TO_COMMITTEE	28558310
LIBRARY_MARTS	FINANCE	FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES	276183
LIBRARY_RAW	LANDING	FED_FEC_INDEPENDENT_EXPENDITURES	276183
LIBRARY_MARTS	TIMELINE	FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES	0
LIBRARY_STAGING	DBT_CROGERS	STG_FED_FEC_INDEPENDENT_EXPENDITURES__RECORDS	0
LIBRARY_STAGING	LANDING_CLEAN	FED_FEC_INDEPENDENT_EXPENDITURES	0
LIBRARY_STAGING	LANDING_CLEAN	FED_FEC_COMMITTEE_TO_COMMITTEE	0
