GRP	SLICE	CASES	WITH_REASON	NC	CA	CA_OR_BTP	NC_ONLY	NEITHER
ALL	HP pre2012	832	539	253	113	163	251	125
ALL	other	1839	1161	612	126	250	586	325
ALL		2671	1700	865	239	413	837	450
brand	HP pre2012	667	398	213	84	98	212	88
brand	other	1600	1008	577	107	213	551	244
brand		2267	1406	790	191	311	763	332
generic_or_eu	HP pre2012	169	143	42	29	65	41	37
generic_or_eu	other	261	175	44	20	39	44	92
generic_or_eu		430	318	86	49	104	85	129
		5368	3424	1741	479	828	1685	911
