NM	RT	IDS	QMIN	QMAX	CAUGHT
FENTORA	BUCCAL	986	2006q4	2014q2	caught
ACTIQ	BUCCAL	956	2004q1	2014q2	caught
FENTANYL	ORAL	511	2004q1	2014q2	missed
ACTIQ		378	2004q1	2014q2	caught
ACTIQ	ORAL	275	2004q1	2014q2	caught
FENTANYL CITRATE	ORAL	233	2005q1	2014q2	missed
FENTORA		181	2007q2	2014q2	caught
FENTANYL CITRATE	BUCCAL	155	2005q1	2013q3	missed
ONSOLIS	BUCCAL	120	2009q4	2012q2	caught
FENTANYL TRANSDERMAL SYSTEM	ORAL	106	2006q2	2014q2	missed
FENTANYL-100	ORAL	93	2008q1	2012q3	missed
EFFENTORA	BUCCAL	50	2010q1	2014q2	missed
FENTANYL	BUCCAL	47	2005q4	2014q1	missed
FENTANYL (FENTANYL)	ORAL	39	2013q1	2014q1	missed
ONSOLIS		34	2009q4	2011q4	caught
FENTORA	ORAL	24	2007q1	2013q3	caught
SUBSYS	SUBLINGUAL	22	2012q3	2014q2	caught
SUBSYS		21	2013q1	2014q2	caught
FENTANYL	SUBLINGUAL	20	2007q1	2014q2	missed
FENTANYL	OROPHARINGEAL	16	2004q4	2005q2	missed
ACTIQ	SUBLINGUAL	15	2004q3	2014q2	caught
FENTANYL	NASAL	14	2009q3	2014q2	missed
FENTANYL (FENTANYL) (FENTANYL)	ORAL	13	2013q1	2014q1	missed
FENTORA	SUBLINGUAL	10	2008q3	2009q4	caught
ACTIQ	UNKNOWN	9	2005q3	2014q2	caught
ACTIQ (SUGAR-FREE)		9	2006q3	2006q3	caught
EFFENTORA (TABLETS)	BUCCAL	8	2009q2	2009q4	missed
FENTANYL-75	ORAL	8	2009q1	2010q2	missed
SUBSYS SUBLINGUAL SPRAY (FENTANYL)		6	2014q2	2014q2	caught
ACTIQ	OTHER	6	2004q1	2007q2	caught
FENTORA	UNKNOWN	6	2008q2	2013q2	caught
FENTANYL-25	ORAL	6	2009q1	2010q2	missed
DROPERIDOL/FENTANYL	ORAL	5	2012q1	2013q1	missed
SANDOZ FENTANYL TRANSDERMAL SYSTEM	ORAL	5	2009q4	2013q1	missed
ACTIQ	TRANSPLACENTAL	4	2006q4	2011q4	caught
ACTIQ (SUGAR-FREE)	BUCCAL	4	2006q3	2006q3	caught
EFFENTORA		4	2009q3	2013q4	missed
EFFENTORA (TABLET)	BUCCAL	4	2009q4	2010q1	missed
ORAVESCENT FENTANYL CITRATE	BUCCAL	4	2006q2	2006q3	missed
FENTANYL (UNKNOWN)	ORAL	3	2013q4	2014q2	missed
OTFC (ORAL TRANSMUCOSAL FENTANYL CITRATE) (GENERIC ACTIQ) (FENTANYL CI	BUCCAL	3	2011q4	2011q4	missed
ACTIQ	TRANSDERMAL	3	2009q4	2013q4	caught
SUBSYS (FENTANYL SUBLINGUAL SPRAY) 400MCG, INSYS THERAPEUTICS	SUBLINGUAL	3	2013q2	2014q1	caught
SUBSYS SUBLINGUAL SPRAY (FENTANYL)	SUBLINGUAL	3	2014q2	2014q2	caught
FENTANYL TRANSDERMAL SYSTEM	BUCCAL	3	2006q4	2008q1	missed
RAN-FENTANYL TRANSDERMAL SYSTEM	ORAL	3	2009q1	2009q1	missed
FENTANYL CITRATE	NASAL	2	2012q1	2012q1	missed
OTFC (ORAL TRANSMUCOSAL FENTANYL CITRATE) (GENERIC ACTIQ)	BUCCAL	2	2008q4	2008q4	missed
SUBSYS (FENTANYL SUBLINGUAL SPRAY) 200MCG, INSYS THERAPEUTICS	SUBLINGUAL	2	2012q4	2013q4	caught
FENTANYL CITRATE (MANUFACTURER UNKNOWN)	ORAL	2	2011q1	2011q1	missed
FECFENT (FENTANYL SPRAY)	NASAL	2	2013q2	2013q2	missed
SUBSYS (FENTANYL SUBLINGUAL SPRAY) 200MCG, INSYS THERAPEUTICS		2	2013q2	2014q1	caught
ACTIQ	OROPHARINGEAL	2	2004q4	2005q2	caught
FENTORA	TOPICAL	2	2012q2	2012q3	caught
ORAL TRANSMUCOSAL FENTANYL CITRATE	ORAL	2	2008q4	2014q2	missed
ORAVESCENT FENTANYL CITRATE	ORAL	2	2006q2	2007q1	missed
FENTANYL CITRATE	SUBLINGUAL	2	2011q2	2011q2	missed
EFFENTORA	ORAL	2	2013q3	2013q3	missed
FENTANYL-100	BUCCAL	2	2010q2	2010q2	missed
FENTANYL-100	NASAL	2	2010q3	2011q4	missed
