-- S07 HUD projects: pull the whole table (35.6K rows) for local peer math
QUARTER | GSL | STATES | ENTITIES | SUMLEVEL | PROGRAM_LABEL | PROGRAM | SUB_PROGRAM | NAME | CODE | TOTAL_UNITS | TOTAL_OCCUPIED | PCT_OCCUPIED | NUMBER_REPORTED | PCT_REPORTED | MONTHS_SINCE_REPORT | PCT_MOVEIN | PEOPLE_PER_UNIT | PEOPLE_TOTAL | RENT_PER_MONTH | SPENDING_PER_MONTH | HH_INCOME | PERSON_INCOME | PCT_NOINCOME | PCT_LT5K | PCT_5K_LT10K | PCT_10K_LT15K | PCT_15K_LT20K | PCT_20K_LT25K | PCT_25K_LT30K | PCT_30K_LT40K | PCT_GE40K | PCT_WAGE_MAJOR | PCT_WELFARE_MAJOR | PCT_OTHER_MAJOR | PCT_MEDIAN | PCT_LT80_MEDIAN | PCT_LT50_MEDIAN | PCT_LT30_MEDIAN | PCT_2ADULTS | PCT_1ADULT | PCT_CHLDRN0_5 | PCT_CHLDRN6_12 | PCT_CHLDRN13_17 | PCT_0CHLDRN | PCT_FEMALE_HEAD | PCT_FEMALE_HEAD_CHILD | PCT_FEMALE_HEAD_CHILD0_5 | PCT_DISABLED_HEAD | PCT_DISABLED_LT62 | PCT_DISABLED_GE62 | PCT_DISABLED_MBR | PCT_DISABLED_ALL | PCT_LT62_HEAD | PCT_LT24_HEAD | PCT_AGE25_50 | PCT_AGE51_61 | PCT_AGE62PLUS | PCT_AGE85PLUS | PCT_MINORITY | PCT_BLACK_NONHSP | PCT_NATIVE_AMERICAN_NONHSP | PCT_ASIAN_PACIFIC_NONHSP | PCT_WHITE_NOTHSP | PCT_BLACK_HSP | PCT_WHT_HSP | PCT_OTH_HSP | PCT_HISPANIC | PCT_MULTI | MONTHS_WAITING | MONTHS_FROM_MOVEIN | PCT_UTILITY_ALLOW | AVE_UTIL_ALLOW | PCT_BED1 | PCT_BED2 | PCT_BED3 | PCT_OVERHOUSED | TPOVERTY | TMINORITY | TPCT_OWNSFD | FEDHSE | CBSA | PLACE | LATITUDE | LONGITUDE | STATE | PHA_TOTAL_UNITS | HA_SIZE | STD_ADDR | STD_CITY | STD_ZIP5 | STCTYTRT | _INGESTED_AT | _SOURCE_RUN_ID
31DEC2025 | Projects | AK Alaska | AK Alaska 800000082 176HD004 ANDREW HOUSING COMPANY | 6 | 811/PRAC | 9 | 811/PRAC | ANDREW HOUSING COMPANY | 800000082 176HD004 | 9.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4.0000 | -4.0000 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 |  | 11260 | 03000 | 61.2101 | -149.7939 | AK |  |  | 4612 Camila Ct | Anchorage | 99508 | 2020000801 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000083 17635019 AYALPIK APARTMENTS | 6 | Project Based Section 8 | 5 | NC/SR | AYALPIK APARTMENTS | 800000083 17635019 | 23.0000 | 20.0000 | 87.0000 | 19.0000 | 94.0000 | 5.0000 | 21 | 1.2000 | 22.0000 | 567.0000 | 1421.0000 | 23309.0000 | 20131.0000 | -1 | -1 | -1 | 21 | 42 | 11 | -1 | 16 | 11 | 5 | 5 | 89 | 29 | 100 | 89 | 74 | -1 | -1 | -1 | -1 | -1 | 100 | 58 | -1 | -1 | 21 | 100 | 6 | 21 | 18 | 16 | -1 | 11 | 5 | 84 | 5 | 100 | -1 | 95 | 5 | -1 | -1 | -1 | -1 | 0 | 0 | -1.0000 | 61.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 16 | 83 | 66 |  | 99999 | 06520 | 60.8029 | -161.7765 | AK |  |  |  | Bethel | 99559 | 2050000200 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000084 17644020 BAYSIDE APARTMENTS | 6 | Project Based Section 8 | 5 | LMSA | BAYSIDE APARTMENTS | 800000084 17644020 | 34.0000 | 26.0000 | 76.0000 | 32.0000 | 100.0000 | 6.0000 | 16 | 1.8000 | 56.0000 | 530.0000 | 1001.0000 | 21606.0000 | 12346.0000 | 6 | 13 | 3 | 13 | 22 | 13 | 6 | 9 | 16 | 38 | -1 | 56 | 25 | 100 | 94 | 66 | 9 | 16 | 19 | 3 | 6 | 75 | 56 | 19 | 6 | 16 | -1 | 38 | 16 | 9 | 59 | 6 | 31 | 22 | 41 | -1 | 34 | 3 | 25 | 6 | 63 | -1 | -1 | -1 | 0 | 9 | -1.0000 | 67.0000 | -1 | -1 | 25 | 56 | 19 | 44 | 8 | 29 | 74 |  | 99999 | 68560 | 60.1125 | -149.4408 | AK |  |  | 1011 Fourth Ave | Seward | 99664 | 2122001300 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000086 CHENANA APARTMENTS | 6 | Project Based Section 8 | 5 | NC/SR | CHENANA APARTMENTS | 800000086 | 51.0000 | 37.0000 | 72.0000 | 35.0000 | 95.0000 | 9.0000 | 11 | 2.1000 | 74.0000 | 385.0000 | 1541.0000 | 15983.0000 | 7559.0000 | -1 | 29 | 11 | 6 | 17 | 11 | 9 | 11 | 6 | 31 | 3 | 66 | 18 | 100 | 100 | 77 | 3 | 57 | 26 | 29 | 23 | 37 | 77 | 49 | 23 | 11 | 6 | 50 | 11 | 5 | 89 | 9 | 69 | 11 | 11 | -1 | 40 | 3 | 37 | -1 | 57 | -1 | -1 | -1 | 0 | 3 | -1.0000 | 51.0000 | 100 | 147 | 23 | 60 | 17 | 11 | 7 | 39 | 45 |  | 21820 | 16750 | 64.8427 | -147.8716 | AK |  |  |  | Fairbanks | 99709 | 2090000800 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000087 17635024 CHINOOK APARTMENTS | 6 | Project Based Section 8 | 5 | LMSA | CHINOOK APARTMENTS | 800000087 17635024 | 64.0000 | 60.0000 | 93.0000 | 64.0000 | 100.0000 | 5.0000 | 14 | 1.6000 | 105.0000 | 287.0000 | 963.0000 | 11679.0000 | 7118.0000 | 5 | 44 | 6 | 11 | 16 | 3 | 3 | 9 | 3 | 22 | 3 | 69 | 12 | 100 | 100 | 86 | 3 | 20 | 11 | 14 | 9 | 75 | 63 | 16 | 6 | 9 | 4 | 33 | 13 | 8 | 81 | 8 | 47 | 27 | 19 | -1 | 70 | 5 | 45 | 17 | 28 | -1 | -1 | 3 | 3 | 9 | -1.0000 | 74.0000 | 100 | 112 | 55 | 45 | -1 | 5 | 6 | 43 | 53 |  | 27940 | 36400 | 58.3810 | -134.5819 | AK |  |  | 9160 Cinema Dr | Juneau | 99801 | 2110000200 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000088 CHUGACH VIEW | 6 | Project Based Section 8 | 5 | NC/SR | CHUGACH VIEW | 800000088 | 120.0000 | 108.0000 | 90.0000 | 114.0000 | 100.0000 | 6.0000 | 16 | 1.1000 | 122.0000 | 503.0000 | 722.0000 | 20777.0000 | 19415.0000 | -1 | 1 | 4 | 4 | 56 | 18 | 9 | 9 | 1 | 1 | 4 | 95 | 23 | 100 | 100 | 89 | -1 | -1 | -1 | -1 | -1 | 100 | 52 | -1 | -1 | 45 | 100 | 39 | 45 | 42 | 9 | -1 | 3 | 6 | 91 | 13 | 61 | 11 | 9 | 29 | 38 | 3 | 3 | 6 | 11 | 4 | -1.0000 | 89.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 24 | 63 | 15 |  | 11260 | 03000 | 61.2049 | -149.8599 | AK |  |  | 1280 E 17th Ave | Anchorage | 99501 | 2020000902 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000089 17635020 COHO PARK APARTMENTS | 6 | Project Based Section 8 | 5 | NC/SR | COHO PARK APARTMENTS | 800000089 17635020 | 52.0000 | 49.0000 | 93.0000 | 51.0000 | 100.0000 | 6.0000 | 10 | 2.5000 | 127.0000 | 279.0000 | 1125.0000 | 12424.0000 | 4989.0000 | -1 | 39 | 20 | 6 | 10 | 8 | 6 | 8 | 4 | 29 | 2 | 69 | 12 | 100 | 100 | 90 | 8 | 61 | 22 | 47 | 25 | 31 | 73 | 51 | 18 | 8 | 4 | 40 | 10 | 4 | 90 | 8 | 65 | 18 | 10 | -1 | 78 | 4 | 47 | 22 | 22 | -1 | 2 | 4 | 6 | 12 | -1.0000 | 86.0000 | 100 | 125 | 24 | 59 | 18 | 2 | 10 | 46 | 55 |  | 27940 | 36400 | 58.3874 | -134.5610 | AK |  |  | 3601 Amalga St | Juneau | 99801 | 2110000300 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000091 176EH003 DAYBREAK INC. | 6 | Project Based Section 8 | 5 | 202/8 | DAYBREAK INC. | 800000091 176EH003 | 19.0000 | 15.0000 | 77.0000 | 15.0000 | 100.0000 | 8.0000 | 40 | 1.0000 | 15.0000 | 298.0000 | 1214.0000 | 12321.0000 | 12321.0000 | -1 | 33 | 13 | -1 | 40 | 13 | -1 | -1 | -1 | 7 | 7 | 87 | 15 | 100 | 100 | 100 | -1 | -1 | -1 | -1 | -1 | 100 | 33 | -1 | -1 | 93 | 100 | 80 | 93 | 93 | 67 | 20 | 33 | 13 | 33 | 7 | 7 | -1 | 7 | -1 | 80 | -1 | -1 | -1 | 0 | 0 | -1.0000 | 76.0000 | -1 | -1 | 100 | -1 | -1 | -1 | 10 | 28 | 82 |  | 11260 | 99999 | 61.6030 | -149.1488 | AK |  |  | 2080 N Hemmer Rd | Palmer | 99645 | 2170001202 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000093 17611047 EXECUTIVE ESTATES | 6 | Project Based Section 8 | 5 | NC/SR | EXECUTIVE ESTATES | 800000093 17611047 | 101.0000 | 93.0000 | 92.0000 | 84.0000 | 91.0000 | 6.0000 | 14 | 2.1000 | 175.0000 | 404.0000 | 1200.0000 | 16786.0000 | 8057.0000 | 2 | 21 | 14 | 13 | 10 | 14 | 8 | 11 | 6 | 38 | 4 | 55 | 18 | 100 | 98 | 80 | 10 | 45 | 18 | 37 | 17 | 43 | 75 | 44 | 13 | 5 | 4 | 8 | 6 | 3 | 86 | 10 | 69 | 7 | 14 | 1 | 60 | 10 | 39 | 10 | 39 | -1 | -1 | 1 | 1 | 0 | -1.0000 | 78.0000 | 100 | 144 | 27 | 60 | 13 | 7 | 11 | 47 | 38 |  | 21820 | 24230 | 64.8328 | -147.8019 | AK |  |  | 1620 Washington Dr | Fairbanks | 99709 | 2090000700 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
31DEC2025 | Projects | AK Alaska | AK Alaska 800000093 17635014 EXECUTIVE ESTATES | 6 | Project Based Section 8 | 5 | NC/SR | EXECUTIVE ESTATES | 800000093 17635014 | 7.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4.0000 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4.0000 | -4.0000 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 | -4 |  | 21820 | 24230 | 64.8328 | -147.8019 | AK |  |  | 1620 Washington Dr | Fairbanks | 99709 | 2090000700 | 2026-08-05 21:40:52.153263 | 31203201-a7f1-49c9-bc5d-0bd8ba22f40a
