id_system,n_tables,n_columns,domains,sample_columns,sample_tables
EIN (IRS employer ID),50,57,ECONOMICS:15;FINANCE:12;LABOR:8;POLITICS:8;JUSTICE:2,ADMIN_EIN;AUDITEE_EIN;AUDITOR_EIN;EIN;EMPLOYER_ID;EMPLOYER_IDENTIFICATION_NUMBER_EIN,CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_IRS_EO_BMF;ECONOMICS.ECONOMICS__FED_DOL_FORM5500;ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT;ECONOMICS.ECONOMICS__FED_FINCEN_BOI;ECONOMICS.ECONOMICS__FED_FOREIGNASSISTANCE
NPI (provider),40,52,HEALTH:33;FINDINGS:4;IMMIGRATION:2;PROCUREMENT:1,FQHC_SITE_NPI_NUMBER;MULTIPLE_NPI_FLAG;NPI;NPI_DEACTIVATION_DATE;NPI_DEACTIVATION_REASON_CODE;NPI_IS_REAL,FINDINGS.EXCLUDED_PROVIDER_AT_FACILITY;FINDINGS.EXCLUDED_PROVIDER_PAID_AFTER_EXCLUSION;FINDINGS.EXCLUDED_PROVIDER_PAID_AFTER_EXCLUSION_IN_SHORTAGE;FINDINGS.OPIOID_PRESCRIBER_PAID_HIGH_RX;HEALTH.HEALTH__FED_CLINICALTRIALS
CCN (CMS facility cert #),30,38,HEALTH:27;FINDINGS:2;IMMIGRATION:1,CAH_OR_HOSPITAL_CCN;CCN;CCN_FACILITY_TYPE;CMS_CERTIFICATION_NUMBER_CCN;CROSS_REF_PROVIDER_NUMBER;FACILITY_CCN,FINDINGS.EXCLUDED_PROVIDER_AT_FACILITY;FINDINGS.HOSPITAL_CLOSURE_RISK;HEALTH.HEALTH__FED_CMS_DIALYSIS;HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION;HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY
PECOS/PAC ID (CMS enrollment),8,9,HEALTH:6;IMMIGRATION:2,ENRLMT_ID;ENROLLMENT_ID;IND_PAC_ID;PECOS_ASCT_CNTL_ID,HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION;HEALTH.HEALTH__FED_CMS_FEDERALLY_QUALIFIED_HEALTH_CENTER_ENROLLMENTS;HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS;HEALTH.HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS;HEALTH.HEALTH__FED_CMS_RURAL_HEALTH_CLINIC_ENROLLMENTS
UPIN (retired Medicare),1,1,HEALTH:1,UPIN,HEALTH.HEALTH__FED_HHS_OIG_LEIE
Medicaid provider ID,1,200,HEALTH:1,OTHER_PROVIDER_IDENTIFIER_1;OTHER_PROVIDER_IDENTIFIER_10;OTHER_PROVIDER_IDENTIFIER_11;OTHER_PROVIDER_IDENTIFIER_12;OTHER_PROVIDER_IDENTIFIER_13;OTHER_PROVIDER_IDENTIFIER_14,HEALTH.HEALTH__FED_CMS_NPPES
State license #,8,37,OPEN_DATA:4;HEALTH:2;ENVIRONMENT:1;SCIENCE_RESEARCH:1,LICENSE_ID;LICENSE_NUMBER;PROVIDER_LICENSE_NUMBER_1;PROVIDER_LICENSE_NUMBER_10;PROVIDER_LICENSE_NUMBER_11;PROVIDER_LICENSE_NUMBER_12,ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT;HEALTH.HEALTH__FED_CMS_NPPES;HEALTH.HEALTH__FED_FDA_PURPLE_BOOK;OPEN_DATA.OPEN_DATA__INTL_CA_OPEN_CANADA;OPEN_DATA.OPEN_DATA__INTL_CL_DATOSGOB
DEA registration,2,3,HEALTH:2,BUYER_DEA_NO;PRIOR_DEA_REPORTS;REPORTER_DEA_NO,HEALTH.HEALTH__FED_DEA_ARCOS;HEALTH.HEALTH__FED_HRSA_NPDB
NDC (drug code),2,2,HEALTH:2,NDC;PRODUCT_NDC_LIST,HEALTH.HEALTH__FED_CMS_NADAC;HEALTH.HEALTH__FED_FDA_DRUG_ENFORCEMENT
FDA FEI / registration #,7,10,HEALTH:3;CORPORATE_REGISTRY:1;FINANCE:1;FOREIGN_INFLUENCE:1;JUSTICE:1,BUSINESS_REGISTRATION_NUMBERS;FEI_NUMBER;FEI_NUMBER_LIST;REGISTRATION_NUMBER;REGISTRATION_NUMBER_LIST,CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC;FINANCE.FINANCE__FED_FARA;FOREIGN_INFLUENCE.FOREIGN_INFLUENCE__FED_FARA_BULK;HEALTH.HEALTH__FED_FDA_DEVICE_CLASSIFICATION;HEALTH.HEALTH__FED_FDA_DEVICE_ENFORCEMENT
FDA app # (NDA/ANDA/BLA/510k/PMA),8,10,HEALTH:7;FINANCE:1,APPLICATION_NUMBER_LIST;BASELINE_510K_NUMBER;CIK_NUMBER;K_NUMBER;K_NUMBER_LIST;PMA_NUMBER,FINANCE.FINANCE__FED_SEC_INVESTMENT_COMPANY_SERIES_CLASS;HEALTH.HEALTH__FED_FDA_DEVICE_510K;HEALTH.HEALTH__FED_FDA_DEVICE_CLASSIFICATION;HEALTH.HEALTH__FED_FDA_DEVICE_ENFORCEMENT;HEALTH.HEALTH__FED_FDA_DEVICE_PMA
UDI / GUDID device ID,2,3,HEALTH:2,PRIMARY_DI;UDI_DI;UDI_PUBLIC,HEALTH.HEALTH__FED_FDA_GUDID;HEALTH.HEALTH__FED_FDA_MAUDE
UNII / CAS / DSSTox (chemical),4,5,ENVIRONMENT:2;HEALTH:2,CAS_NO;CAS_NUMBER;CAS_RN;C_40_CAS;UNII,ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_BASIC_2023;ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_REGISTRY;HEALTH.HEALTH__FED_FDA_UNII_GSRS_SUBSTANCES;HEALTH.HEALTH__ST_OEHHA_PROPOSITION_65_LIST
CIK (SEC),24,26,FINANCE:20;ECONOMICS:3;ENVIRONMENT:1,CIK;CIK_NUMBER;CIK_TICKER;ISSUER_CIK;ISSUER_CIK_NONE;OWNER_CIK,ECONOMICS.ECONOMICS__FED_SEC_EDGAR;ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS;ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR;ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK;FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS
CUSIP,4,4,FINANCE:3;UNCATEGORIZED:1,CUSIP,FINANCE.FINANCE__FED_SEC_13F_HOLDINGS;FINANCE.FINANCE__FED_SEC_13F_POSITIONS;FINANCE.FINANCE__FED_SEC_13F_SUBMISSION;UNCATEGORIZED.UNCATEGORIZED__FED_SEC_13F_POSITIONS
ISIN,2,2,ECONOMICS:2,ISIN;ISINLINEXBRL,ECONOMICS.ECONOMICS__FED_SEC_EDGAR;ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR
Ticker symbol,12,13,FINANCE:5;ECONOMICS:4;HEALTH:1;POLITICS:1;SCIENCE:1,CIK_TICKER;CLASS_TICKER;CLASS_TICKER_SYMBOL;FOOTNOTE_SYMBOL;ISSUER_TICKER;ISSUER_TICKER_NOT_AVAILABLE,ECONOMICS.ECONOMICS__FED_SEC_EDGAR;ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS;ECONOMICS.ECONOMICS__FED_US_SEC_EDGAR;ECONOMICS.ECONOMICS__FED_US_USASPENDING_API;FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS
