mart_table,column,rows,non_null,non_blank,raw_non_blank
ECONOMICS__FED_DOL_FORM5500,ADMIN_FOREIGN_CNTRY,33484,1,1,1
ECONOMICS__FED_DOL_FORM5500,ADMIN_MANUAL_SIGNED_DATE,33484,10110,10110,10110
ECONOMICS__FED_DOL_FORM5500,ADMIN_SIGNED_DATE,33484,22832,22832,22832
ECONOMICS__FED_DOL_FORM5500,DFE_MANUAL_SIGNED_DATE,33484,40,40,40
ECONOMICS__FED_DOL_FORM5500,DFE_SIGNED_DATE,33484,488,488,488
ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_LOC_FOREIGN_CNTRY,33484,5,5,5
ECONOMICS__FED_DOL_FORM5500,SPONS_DFE_MAIL_FOREIGN_CNTRY,33484,122,122,122
ECONOMICS__FED_DOL_FORM5500,SPONS_MANUAL_SIGNED_DATE,33484,907,907,907
ECONOMICS__FED_DOL_FORM5500,SPONS_SIGNED_DATE,33484,3058,3058,3058
ECONOMICS__INTL_IPC_FOOD_INSECURITY_GLOBAL,DATE_OF_ANALYSIS,735,735,735,735
ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,FLAG_INDICATING_IF_THE_PLANT_BURNED_OR_GENERATED_ANY_AMOUNT_OF_COAL,11974,306,306,306
ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,PLANT_ANNUAL_HG_COMBUSTION_OUTPUT_EMISSION_RATE_LB_MWH,11974,1,1,1
ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,PLANT_ANNUAL_HG_INPUT_EMISSION_RATE_LB_MMBTU,11974,1,1,1
ENVIRONMENT__FED_EPA_EGRID_PLANT_2022,PLANT_ANNUAL_HG_TOTAL_OUTPUT_EMISSION_RATE_LB_MWH,11974,1,1,1
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FCES_PCES,ACTUAL_END_DATE,1779096,1779096,1779096,1779096
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,DSCV_PATHWAY_DATE,102037,38810,38810,38810
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,EARLIEST_FRV_DETERM_DATE,102037,63738,63738,63738
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,HPV_DAYZERO_DATE,102037,44754,44754,44754
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,HPV_RESOLVED_DATE,102037,69615,69615,69615
ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY,NFTC_PATHWAY_DATE,102037,54313,54313,54313
ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,SEASON_BEGIN_DATE,434040,370272,370272,370272
ENVIRONMENT__FED_EPA_SDWA_SDWA_PUB_WATER_SYSTEMS,SEASON_END_DATE,434040,370272,370272,370272
ENVIRONMENT__FED_NOAA_STORM_EVENTS,BEGIN_DATE_TIME,1780730,1780730,1780730,1780730
ENVIRONMENT__FED_NOAA_STORM_EVENTS,END_DATE_TIME,1780730,1780730,1780730,1780730
ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS,LOCAL_DATETIME,2039,2039,2039,2039
ENVIRONMENT__FED_USGS_MINERALS,ALTERATION,304632,15727,15727,15727
ENVIRONMENT__FED_USGS_MINERALS,SCORE,304632,304632,304632,304632
