mart_table,column,rows,non_null,non_blank,raw_non_blank
FINANCE__FED_PCAOB_FORM_AP_FILINGS,AUDIT_REPORT_DATE,155384,155384,155384,155384
FINANCE__FED_PCAOB_FORM_AP_FILINGS,FILING_DATE,155384,155384,155384,155384
FINANCE__FED_PCAOB_FORM_AP_FILINGS,FISCAL_PERIOD_END_DATE,155384,155384,155384,155384
FINANCE__FED_PCAOB_FORM_AP_FILINGS,SIGNED_DATE,155384,155384,155384,155384
FINANCE__FED_SEC_13F_FILERS,CONFDENIEDEXPIRED,344109,5762,5762,5762
FINANCE__FED_SEC_INSIDER_DERIV_TRANS,CONV_EXERCISE_PRICE_FN,1049121,557981,557981,557981
FINANCE__FED_SEC_INSIDER_DERIV_TRANS,DEEMED_EXECUTION_DATE_FN,1049121,796,796,796
FINANCE__FED_SEC_INSIDER_DERIV_TRANS,EXCERCISE_DATE_FN,1049121,896955,896955,896955
FINANCE__FED_SEC_INSIDER_DERIV_TRANS,EXPIRATION_DATE_FN,1049121,562717,562717,562717
FINANCE__FED_SEC_INSIDER_DERIV_TRANS,TRANS_DATE_FN,1049121,9223,9223,9223
FINANCE__FED_SEC_INSIDER_DERIV_TRANS,TRANS_PRICEPERSHARE_FN,1049121,176093,176093,176093
FINANCE__FED_SEC_INSIDER_DERIV_TRANS,TRANS_TOTAL_VALUE_FN,1049121,702,702,702
FINANCE__FED_SEC_INSIDER_DERIV_TRANS,UNDLYNG_SEC_VALUE_FN,1049121,108,108,108
HEALTH__FED_CDC_DRUG_POISONING_COUNTY,ESTIMATED_AGE_ADJUSTED_DEATH_RATE_11_CATEGORIES_IN_RANGES,53387,53387,53387,53387
HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,TTM_DATE_RANGE,132000,18858,18858,18858
HEALTH__FED_CMS_DIALYSIS,CLAIMS_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,ED30_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,EQRS_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,FIVE_STAR_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,FYSWR_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,HCP_VACCINATION_DATA_COLLECTION_DATES,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,LATE_SHIFT,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,SEDR_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,SHR_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,SIR_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,SMR_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,SRR_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_DIALYSIS,STRR_DATE,7557,7557,7557,7557
HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,REPORT_DATE,31403215,31403215,31403215,31403215
HEALTH__FED_CMS_HOME_HEALTH,FOOTNOTE_FOR_DISCHARGE_FUNCTION_SCORE,12392,12392,12392,12392
HEALTH__FED_CMS_MARKETPLACE_PLAN_ATTRIBUTES_PUF,INDIANPLANVARIATIONESTIMATEDADVANCEDPAYMENTAMOUNTPERENROLLEE,22059,20354,20354,20354
HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER,RFRG_PRVDR_CNTRY,381228,381228,381228,381228
HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL,SUPLR_PRVDR_CNTRY,440670,440670,440670,440670
HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER,RNDRNG_PRVDR_CNTRY,1296739,1296739,1296739,1296739
HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,RNDRNG_PRVDR_CNTRY,9781673,9781673,9781673,9781673
HEALTH__FED_CMS_MEDICARE_PROVIDER,RNDRNG_PRVDR_CNTRY,1296739,1296739,1296739,1296739
HEALTH__FED_CMS_NURSING_HOME,DATE_FIRST_APPROVED_TO_PROVIDE_MEDICARE_AND_MEDICAID_SERVICES,14700,14700,14700,14700
HEALTH__FED_CMS_NURSING_HOME,PROCESSING_DATE,14700,14700,14700,14700
HEALTH__FED_CMS_NURSING_HOME,RATING_CYCLE_1_STANDARD_SURVEY_HEALTH_DATE,14700,14700,14700,14700
HEALTH__FED_CMS_NURSING_HOME,RATING_CYCLE_2_STANDARD_HEALTH_SURVEY_DATE,14700,14656,14656,14656
HEALTH__FED_CMS_NURSING_HOME,_SOURCE_RUN_ID,14700,14700,14700,14700
HEALTH__FED_CMS_POS_OTHER,OVRRD_BED_CNT_SW,44429,13533,13533,13533
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_1,503917,353270,353270,353270
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_11,503917,165579,165579,165579
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_12,503917,158355,158355,158355
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_13,503917,151797,151797,151797
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_14,503917,143595,143595,143595
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_15,503917,136539,136539,136539
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_16,503917,131412,131412,131412
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_17,503917,126607,126607,126607
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_18,503917,121543,121543,121543
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_19,503917,115124,115124,115124
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_2,503917,286770,286770,286770
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_20,503917,110189,110189,110189
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_23,503917,96313,96313,96313
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_25,503917,84099,84099,84099
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_26,503917,73713,73713,73713
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_27,503917,54251,54251,54251
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_28,503917,24327,24327,24327
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_3,503917,252364,252364,252364
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_6,503917,209655,209655,209655
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_7,503917,194617,194617,194617
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_8,503917,183543,183543,183543
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_MEASURE_ID_9,503917,176471,176471,176471
HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,COST_REWEIGHTING_EUC,503917,503917,503917,503917
HEALTH__FED_HRSA_SHORTAGE_AREAS,HPSA_WITHDRAWN_DATE_STRING,165531,85715,85715,85715
HISTORICAL_RECORDS__FED_SLAVEVOYAGES_INTRAAMERICAN,DATE_BUY1,11521,1,1,1
HISTORY__FED_WPA_SLAVE_NARRATIVES,_SOURCE_RUN_ID,100,100,100,100
IMMIGRATION__FED_CBP_ENCOUNTERS,MONTHLY_TOTALS,9,9,9,9
IMMIGRATION__FED_DOL_OFLC,WILLFUL_VIOLATOR,664616,649537,649537,649537
JUDICIARY__FED_OYEZ,_SOURCE_RUN_ID,25,25,25,25
JUSTICE__FED_COURTLISTENER_FJC_IDB_CL_LINKED,ARBITRATION_AT_FILING,10323280,313856,313856,313856
JUSTICE__FED_COURTLISTENER_JUDGES,DATE_GRANULARITY_DOB,16191,7362,7362,7362
JUSTICE__FED_COURTLISTENER_JUDGES,DATE_GRANULARITY_DOD,16191,4452,4452,4452
JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,DATE_GRANULARITY_END,8486,64,64,64
JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS,DATE_GRANULARITY_START,8486,4117,4117,4117
JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,DATE_FILED_IS_APPROXIMATE,10070727,10070727,10070727,10070727
JUSTICE__FED_COURTLISTENER_OPINION_CLUSTERS,OTHER_DATES,10070727,1636427,1636427,1636427
JUSTICE__FED_COURTLISTENER_POSITIONS,DATE_GRANULARITY_START,51290,50421,50421,50421
JUSTICE__FED_COURTLISTENER_POSITIONS,DATE_GRANULARITY_TERMINATION,51290,42494,42494,42494
JUSTICE__XC_MAPPING_POLICE_VIOLENCE,INITIAL_REPORTED_REASON_FOR_ENCOUNTER,15476,11192,11192,11192
JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST,LAST_DAY_UPDATED,1011,865,865,865
JUSTICE__XC_UN_CONSOLIDATED_SANCTIONS_LIST,LAST_REVIEWED_ON,1011,429,429,429
LABOR__FED_OSHA_ITA_CASE_DETAIL_2023,CREATED_TIMESTAMP,890934,890934,890934,890934
LABOR__FED_OSHA_ITA_CASE_DETAIL_2024,CREATED_TIMESTAMP,688649,688649,688649,688649
LABOR__FED_OSHA_ITA_CASE_DETAIL_2024,DATE_OF_INCIDENT,688649,688621,688621,688621
LABOR__FED_OSHA_ITA_CASE_DETAIL_2025,CREATED_TIMESTAMP,330447,330447,330447,330447
LABOR__FED_OSHA_ITA_CASE_DETAIL_2025,DATE_OF_DEATH,330447,130,130,130
REFERENCE__INTL_GDELT,ACTIONGEO_LAT,1015,900,900,900
REFERENCE__INTL_GDELT,ACTIONGEO_LONG,1015,900,900,900
TRANSPORT__FED_FAA_ADIP_PRIVATE_AIRPORTS,PRIVATE_AIRPORT_LIST_FOR_WHICH_INFORMATION_HAS_NOT_BEEN_UPDATED_IN_THE_LAST_3_YEARS,3589,3588,3588,3588
