schema,mart_table,column,raw_table,old_verdict,verdict,mart_rows,raw_rows,mart_non_blank,raw_non_blank,raw_top_values
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_US_ZIP,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_ADDRESS1,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_ADDRESS2,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_CITY,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_PROV_STATE,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_CNTRY,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_FOREIGN_POSTAL_CD,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_PHONE_NUM,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_FORM5500,PREPARER_PHONE_NUM_FOREIGN,LIBRARY_RAW.LANDING.FED_DOL_FORM5500,raw_also_empty,raw_also_empty,33484,33484,0,0,
ECONOMICS,ECONOMICS__FED_DOL_OSHA_INSPECTIONS,STATE_FLAG,LIBRARY_RAW.LANDING.FED_DOL_OSHA_INSPECTIONS,raw_also_empty,raw_also_empty,5196412,5611412,0,0,
ECONOMICS,ECONOMICS__FED_DOL_OSHA_INSPECTIONS,_SRC_SHA256,LIBRARY_RAW.LANDING.FED_DOL_OSHA_INSPECTIONS,raw_also_empty,raw_also_empty,5196412,5611412,0,0,
