model	relation	verdict	column	rows
economics__fed_dol_osha_inspections	LIBRARY_MARTS.ECONOMICS.economics__fed_dol_osha_inspections	UNIQUE	ACTIVITY_NR	5196412
economics__fed_irs_527_orgs	LIBRARY_MARTS.ECONOMICS.economics__fed_irs_527_orgs	UNIQUE	SUBMISSION_ID	77591
economics__fed_irs_fatca_ffi_list	LIBRARY_MARTS.ECONOMICS.economics__fed_irs_fatca_ffi_list	UNIQUE	GIIN	516298
economics__fed_pbgc_trusteed_pension_plans	LIBRARY_MARTS.ECONOMICS.economics__fed_pbgc_trusteed_pension_plans	UNIQUE	PLAN_ID	21596
economics__fed_sba_ppp_loans_150k_plus	LIBRARY_MARTS.ECONOMICS.economics__fed_sba_ppp_loans_150k_plus	UNIQUE	LOANNUMBER	968524
economics__fed_usaspending_contracts_full_r2	LIBRARY_MARTS.ECONOMICS.economics__fed_usaspending_contracts_full_r2	NOTNULL	CONTRACT_AWARD_UNIQUE_KEY	93119582
education__fed_google_polads_geo_spend	LIBRARY_MARTS.EDUCATION.education__fed_google_polads_geo_spend	UNIQUE	COUNTRY_SUBDIVISION_SECONDARY	1289
environment__fed_nid_dams	LIBRARY_MARTS.ENVIRONMENT.environment__fed_nid_dams	UNIQUE	FEDERAL_ID	92766
finance__fed_cftc_cot_financial_hist	LIBRARY_MARTS.FINANCE.finance__fed_cftc_cot_financial_hist	PAIR	CFTC_CONTRACT_MARKET_CODE|REPORT_DATE_AS_MM_DD_YYYY	4615
finance__fed_irs527_schedule_a_contributions	LIBRARY_MARTS.FINANCE.finance__fed_irs527_schedule_a_contributions	UNIQUE	SCHEDULE_ID	9701952
finance__fed_irs527_schedule_b_expenditures	LIBRARY_MARTS.FINANCE.finance__fed_irs527_schedule_b_expenditures	UNIQUE	SCHEDULE_ID	8191177
finance__fed_senate_efd_ptr	LIBRARY_MARTS.FINANCE.finance__fed_senate_efd_ptr	PAIR	FILING_ID|LINE_NO	6855
finance__fed_senate_stock_watcher	LIBRARY_MARTS.FINANCE.finance__fed_senate_stock_watcher	NOTNULL	TRANSACTION_DATE	8350
health__fed_cms_marketplace_plan_attributes_puf	LIBRARY_MARTS.HEALTH.health__fed_cms_marketplace_plan_attributes_puf	UNIQUE	PLANID	22059
health__fed_cms_pecos_provider_enrollment	LIBRARY_MARTS.HEALTH.health__fed_cms_pecos_provider_enrollment	UNIQUE	ENRLMT_ID	2978925
health__fed_fda_establishment_reg	LIBRARY_MARTS.HEALTH.health__fed_fda_establishment_reg	NOTNULL	FEI_NUMBER	263374
health__fed_fda_faers_demo	LIBRARY_MARTS.HEALTH.health__fed_fda_faers_demo	NOTNULL	SRC_QUARTER	5811086
health__fed_fda_faers_outc	LIBRARY_MARTS.HEALTH.health__fed_fda_faers_outc	NOTNULL	SRC_QUARTER	5147466
health__fed_fda_faers_reac	LIBRARY_MARTS.HEALTH.health__fed_fda_faers_reac	NOTNULL	SRC_QUARTER	20621386
health__fed_fda_gudid__staging	LIBRARY_MARTS.HEALTH.health__fed_fda_gudid__staging	UNIQUE	RAW	1329
health__fed_va_suicide_appendix	LIBRARY_MARTS.HEALTH.health__fed_va_suicide_appendix	NOTNULL	COL_1	144
housing__fed_fhfa_suspended_counterparty	LIBRARY_MARTS.HOUSING.housing__fed_fhfa_suspended_counterparty	UNIQUE	ORDER_LINK	241
immigration__fed_cbp_encounters	LIBRARY_MARTS.IMMIGRATION.immigration__fed_cbp_encounters	UNIQUE	OCT_25	9
justice__fed_courtlistener_citations	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_citations	UNIQUE	ID	18123788
justice__fed_courtlistener_court_appeals_to	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_court_appeals_to	UNIQUE	ID	8
justice__fed_courtlistener_courthouses	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_courthouses	UNIQUE	ID	3361
justice__fed_courtlistener_courts	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_courts	UNIQUE	ID	3361
justice__fed_courtlistener_disclosure_agreements	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_disclosure_agreements	UNIQUE	ID	10007
justice__fed_courtlistener_disclosure_debts	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_disclosure_debts	UNIQUE	ID	18775
justice__fed_courtlistener_disclosure_gifts	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_disclosure_gifts	UNIQUE	ID	2025
justice__fed_courtlistener_disclosure_non_investment_income	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_disclosure_non_investment_income	UNIQUE	ID	15302
justice__fed_courtlistener_disclosure_positions	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_disclosure_positions	UNIQUE	ID	37050
justice__fed_courtlistener_disclosure_reimbursements	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_disclosure_reimbursements	UNIQUE	ID	33472
justice__fed_courtlistener_disclosure_spousal_income	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_disclosure_spousal_income	UNIQUE	ID	20174
justice__fed_courtlistener_financial_disclosures	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_financial_disclosures	NOTNULL	ID:1nulls	66287
justice__fed_courtlistener_fjc_idb_cl_linked	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_fjc_idb_cl_linked	UNIQUE	ID	10323280
justice__fed_courtlistener_judge_educations	LIBRARY_MARTS.JUSTICE.justice__fed_courtlistener_judge_educations	UNIQUE	ID	12777
