table	column	cast	table_rows	filled	lost_real_values	lost_null_words	example_lost
FED_NOAA_WEATHER_API	EFFECTIVE	stg_ts	287	287	0	0	
FED_NOAA_WEATHER_API	ENDS	stg_ts	287	240	0	0	
FED_NOAA_WEATHER_API	EXPIRES	stg_ts	287	287	0	0	
FED_NOAA_WEATHER_API	ONSET	stg_ts	287	286	0	0	
FED_NOAA_WEATHER_API	SENT	stg_ts	287	287	0	0	
INTL_CH_OPENDATASWISS	ISSUED	stg_ts	5000	4750	0	0	
INTL_CH_OPENDATASWISS	METADATA_CREATED	stg_ts	5000	5000	0	0	
INTL_CH_OPENDATASWISS	METADATA_MODIFIED	stg_ts	5000	5000	0	0	
INTL_CH_OPENDATASWISS	NUM_TAGS	stg_int	5000	5000	0	0	
INTL_CH_OPENDATASWISS	PRIVATE	stg_bool	5000	5000	0	0	
INTL_DE_GOVDATA	METADATA_CREATED	stg_ts	5000	5000	0	0	
INTL_DE_GOVDATA	METADATA_MODIFIED	stg_ts	5000	5000	0	0	
INTL_DE_GOVDATA	TEMPORAL_END	stg_ts	5000	3886	0	0	
INTL_DE_GOVDATA	TEMPORAL_START	stg_ts	5000	3920	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_305157E72F	LAST_EDI_1	stg_ts	1026	1020	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_305157E72F	SIM_NUMBER	stg_int	1026	1026	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	COUNCIL_LT	stg_int	38625	38625	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	COUNCIL_RT	stg_int	38625	38625	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	CREATED_DATE	stg_ts	38625	38625	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	DPW_ZON_LT	stg_int	38625	38625	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	DPW_ZON_RT	stg_int	38625	38625	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	LAST_EDITED_DATE	stg_ts	38625	38625	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	MEASURLGTH	stg_float	38625	38624	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	NUM_LANES	stg_int	38625	38625	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	REPLACED	stg_ts	38625	35148	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	ROADWIDTH	stg_float	38625	35820	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	SPEEDLIMIT	stg_int	38625	37714	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	VOTE_DT_LT	stg_int	38625	38490	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	VOTE_DT_RT	stg_int	38625	38530	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	WARD_LT	stg_int	38625	38604	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	WARD_RG	stg_int	38625	38604	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	ZIPL	stg_int	38625	38224	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	ZIPR	stg_int	38625	38219	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	ZONE_LEFT	stg_int	38625	38526	0	0	
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	ZONE_RIGHT	stg_int	38625	38526	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	COUNCIL_LT	stg_int	38625	38625	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	COUNCIL_RT	stg_int	38625	38625	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	CREATED_DATE	stg_ts	38625	38625	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	DPW_ZON_LT	stg_int	38625	38625	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	DPW_ZON_RT	stg_int	38625	38625	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	LAST_EDITED_DATE	stg_ts	38625	38625	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	MEASURLGTH	stg_float	38625	38624	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	NUM_LANES	stg_int	38625	38625	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	REPLACED	stg_ts	38625	35148	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	ROADWIDTH	stg_float	38625	35820	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	SPEEDLIMIT	stg_int	38625	37714	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	VOTE_DT_LT	stg_int	38625	38490	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	VOTE_DT_RT	stg_int	38625	38530	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	WARD_LT	stg_int	38625	38604	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	WARD_RG	stg_int	38625	38604	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	ZIPL	stg_int	38625	38224	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	ZIPR	stg_int	38625	38219	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	ZONE_LEFT	stg_int	38625	38526	0	0	
PORTAL_CKA_WPRDC_ALLEGHENY_C4D59225CB	ZONE_RIGHT	stg_int	38625	38526	0	0	
