source	landing_rows	view_rows	current_key	exact_dup_rows	unique_single_columns	best_near_columns	class
PORTAL_CKA_INDIANA_DATA_HUB_D4DAE8D984	16502	12806	zipcode, year, age_group order by _loaded_at desc) = 1	0		TOTAL_DOLLAR_AMOUNT_OF_CLAIMS=15100, TOTAL_NUMBER_OF_CLAIMS=2704, TOTAL_NUMBER_OF_RECIPIENTS=792	B no single key, rows all differ
PORTAL_CKA_OPEN_DATA_SA_58B0401C9A	197984	98224	shape__length order by _loaded_at desc) = 1	0		OBJECTID=98992, CARTID=98992, SHAPE__LENGTH=98224	B no single key, rows all differ
PORTAL_CKA_VIRGINIA_OPEN_DA_039AACD655	33780	16136	id order by _loaded_at desc) = 1	0	X2, Y2	X2=33780, Y2=33780, ADDRESS=16890	A single unique column exists
PORTAL_CKA_INDIANA_DATA_HUB_83BA6435C2	980219	126295	location_id, date order by _loaded_at desc) = 1	0		POSITIVITY_RATE_ALL_TESTS=7545, POSITIVE_TEST_RATE_MOVING_AVG=4927, POSITIVE_TEST_RATE=4112	B no single key, rows all differ
PORTAL_CKA_VIRGINIA_OPEN_DA_F40C1F2ECE	78400	39008	shape__length order by _loaded_at desc) = 1	0		OBJECTID=39201, EVENT_LOCATION_ID=39192, SHAPE__LENGTH=39008	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_010A1B6275	29348	14675	geometry order by _loaded_at desc) = 1	0		AREA=14675, ACRES=14675, FID=14675	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_440A699A5B	53636	26721	dataspatial_wkb order by _loaded_at desc) = 1	0		FID=26819, GLOBALID=26819, FID_2=26819	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_4E5C66124A	38625	19621	geometry order by _loaded_at desc) = 1	0		OBJECTID=35506, CARTEID=19681, GLOBALID=19626	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_0AF7431C6C	177741	13904	state_county_fips_code, reporting_year, zip_code, primary_si	0		DOC_CTRL_NUM=13749, TRANSFER_AMT=8497, TOTAL_RELEASE=5228	B no single key, rows all differ
PORTAL_CKA_WESTERN_PENNSYLV_6A4C3E0E78	7921	1001	inspection_id order by _loaded_at desc) = 1	0		VIOLATION_UID=6922, INSPECT_ID=1909, INSPECTION_ID=1001	B no single key, rows all differ
