-- S10 EMBER country-year pivot: generation by fuel, shares, CO2, demand, imports, capacity, and coal YoY columns (all areas, all years)
COUNTRY | ISO_3_CODE | AREA_TYPE | CONTINENT | EMBER_REGION | YEAR | GEN_TWH | COAL_TWH | GAS_TWH | OTHFOS_TWH | HYDRO_TWH | NUCLEAR_TWH | WIND_TWH | SOLAR_TWH | BIO_TWH | FOSSIL_TWH | CLEAN_TWH | WS_TWH | COAL_PCT | GAS_PCT | HYDRO_PCT | NUCLEAR_PCT | FOSSIL_PCT | CLEAN_PCT | WS_PCT | CO2_INT | CO2_MT | DEMAND_TWH | DEMAND_PC | NET_IMP | CAP_COAL | CAP_GAS | CAP_SOLAR | CAP_WIND | CAP_HYDRO | CAP_FOSSIL | CAP_CLEAN | COAL_YOY_ABS | COAL_YOY_PCT | GEN_YOY_ABS | N_ROWS
Afghanistan | AFG | Country or economy | Asia | Asia | 2000 | 0.48 | 0.0 | 0.0 | 0.17 | 0.31 | 0.0 | 0.0 | 0.0 | 0.0 | 0.17 | 0.31 | 0.0 | 0.0 | 0.0 | 64.58 | 0.0 | 35.42 | 64.58 | 0.0 | 250.0 | 0.12 | 0.57 | 0.03 | 0.09 |  | 0.0 | 0.0 | 0.0 | 0.19 | 0.0 | 0.19 |  |  |  | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2001 | 0.69 | 0.04 | 0.0 | 0.15 | 0.5 | 0.0 | 0.0 | 0.0 | 0.0 | 0.19 | 0.5 | 0.0 | 5.8 | 0.0 | 72.46 | 0.0 | 27.54 | 72.46 | 0.0 | 217.39 | 0.15 | 0.78 | 0.04 | 0.09 |  | 0.0 | 0.0 | 0.0 | 0.19 | 0.0 | 0.19 | 0.04 |  | 0.21 | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2002 | 0.71 | 0.04 | 0.0 | 0.11 | 0.56 | 0.0 | 0.0 | 0.0 | 0.0 | 0.15 | 0.56 | 0.0 | 5.63 | 0.0 | 78.87 | 0.0 | 21.12 | 78.87 | 0.0 | 169.01 | 0.12 | 0.81 | 0.04 | 0.1 |  | 0.0 | 0.0 | 0.0 | 0.19 | 0.0 | 0.19 | 0.0 | 0.0 | 0.02 | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2003 | 0.91 | 0.09 | 0.0 | 0.19 | 0.63 | 0.0 | 0.0 | 0.0 | 0.0 | 0.28 | 0.63 | 0.0 | 9.89 | 0.0 | 69.23 | 0.0 | 30.77 | 69.23 | 0.0 | 241.76 | 0.22 | 1.01 | 0.04 | 0.1 |  | 0.0 | 0.0 | 0.0 | 0.19 | 0.01 | 0.19 | 0.05 | 125.0 | 0.2 | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2004 | 0.79 | 0.06 | 0.0 | 0.17 | 0.56 | 0.0 | 0.0 | 0.0 | 0.0 | 0.23 | 0.56 | 0.0 | 7.59 | 0.0 | 70.89 | 0.0 | 29.11 | 70.89 | 0.0 | 227.85 | 0.18 | 0.89 | 0.04 | 0.1 |  | 0.0 | 0.0 | 0.0 | 0.19 | 0.03 | 0.19 | -0.03 | -33.33 | -0.12 | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2005 | 0.82 | 0.06 | 0.0 | 0.17 | 0.59 | 0.0 | 0.0 | 0.0 | 0.0 | 0.23 | 0.59 | 0.0 | 7.32 | 0.0 | 71.95 | 0.0 | 28.05 | 71.95 | 0.0 | 219.51 | 0.18 | 0.92 | 0.04 | 0.1 |  | 0.0 | 0.0 | 0.0 | 0.19 | 0.03 | 0.19 | 0.0 | 0.0 | 0.03 | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2006 | 0.9 | 0.15 | 0.0 | 0.11 | 0.64 | 0.0 | 0.0 | 0.0 | 0.0 | 0.26 | 0.64 | 0.0 | 16.67 | 0.0 | 71.11 | 0.0 | 28.89 | 71.11 | 0.0 | 255.56 | 0.23 | 1.33 | 0.05 | 0.43 |  | 0.0 | 0.0 | 0.0 | 0.2 | 0.03 | 0.2 | 0.09 | 150.0 | 0.08 | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2007 | 1.01 | 0.15 | 0.0 | 0.11 | 0.75 | 0.0 | 0.0 | 0.0 | 0.0 | 0.26 | 0.75 | 0.0 | 14.85 | 0.0 | 74.26 | 0.0 | 25.74 | 74.26 | 0.0 | 227.72 | 0.23 | 1.62 | 0.06 | 0.61 |  | 0.0 | 0.0 | 0.0 | 0.2 | 0.03 | 0.2 | 0.0 | 0.0 | 0.11 | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2008 | 0.78 | 0.13 | 0.0 | 0.11 | 0.54 | 0.0 | 0.0 | 0.0 | 0.0 | 0.24 | 0.54 | 0.0 | 16.67 | 0.0 | 69.23 | 0.0 | 30.77 | 69.23 | 0.0 | 256.41 | 0.2 | 1.53 | 0.06 | 0.75 |  | 0.0 | 0.0 | 0.0 | 0.21 | 0.03 | 0.21 | -0.02 | -13.33 | -0.23 | 66
Afghanistan | AFG | Country or economy | Asia | Asia | 2009 | 0.89 | 0.06 | 0.0 | 0.05 | 0.78 | 0.0 | 0.0 | 0.0 | 0.0 | 0.11 | 0.78 | 0.0 | 6.74 | 0.0 | 87.64 | 0.0 | 12.36 | 87.64 | 0.0 | 112.36 | 0.1 | 2.04 | 0.07 | 1.15 |  | 0.0 | 0.0 | 0.0 | 0.21 | 0.1 | 0.21 | -0.07 | -53.85 | 0.11 | 66
